institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
WIS	W.A. Weber	California	Santa Barbara	340.22	outside_boundary_exact	California, Contra Costa County	37.881702,-121.914268	WIS-L-0111201	Channel Islands. Sata Cruz Island, along spine of northern ridge just below summit of Mount Diablo	https://lichenportal.org/portal/collections/individual/index.php?occid=1485406
WIS	W.A. Weber	California	Santa Barbara	340.22	outside_boundary_exact	California, Contra Costa County	37.881702,-121.914268	WIS-L-0111202	Channel Islands. Sata Cruz Island; along spine of northern ridge just below summit of Mount Diablo	https://lichenportal.org/portal/collections/individual/index.php?occid=1485407
WIS	W.A. Weber	California	Santa Barbara	340.22	outside_boundary_exact	California, Contra Costa County	37.881702,-121.914268	WIS-L-0111203	Channel Islands. Sata Cruz Island, spine of north ridge just below summit of Mount Diablo	https://lichenportal.org/portal/collections/individual/index.php?occid=1485408
WIS	W.A. Weber	California	Santa Barbara	340.22	outside_boundary_exact	California, Contra Costa County	37.881702,-121.914268	WIS-L-0111204	Channel Islands. Sata Cruz Island. Spine of north ridge just below summit of Mount Diablo	https://lichenportal.org/portal/collections/individual/index.php?occid=1485409
DUKE	Weber, William, A.	California	Yuba Co.	54.99	outside_boundary_exact	California, El Dorado County	38.60907,-120.96133	154669	Forest Campground above Bullard Bar Dam	https://lichenportal.org/portal/collections/individual/index.php?occid=1872952
ASU	W.A. Weber	California	Santa Clara	26.28	outside_boundary_exact	California, Stanislaus County	37.35,-121.0666667	NA	below Smith Creek, NW side of Mt. Hamilton	https://lichenportal.org/portal/collections/individual/index.php?occid=122169
COLO	W.A. Weber	California	Ventura	7.11	outside_boundary_exact	California, Los Angeles County	34.106,-118.652	COLO-L-0005619	N side of Santa Monica Mts. below suimnit on road to Calabasas	https://lichenportal.org/portal/collections/individual/index.php?occid=1607479
COLO	William A. Weber	California	Ventura	7.11	outside_boundary_exact	California, Los Angeles County	34.106,-118.652	COLO-L-0020991	north side of Santa Monica Mountains below summit of road to Calabasas	https://lichenportal.org/portal/collections/individual/index.php?occid=1660291
COLO	W.A. Weber	California	Ventura	7.11	outside_boundary_exact	California, Los Angeles County	34.106,-118.652	COLO-L-0023679	N side of Santa Monica Mts. below summit on road to Calabasas	https://lichenportal.org/portal/collections/individual/index.php?occid=1663930
WIS	William A Weber	California	Los Angeles	1.06	outside_boundary_exact	California, Ventura County	34.253859,-118.644201	WIS-L-0049589	South side Chatsworth Hills, between Chatsworth and Santa Susana	https://lichenportal.org/portal/collections/individual/index.php?occid=1123945
