institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
ASU	Clifford M. Wetmore	Arizona	Santa Cruz	26.2	outside_boundary_exact	Arizona, Cochise County	31.4166667,-110.1833333	ASUL003584	Sycamore Canyon, W of Nogales	https://lichenportal.org/portal/collections/individual/index.php?occid=104307
ASU	Clifford M. Wetmore	Arizona	Santa Cruz	26.2	outside_boundary_exact	Arizona, Cochise County	31.4166667,-110.1833333	NA	Sycamore Canyon	https://lichenportal.org/portal/collections/individual/index.php?occid=947362
ASU	Clifford M. Wetmore	Arizona	Santa Cruz	26.2	outside_boundary_exact	Arizona, Cochise County	31.4166666666667,-110.183333333333	NA	Sycamore Canyon, W of Nogales	https://lichenportal.org/portal/collections/individual/index.php?occid=707443
MIN	Wetmore, C.	Arizona	Santa Cruz	26.2	outside_boundary_exact	Arizona, Cochise County	31.41666667,-110.1833333	823158	Sycamore Canyon, W of Nogales	https://lichenportal.org/portal/collections/individual/index.php?occid=386926
MIN	Wetmore, C.	Arizona	Santa Cruz	26.2	outside_boundary_exact	Arizona, Cochise County	31.41666667,-110.1833333	823159	Sycamore Canyon, W of Nogales	https://lichenportal.org/portal/collections/individual/index.php?occid=386927
MIN	Wetmore, C.	Arizona	Santa Cruz	26.2	outside_boundary_exact	Arizona, Cochise County	31.41666667,-110.1833333	823160	Sycamore Canyon, W of Nogales	https://lichenportal.org/portal/collections/individual/index.php?occid=386928
MIN	Wetmore, C.	Arizona	Santa Cruz	26.2	outside_boundary_exact	Arizona, Cochise County	31.41666667,-110.1833333	823161	Sycamore Canyon, W of Nogales	https://lichenportal.org/portal/collections/individual/index.php?occid=386929
MIN	Wetmore, C.	Arizona	Santa Cruz	26.2	outside_boundary_exact	Arizona, Cochise County	31.41666667,-110.1833333	823162	Sycamore Canyon, W of Nogales	https://lichenportal.org/portal/collections/individual/index.php?occid=386930
MIN	Wetmore, C.	Arizona	Santa Cruz	26.2	outside_boundary_exact	Arizona, Cochise County	31.41666667,-110.1833333	838687	Sycamore Canyon, W of Nogales	https://lichenportal.org/portal/collections/individual/index.php?occid=393579
MIN	Wetmore, C.	Arizona	Santa Cruz	26.2	outside_boundary_exact	Arizona, Cochise County	31.41666667,-110.1833333	840890	Sycamore Canyon, W of Nogales	https://lichenportal.org/portal/collections/individual/index.php?occid=393890
