institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
MIN	Wetmore, Clifford M.	California	Santa barbara	8643.96	outside_boundary_exact	not_found_in_US	33.970833,-20.2	953074	Santa Rosa Isl. West of Bee Canyon. Point and ridgetop and lowland near ocean	https://lichenportal.org/portal/collections/individual/index.php?occid=3182342
MIN	Wetmore, Clifford M.	California	Santa barbara	3486.82	outside_boundary_exact	not_found_in_US	0.25,-120.233333	953072	Santa Rosa Isl. Sandy Point on west end of island. On gentle hills with caliche rock, grassland, and some shrubs	https://lichenportal.org/portal/collections/individual/index.php?occid=3182344
MIN	Wetmore, Clifford M.	California	Los angeles	1237.96	outside_boundary_exact	not_found_in_US	21.5,-118.366667	953069	Santa Catalina Isl. Above Gallagher Beach near Timms, 1 km SE of junction of the roads to the airport and Little Harbor (Middle Canyon Road). On northeast facing hillside in oaks	https://lichenportal.org/portal/collections/individual/index.php?occid=3182347
MIN	Wetmore, Clifford M.	California	Los angeles	692.75	outside_boundary_exact	not_found_in_US	26.5,-118.483333	953066	Santa Catalina Isl. Above Fishermans Cove and USC marine station. On north facing hillside above a gully with rock outcrops and some trees	https://lichenportal.org/portal/collections/individual/index.php?occid=3182350
MIN	Wetmore, Clifford M.	California	Los angeles	610.22	outside_boundary_exact	not_found_in_US	27.25,-118.516667	953068	Santa Catalina Isl. Small valley halfway between Sullivans Beach and Cherry Valley, west of Two Harbors. In steep gully with some rocks and trees	https://lichenportal.org/portal/collections/individual/index.php?occid=3182348
MIN	Wetmore, C.	California	Kern	190.57	outside_boundary_exact	California, Mariposa County	37.49033,-119.9068	628265	Maricopa, E of	https://lichenportal.org/portal/collections/individual/index.php?occid=308037
MIN	Wetmore, C.	California	Kern	190.57	outside_boundary_exact	California, Mariposa County	37.49033,-119.9068	654899	Maricopa, E of	https://lichenportal.org/portal/collections/individual/index.php?occid=314561
WIS	Wetmore, Clifford M	California	Kern	190.57	outside_boundary_exact	California, Mariposa County	37.49033,-119.9068	WIS-L-0010131	East of Maricopa on California Highway 166	https://lichenportal.org/portal/collections/individual/index.php?occid=957563
WIS	C.M. Wetmore	California	Kern	190.57	outside_boundary_exact	California, Mariposa County	37.49033,-119.9068	WIS-L-0061442	E of Mariposa on Calif. highway 166	https://lichenportal.org/portal/collections/individual/index.php?occid=1282383
US	C. Wetmore	California	Tulare	170.22	outside_boundary_exact	California, Los Angeles County	34.27,-118.48	NA	Sequoia National Park, Just N of park headquarters at Ash Mountain, on S facing with oaks and some rocks.	https://lichenportal.org/portal/collections/individual/index.php?occid=2791114
US	C. Wetmore	California	Tulare	170.22	outside_boundary_exact	California, Los Angeles County	34.27,-118.48	NA	Sequoia National Park, Just N of park headquarters at Ash Mountain, on S facing with oaks and some rocks.	https://lichenportal.org/portal/collections/individual/index.php?occid=3382821
ASU	Clifford M. Wetmore	California	Los Angeles	117.52	outside_boundary_exact	California, Santa Barbara County	34.0041667,-120.2333333	NA	Sandy Point on west end of island	https://lichenportal.org/portal/collections/individual/index.php?occid=2435197
ASU	Clifford M. Wetmore	California	Los Angeles	117.52	outside_boundary_exact	California, Santa Barbara County	34.0041667,-120.2333333	NA	Sandy Point on west end of island	https://lichenportal.org/portal/collections/individual/index.php?occid=947361
ASU	Clifford M. Wetmore	California	Los Angeles	107.77	outside_boundary_exact	California, Santa Barbara County	33.9,-120.1208333	ASUL013604	South Point	https://lichenportal.org/portal/collections/individual/index.php?occid=104315
MSC	Wetmore, Clifford M	California	Los Angeles	104.54	outside_boundary_exact	California, Santa Barbara County	34.0041667,-120.0916667	MSC0094233	Santa Rosa Isl. Twin Faults area 0.5 km W of Canada Lobos.	https://lichenportal.org/portal/collections/individual/index.php?occid=282342
ASU	Clifford M. Wetmore	California	Los Angeles	98.42	outside_boundary_exact	California, Santa Barbara County	33.9958333,-120.025	ASUL030255	Upper part of Cherry Canyon	https://lichenportal.org/portal/collections/individual/index.php?occid=104295
ASU	Clifford M. Wetmore	California	Riverside	83.79	outside_boundary_exact	California, San Bernardino County	34.7833333,-116.7333333	ASUL030280	San Bernardino National Forest; San Bernarndino National Forest at Fuller Mill Creek Campground in San Jacinto Mts	https://lichenportal.org/portal/collections/individual/index.php?occid=72422
MIN	Wetmore, C.	California	Kern	73.81	outside_boundary_exact	California, Los Angeles County	34.16166667,-118.0519444	656825	Frazier Park; Los Padres National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=315139
MIN	Wetmore, C.	California	Riverside	9.23	outside_boundary_exact	California, San Bernardino County	34.1166667,-116.9166667	662331	Palm Desert, Above; San Bernardino National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=318139
MIN	Wetmore, C.	California	Los Angeles	6.84	outside_boundary_exact	California, Ventura County	34.4166667,-118.7788889	634172	Coldbrook Station, 2 Mi N; Angeles National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=310578
MIN	Wetmore, C.	California	Los Angeles	6.84	outside_boundary_exact	California, Ventura County	34.4166667,-118.7788889	634422	Coldbrook Station, 2 Mi N; Angeles National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=310826
MIN	Wetmore, C.	California	Los Angeles	6.84	outside_boundary_exact	California, Ventura County	34.4166667,-118.7788889	662260	Coldbrook Station, 2 Mi N; Angeles National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=318068
MIN	Wetmore, C.	California	Los Angeles	6.84	outside_boundary_exact	California, Ventura County	34.4166667,-118.7788889	888622	Coldbrook Station, 2 Mi N; Angeles National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=422366
MIN	Wetmore, Clifford M.	California	Santa barbara	5.23	outside_boundary_exact	California, San Luis Obispo County	35.004167,-119.625	953082	Santa Cruz Isl. 4.5 km east of navy radar station at east pinery. In oak stand on north facing hillside and ridge in grassland	https://lichenportal.org/portal/collections/individual/index.php?occid=3182334
