institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
OSC	Clifford M. Wetmore	Michigan	Keweenaw	11686.31	outside_boundary_exact	not_found_in_US	48.05988,88.57924	93308	Isle Royale National Park. Saginaw Point	https://lichenportal.org/portal/collections/individual/index.php?occid=4660733
OSC	Clifford M. Wetmore	Michigan	Keweenaw	11686.31	outside_boundary_exact	not_found_in_US	48.05988,88.57924	93308	Isle Royale National Park. Saginaw Point	https://lichenportal.org/portal/collections/individual/index.php?occid=4660733
US	C. Wetmore	Michigan	Leelanau	6381.55	outside_boundary_exact	not_found_in_US	30,-13	NA	Sleeping Bear Dunes Nat. Lakeshore. At N tip of Pyramid Point.	https://lichenportal.org/portal/collections/individual/index.php?occid=2799795
PH	Clifford M. Wetmore	Michigan	Keweenaw	5749.67	outside_boundary_exact	not_found_in_US	48.122778,-8.515	PH00101511	Isle Royale National Park, Davidson Island in Rock Harbor, around residence.	https://lichenportal.org/portal/collections/individual/index.php?occid=1743418
US	C. Wetmore	Michigan	Alger	5269.39	outside_boundary_exact	not_found_in_US	49,-14	NA	Pictured Rocks Nat. Lakeshore, N side of Grand Sable Lake, 2 mi W of Grand Marais.	https://lichenportal.org/portal/collections/individual/index.php?occid=2812197
US	C. Wetmore	Michigan	Alger	5199.6	outside_boundary_exact	not_found_in_US	49,-15	NA	Pictured Rocks Nat. Lakeshore, Twelvemile Beach, 1 mi northeast of Twelvemile Beach Campground.	https://lichenportal.org/portal/collections/individual/index.php?occid=2804416
US	C. Wetmore	Michigan	Alger	5199.6	outside_boundary_exact	not_found_in_US	49,-15	NA	Pictured Rocks Nat. Lakeshore, Twelvemile Beach, 1 mi northeast of Twelvemile Beach Campground.	https://lichenportal.org/portal/collections/individual/index.php?occid=2944795
US	C. Wetmore	Michigan	Alger	5096.08	outside_boundary_exact	not_found_in_US	48,-17	NA	Pictured Rocks Nat. Lakeshore, W of Beaver Lake near shore of Lake Superior.	https://lichenportal.org/portal/collections/individual/index.php?occid=2811816
US	C. Wetmore	Michigan	Alger	5096.08	outside_boundary_exact	not_found_in_US	48,-17	NA	Pictured Rocks Nat. Lakeshore, W of Beaver Lake near shore of Lake Superior.	https://lichenportal.org/portal/collections/individual/index.php?occid=3591805
US	C. Wetmore	Michigan	Alger	5096.08	outside_boundary_exact	not_found_in_US	48,-17	NA	Pictured Rocks Nat. Lakeshore, W of Beaver Lake near shore of Lake Superior.	https://lichenportal.org/portal/collections/individual/index.php?occid=3373770
US	C. Wetmore	Michigan	Alger	5063.48	outside_boundary_exact	not_found_in_US	47,-18	NA	Pictured Rocks Nat. Lakeshore, just S of Miners Falls.	https://lichenportal.org/portal/collections/individual/index.php?occid=3374402
US	C. Wetmore	Michigan	Alger	5063.48	outside_boundary_exact	not_found_in_US	47,-18	NA	Pictured Rocks Nat. Lakeshore, just S of Miners Falls.	https://lichenportal.org/portal/collections/individual/index.php?occid=3376624
US	C. Wetmore	Michigan	Alger	5063.48	outside_boundary_exact	not_found_in_US	47,-18	NA	Pictured Rocks Nat. Lakeshore, just S of Miners Falls.	https://lichenportal.org/portal/collections/individual/index.php?occid=3377255
US	C. Wetmore	Michigan	Alger	5063.48	outside_boundary_exact	not_found_in_US	47,-18	NA	Pictured Rocks Nat. Lakeshore, just S of Miners Falls.	https://lichenportal.org/portal/collections/individual/index.php?occid=2804892
PH	Clifford M. Wetmore	Michigan	Iron	4811.47	outside_boundary_exact	not_found_in_US	1.00861,-88.945	PH00091919	West of Golden Lake on highway #2 at USFS #3918 (12.7 miles southeast of Watersmeet), Ottawa National Forest.	https://lichenportal.org/portal/collections/individual/index.php?occid=1725837
US	C. Wetmore	Michigan	Houghton	3918.95	outside_boundary_exact	not_found_in_US	54,-34	NA	Near Baltic.	https://lichenportal.org/portal/collections/individual/index.php?occid=2946337
US	C. Wetmore	Michigan	Houghton	3918.95	outside_boundary_exact	not_found_in_US	54,-34	NA	Near Baltic.	https://lichenportal.org/portal/collections/individual/index.php?occid=2806532
US	C. Wetmore	Michigan	Houghton	3903.08	outside_boundary_exact	not_found_in_US	56,-34	NA	McLain State Park near Lake Superior, 8 mi N of Houghton.	https://lichenportal.org/portal/collections/individual/index.php?occid=2804162
COLO	Clifford M. Wetmore	Michigan	Lake	563.1	outside_boundary_exact	Minnesota, Lake County	47.810669,-91.097001	COLO-L-0013585	Two miles S. of Kawishiwi Lake, 25 miles NW of Tofte	https://lichenportal.org/portal/collections/individual/index.php?occid=1629017
MSC	Wetmore, Clifford M	Michigan	Crawford	458.49	outside_boundary_exact	Michigan, Keweenaw County	48.078489,-88.585073	MSC0051034	Isle Royale National Park: on jackpine point, about halfway down bay on N side between Conglomerate Bay and To	https://lichenportal.org/portal/collections/individual/index.php?occid=245144
COLO	Clifford M. Wetmore	Michigan	Houghton	437.62	outside_boundary_exact	Minnesota, Stearns County	45.6166667,-94.5166667	COLO-L-0026685	Upper entrance to Keweenaw Waterway, on west side of channel	https://lichenportal.org/portal/collections/individual/index.php?occid=1684812
NY	Clifford M. Wetmore	Michigan	Ottawa	370.21	outside_boundary_exact	Michigan, Iron County	46.174444,-88.949444	1365716	3 miles W of Golden Lake along highway 2. Mixed conifer lowland on S side of road.	https://lichenportal.org/portal/collections/individual/index.php?occid=934849
MSC	Wetmore, Clifford M	Michigan	Ontonagon	313.88	outside_boundary_exact	Michigan, Chippewa County	46.3966675,-84.805275	MSC0093658	Hiawatha National Forest: Raco Plains along USFS 3366 (8 mi NE of Strongs Corner)	https://lichenportal.org/portal/collections/individual/index.php?occid=282108
WIS	C.M. Wetmore	Michigan	Allegan	297.77	outside_boundary_exact	Michigan, Emmet County	45.40004,-84.91011	WIS-L-0061460	Around Old Baldy near Saugatuck	https://lichenportal.org/portal/collections/individual/index.php?occid=1300728
MIN	Wetmore, C.	Michigan	Alger	213.86	outside_boundary_exact	Michigan, Manistee County	44.25611111,-86.22	790123	Hurricane River Campground, 0.5 Mi Sw; Pictured Rocks National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=370254
MIN	Wetmore, C.	Michigan	Alger	213.86	outside_boundary_exact	Michigan, Manistee County	44.25611111,-86.22	790124	Hurricane River Campground, 0.5 Mi Sw; Pictured Rocks National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=370255
MIN	Wetmore, C.	Michigan	Alger	213.86	outside_boundary_exact	Michigan, Manistee County	44.25611111,-86.22	790125	Hurricane River Campground, 0.5 Mi Sw; Pictured Rocks National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=370256
MIN	Wetmore, C.	Michigan	Alger	213.86	outside_boundary_exact	Michigan, Manistee County	44.25611111,-86.22	790126	Hurricane River Campground, 0.5 Mi Sw; Pictured Rocks National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=370257
MIN	Wetmore, C.	Michigan	Alger	213.86	outside_boundary_exact	Michigan, Manistee County	44.25611111,-86.22	790127	Hurricane River Campground, 0.5 Mi Sw; Pictured Rocks National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=370258
MIN	Wetmore, C.	Michigan	Alger	213.86	outside_boundary_exact	Michigan, Manistee County	44.25611111,-86.22	790128	Hurricane River Campground, 0.5 Mi Sw; Pictured Rocks National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=370259
MIN	Wetmore, C.	Michigan	Alger	213.86	outside_boundary_exact	Michigan, Manistee County	44.25611111,-86.22	790129	Hurricane River Campground, 0.5 Mi Sw; Pictured Rocks National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=370260
MIN	Wetmore, C.	Michigan	Alger	213.86	outside_boundary_exact	Michigan, Manistee County	44.25611111,-86.22	790130	Hurricane River Campground, 0.5 Mi Sw; Pictured Rocks National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=370261
MIN	Wetmore, C.	Michigan	Alger	213.86	outside_boundary_exact	Michigan, Manistee County	44.25611111,-86.22	790131	Hurricane River Campground, 0.5 Mi Sw; Pictured Rocks National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=370262
MIN	Wetmore, C.	Michigan	Alger	213.86	outside_boundary_exact	Michigan, Manistee County	44.25611111,-86.22	790132	Hurricane River Campground, 0.5 Mi Sw; Pictured Rocks National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=370263
MIN	Wetmore, C.	Michigan	Alger	213.86	outside_boundary_exact	Michigan, Manistee County	44.25611111,-86.22	790133	Hurricane River Campground, 0.5 Mi Sw; Pictured Rocks National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=370264
MIN	Wetmore, C.	Michigan	Alger	213.86	outside_boundary_exact	Michigan, Manistee County	44.25611111,-86.22	790134	Hurricane River Campground, 0.5 Mi Sw; Pictured Rocks National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=370265
MIN	Wetmore, C.	Michigan	Alger	213.86	outside_boundary_exact	Michigan, Manistee County	44.25611111,-86.22	790135	Hurricane River Campground, 0.5 Mi Sw; Pictured Rocks National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=370266
MIN	Wetmore, C.	Michigan	Alger	213.86	outside_boundary_exact	Michigan, Manistee County	44.25611111,-86.22	790136	Hurricane River Campground, 0.5 Mi Sw; Pictured Rocks National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=370267
MIN	Wetmore, C.	Michigan	Alger	213.86	outside_boundary_exact	Michigan, Manistee County	44.25611111,-86.22	790137	Hurricane River Campground, 0.5 Mi Sw; Pictured Rocks National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=370268
MIN	Wetmore, C.	Michigan	Alger	213.86	outside_boundary_exact	Michigan, Manistee County	44.25611111,-86.22	790138	Hurricane River Campground, 0.5 Mi Sw; Pictured Rocks National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=370269
MIN	Wetmore, C.	Michigan	Alger	213.86	outside_boundary_exact	Michigan, Manistee County	44.25611111,-86.22	790139	Hurricane River Campground, 0.5 Mi Sw; Pictured Rocks National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=370270
MIN	Wetmore, C.	Michigan	Alger	213.86	outside_boundary_exact	Michigan, Manistee County	44.25611111,-86.22	790140	Hurricane River Campground, 0.5 Mi Sw; Pictured Rocks National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=370271
MIN	Wetmore, C.	Michigan	Alger	213.86	outside_boundary_exact	Michigan, Manistee County	44.25611111,-86.22	790141	Hurricane River Campground, 0.5 Mi Sw; Pictured Rocks National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=370272
MIN	Wetmore, C.	Michigan	Alger	213.86	outside_boundary_exact	Michigan, Manistee County	44.25611111,-86.22	790142	Hurricane River Campground, 0.5 Mi Sw; Pictured Rocks National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=370273
MIN	Wetmore, C.	Michigan	Alger	213.86	outside_boundary_exact	Michigan, Manistee County	44.25611111,-86.22	790143	Hurricane River Campground, 0.5 Mi Sw; Pictured Rocks National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=370274
MIN	Wetmore, C.	Michigan	Alger	213.86	outside_boundary_exact	Michigan, Manistee County	44.25611111,-86.22	790144	Hurricane River Campground, 0.5 Mi Sw; Pictured Rocks National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=370275
MIN	Wetmore, C.	Michigan	Alger	213.86	outside_boundary_exact	Michigan, Manistee County	44.25611111,-86.22	790145	Hurricane River Campground, 0.5 Mi Sw; Pictured Rocks National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=370276
MIN	Wetmore, C.	Michigan	Alger	213.86	outside_boundary_exact	Michigan, Manistee County	44.25611111,-86.22	790146	Hurricane River Campground, 0.5 Mi Sw; Pictured Rocks National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=370277
MIN	Wetmore, C.	Michigan	Alger	213.86	outside_boundary_exact	Michigan, Manistee County	44.25611111,-86.22	790147	Hurricane River Campground, 0.5 Mi Sw; Pictured Rocks National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=370278
MIN	Wetmore, C.	Michigan	Alger	213.86	outside_boundary_exact	Michigan, Manistee County	44.25611111,-86.22	790148	Hurricane River Campground, 0.5 Mi Sw; Pictured Rocks National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=370279
MIN	Wetmore, C.	Michigan	Alger	213.86	outside_boundary_exact	Michigan, Manistee County	44.25611111,-86.22	790149	Hurricane River Campground, 0.5 Mi Sw; Pictured Rocks National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=370280
MIN	Wetmore, C.	Michigan	Alger	213.86	outside_boundary_exact	Michigan, Manistee County	44.25611111,-86.22	791846	Hurricane River Campground, 0.5 Mi Sw; Pictured Rocks National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=371899
MIN	Wetmore, C.	Michigan	Alger	213.86	outside_boundary_exact	Michigan, Manistee County	44.25611111,-86.22	791847	Hurricane River Campground, 0.5 Mi Sw; Pictured Rocks National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=371900
MIN	Wetmore, C.	Michigan	Alger	213.86	outside_boundary_exact	Michigan, Manistee County	44.25611111,-86.22	791848	Hurricane River Campground, 0.5 Mi Sw; Pictured Rocks National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=371901
MIN	Wetmore, C.	Michigan	Alger	213.86	outside_boundary_exact	Michigan, Manistee County	44.25611111,-86.22	791849	Hurricane River Campground, 0.5 Mi Sw; Pictured Rocks National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=371902
MIN	Wetmore, C.	Michigan	Alger	213.86	outside_boundary_exact	Michigan, Manistee County	44.25611111,-86.22	791850	Hurricane River Campground, 0.5 Mi Sw; Pictured Rocks National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=371903
MIN	Wetmore, C.	Michigan	Alger	213.86	outside_boundary_exact	Michigan, Manistee County	44.25611111,-86.22	791851	Hurricane River Campground, 0.5 Mi Sw; Pictured Rocks National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=371904
MIN	Wetmore, C.	Michigan	Alger	213.86	outside_boundary_exact	Michigan, Manistee County	44.25611111,-86.22	791852	Hurricane River Campground, 0.5 Mi Sw; Pictured Rocks National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=371905
MIN	Wetmore, C.	Michigan	Alger	213.86	outside_boundary_exact	Michigan, Manistee County	44.25611111,-86.22	791853	Hurricane River Campground, 0.5 Mi Sw; Pictured Rocks National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=371906
MIN	Wetmore, C.	Michigan	Alger	213.86	outside_boundary_exact	Michigan, Manistee County	44.25611111,-86.22	791854	Hurricane River Campground, 0.5 Mi Sw; Pictured Rocks National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=371907
MIN	Wetmore, C.	Michigan	Alger	213.86	outside_boundary_exact	Michigan, Manistee County	44.25611111,-86.22	791855	Hurricane River Campground, 0.5 Mi Sw; Pictured Rocks National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=371908
MIN	Wetmore, C.	Michigan	Alger	213.86	outside_boundary_exact	Michigan, Manistee County	44.25611111,-86.22	791856	Hurricane River Campground, 0.5 Mi Sw; Pictured Rocks National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=371909
MIN	Wetmore, C.	Michigan	Alger	213.86	outside_boundary_exact	Michigan, Manistee County	44.25611111,-86.22	791857	Hurricane River Campground, 0.5 Mi Sw; Pictured Rocks National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=371910
MIN	Wetmore, C.	Michigan	Alger	213.86	outside_boundary_exact	Michigan, Manistee County	44.25611111,-86.22	791858	Hurricane River Campground, 0.5 Mi Sw; Pictured Rocks National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=371911
MIN	Wetmore, C.	Michigan	Alger	213.86	outside_boundary_exact	Michigan, Manistee County	44.25611111,-86.22	791859	Hurricane River Campground, 0.5 Mi Sw; Pictured Rocks National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=371912
MIN	Wetmore, C.	Michigan	Alger	213.86	outside_boundary_exact	Michigan, Manistee County	44.25611111,-86.22	791860	Hurricane River Campground, 0.5 Mi Sw; Pictured Rocks National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=371913
MIN	Wetmore, C.	Michigan	Alger	213.86	outside_boundary_exact	Michigan, Manistee County	44.25611111,-86.22	791861	Hurricane River Campground, 0.5 Mi Sw; Pictured Rocks National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=371914
MIN	Wetmore, C.	Michigan	Alger	213.86	outside_boundary_exact	Michigan, Manistee County	44.25611111,-86.22	791862	Hurricane River Campground, 0.5 Mi Sw; Pictured Rocks National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=371915
MSC	Wetmore, Clifford M	Michigan	Mackinac	211.75	outside_boundary_exact	Michigan, Osceola County	43.87015,-85.211878	MSC0040256	Near Rice Lake	https://lichenportal.org/portal/collections/individual/index.php?occid=233911
ASU	Clifford M. Wetmore	Michigan	Alger	171.85	outside_boundary_exact	Michigan, Chippewa County	46.0999985,-83.7166672	NA	Pictured Rocks National Lakeshore, half mile southwest of Hurricane River Campground, back from shore of Lake Superior, Sec. 10, T49N, R15W	https://lichenportal.org/portal/collections/individual/index.php?occid=76721
PH	Clifford M. Wetmore	Michigan	Chippewa	148.19	outside_boundary_exact	Michigan, Marquette County	46.363889,-87.16	PH00117454	Hiawatha National Forest, Dukes Bog east of Selma (10 miles west of Chatham)	https://lichenportal.org/portal/collections/individual/index.php?occid=1797128
WIS	Clifford M. Wetmore	Michigan	Delta	136.04	outside_boundary_exact	Michigan, Chippewa County	46.387778,-84.760278	WIS-L-0085665	Hiawatha National Forest, Raco Plains (10.3 mi [16 km] NE of Strongs Corner, along USFS 3041 3.5 mi [4.8 km] E of Rexford Road	https://lichenportal.org/portal/collections/individual/index.php?occid=2419680
MIN	Wetmore, C.	Michigan	Keweenaw	99.77	outside_boundary_exact	not_found_in_US	49.20833333,-88.51277778	858104	Davidson Island In Rock Harbor; Isle Royale National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=400139
MIN	Wetmore, C	Michigan	Keweenaw	99.77	outside_boundary_exact	not_found_in_US	49.20833333,-88.51277778	956511	Davidson Island In Rock Harbor; Isle Royale National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=3401868
MSC	Wetmore, Clifford M	Michigan	Washtenaw	66.96	outside_boundary_exact	Michigan, Calhoun County	42.4166679,-84.9499969	MSC0100400	Washtenaw county: near park area on SIlver lake in Pinckney Recreation area.	https://lichenportal.org/portal/collections/individual/index.php?occid=178005
MIN	Wetmore, C.	Michigan	Leelanau	43.02	outside_boundary_exact	Michigan, Antrim County	44.88694444,-85.02388889	789228	Glen Haven, 1 Mi S, Farmsite; Sleeping Bear Dunes National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=369651
MIN	Wetmore, C.	Michigan	Leelanau	43.02	outside_boundary_exact	Michigan, Antrim County	44.88694444,-85.02388889	789229	Glen Haven, 1 Mi S, Farmsite; Sleeping Bear Dunes National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=369652
MIN	Wetmore, C.	Michigan	Leelanau	43.02	outside_boundary_exact	Michigan, Antrim County	44.88694444,-85.02388889	789230	Glen Haven, 1 Mi S, Farmsite; Sleeping Bear Dunes National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=369653
MIN	Wetmore, C.	Michigan	Leelanau	43.02	outside_boundary_exact	Michigan, Antrim County	44.88694444,-85.02388889	789231	Glen Haven, 1 Mi S, Farmsite; Sleeping Bear Dunes National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=369654
MIN	Wetmore, C.	Michigan	Leelanau	43.02	outside_boundary_exact	Michigan, Antrim County	44.88694444,-85.02388889	789232	Glen Haven, 1 Mi S, Farmsite; Sleeping Bear Dunes National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=369655
MIN	Wetmore, C.	Michigan	Leelanau	43.02	outside_boundary_exact	Michigan, Antrim County	44.88694444,-85.02388889	789233	Glen Haven, 1 Mi S, Farmsite; Sleeping Bear Dunes National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=369656
MIN	Wetmore, C.	Michigan	Leelanau	43.02	outside_boundary_exact	Michigan, Antrim County	44.88694444,-85.02388889	789234	Glen Haven, 1 Mi S, Farmsite; Sleeping Bear Dunes National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=369657
MIN	Wetmore, C.	Michigan	Leelanau	43.02	outside_boundary_exact	Michigan, Antrim County	44.88694444,-85.02388889	789235	Glen Haven, 1 Mi S, Farmsite; Sleeping Bear Dunes National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=369658
