institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
ASU	Clifford M. Wetmore	North Carolina	Buncombe	18.75	outside_boundary_exact	North Carolina, Haywood County	35.30361111,-82.90333333	ASUL013459	on ridge of Mt. Pisgah near milepost 407 on Blue Ridge Parkway (24 km SW of Ashville)	https://lichenportal.org/portal/collections/individual/index.php?occid=70999
MIN	Wetmore, C.	North Carolina	Buncombe	18.75	outside_boundary_exact	North Carolina, Haywood County	35.30361111,-82.90333333	667576	Mt. Pisgah Ridge; Blue Ridge National Parkway	https://lichenportal.org/portal/collections/individual/index.php?occid=321853
MIN	Wetmore, C.	North Carolina	Buncombe	18.75	outside_boundary_exact	North Carolina, Haywood County	35.30361111,-82.90333333	793745	Mt. Pisgah Ridge; Blue Ridge National Parkway	https://lichenportal.org/portal/collections/individual/index.php?occid=373106
MIN	Wetmore, C.	North Carolina	Buncombe	18.75	outside_boundary_exact	North Carolina, Haywood County	35.30361111,-82.90333333	823314	Mt. Pisgah Ridge; Blue Ridge National Parkway	https://lichenportal.org/portal/collections/individual/index.php?occid=387081
MIN	Wetmore, C.	North Carolina	Buncombe	18.75	outside_boundary_exact	North Carolina, Haywood County	35.30361111,-82.90333333	823315	Mt. Pisgah Ridge; Blue Ridge National Parkway	https://lichenportal.org/portal/collections/individual/index.php?occid=387082
MIN	Wetmore, C.	North Carolina	Buncombe	18.75	outside_boundary_exact	North Carolina, Haywood County	35.30361111,-82.90333333	823316	Mt. Pisgah Ridge; Blue Ridge National Parkway	https://lichenportal.org/portal/collections/individual/index.php?occid=387083
MIN	Wetmore, C.	North Carolina	Buncombe	18.75	outside_boundary_exact	North Carolina, Haywood County	35.30361111,-82.90333333	823317	Mt. Pisgah Ridge; Blue Ridge National Parkway	https://lichenportal.org/portal/collections/individual/index.php?occid=387084
MIN	Wetmore, C.	North Carolina	Buncombe	18.75	outside_boundary_exact	North Carolina, Haywood County	35.30361111,-82.90333333	823318	Mt. Pisgah Ridge; Blue Ridge National Parkway	https://lichenportal.org/portal/collections/individual/index.php?occid=387085
MIN	Wetmore, C.	North Carolina	Buncombe	18.75	outside_boundary_exact	North Carolina, Haywood County	35.30361111,-82.90333333	823319	Mt. Pisgah Ridge; Blue Ridge National Parkway	https://lichenportal.org/portal/collections/individual/index.php?occid=387086
MIN	Wetmore, C.	North Carolina	Buncombe	18.75	outside_boundary_exact	North Carolina, Haywood County	35.30361111,-82.90333333	823320	Mt. Pisgah Ridge; Blue Ridge National Parkway	https://lichenportal.org/portal/collections/individual/index.php?occid=387087
MIN	Wetmore, C.	North Carolina	Buncombe	18.75	outside_boundary_exact	North Carolina, Haywood County	35.30361111,-82.90333333	823321	Mt. Pisgah Ridge; Blue Ridge National Parkway	https://lichenportal.org/portal/collections/individual/index.php?occid=387088
MIN	Wetmore, C.	North Carolina	Buncombe	18.75	outside_boundary_exact	North Carolina, Haywood County	35.30361111,-82.90333333	846560	Mt. Pisgah Ridge; Blue Ridge National Parkway	https://lichenportal.org/portal/collections/individual/index.php?occid=396482
MIN	Wetmore, C.	North Carolina	Buncombe	18.75	outside_boundary_exact	North Carolina, Haywood County	35.30361111,-82.90333333	862600	Mt. Pisgah Ridge; Blue Ridge National Parkway	https://lichenportal.org/portal/collections/individual/index.php?occid=403302
MIN	Wetmore, C.	North Carolina	Buncombe	18.75	outside_boundary_exact	North Carolina, Haywood County	35.30361111,-82.90333333	863464	Mt. Pisgah Ridge; Blue Ridge National Parkway	https://lichenportal.org/portal/collections/individual/index.php?occid=403851
MIN	Wetmore, C.	North Carolina	Buncombe	18.75	outside_boundary_exact	North Carolina, Haywood County	35.30361111,-82.90333333	872014	Mt. Pisgah Ridge; Blue Ridge National Parkway	https://lichenportal.org/portal/collections/individual/index.php?occid=409628
MIN	Wetmore, C.	North Carolina	Buncombe	18.75	outside_boundary_exact	North Carolina, Haywood County	35.30361111,-82.90333333	872818	Mt. Pisgah Ridge; Blue Ridge National Parkway	https://lichenportal.org/portal/collections/individual/index.php?occid=410386
