institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
MIN	Wetmore, C.	Texas	Brewster	24.42	outside_boundary_exact	not_found_in_US	29.18388889,-102.6202778	630998	Rio Grande Village; Big Bend National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=309662
MIN	Wetmore, C.	Texas	Brewster	24.42	outside_boundary_exact	not_found_in_US	29.18388889,-102.6202778	630999	Rio Grande Village; Big Bend National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=309663
MIN	Wetmore, C.	Texas	Brewster	24.42	outside_boundary_exact	not_found_in_US	29.18388889,-102.6202778	631000	Rio Grande Village; Big Bend National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=309664
MIN	Wetmore, C.	Texas	Brewster	24.42	outside_boundary_exact	not_found_in_US	29.18388889,-102.6202778	631001	Rio Grande Village; Big Bend National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=309665
MIN	Wetmore, C.	Texas	Brewster	24.42	outside_boundary_exact	not_found_in_US	29.18388889,-102.6202778	631130	Rio Grande Village; Big Bend National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=309793
MIN	Wetmore, C.	Texas	Brewster	24.42	outside_boundary_exact	not_found_in_US	29.18388889,-102.6202778	631131	Rio Grande Village; Big Bend National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=309794
MIN	Wetmore, C.	Texas	Brewster	24.42	outside_boundary_exact	not_found_in_US	29.18388889,-102.6202778	881082	Rio Grande Village; Big Bend National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=415958
ASU	Clifford M. Wetmore	Texas	Brewster	9.99	outside_boundary_exact	not_found_in_US	29,-103	NA	Big Bend National Park, around Boulder Meadows S of The Basin	https://lichenportal.org/portal/collections/individual/index.php?occid=59427
ASU	Clifford M. Wetmore	Texas	Brewster	9.99	outside_boundary_exact	not_found_in_US	29,-103	ASUL030581	Big Bend National Park, along Lost Mine Trail to Lost Mine Ridge	https://lichenportal.org/portal/collections/individual/index.php?occid=72967
ASU	Clifford M. Wetmore	Texas	Brewster	9.99	outside_boundary_exact	not_found_in_US	29,-103	ASUL032492	Big Bend National Park, around Boulder Meadows S of The Basin	https://lichenportal.org/portal/collections/individual/index.php?occid=76397
ASU	Clifford M. Wetmore	Texas	Brewster	9.99	outside_boundary_exact	not_found_in_US	29,-103	NA	Big Bend National Park, around Boulder Meadows S of The Basin	https://lichenportal.org/portal/collections/individual/index.php?occid=76868
ASU	Clifford M. Wetmore	Texas	Brewster	9.99	outside_boundary_exact	not_found_in_US	29,-103	NA	Big Bend National Park, along Lost Mine Trail from Panther Pass	https://lichenportal.org/portal/collections/individual/index.php?occid=77902
ASU	Clifford M. Wetmore	Texas	Brewster	9.99	outside_boundary_exact	not_found_in_US	29,-103	NA	Big Bend National Park, around Boulder Meadows S of The Basin	https://lichenportal.org/portal/collections/individual/index.php?occid=82652
ASU	Clifford M. Wetmore	Texas	Brewster	9.99	outside_boundary_exact	not_found_in_US	29,-103	ASUL019302	Big Bend National Park, around Boulder Meadows S of The Basin	https://lichenportal.org/portal/collections/individual/index.php?occid=85624
ASU	Clifford M. Wetmore	Texas	Brewster	9.99	outside_boundary_exact	not_found_in_US	29,-103	ASUL019395	Big Bend National Park, around Boulder Meadows S of The Basin	https://lichenportal.org/portal/collections/individual/index.php?occid=85784
ASU	Clifford M. Wetmore	Texas	Brewster	9.99	outside_boundary_exact	not_found_in_US	29,-103	ASUL010050	Big Bend National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=85911
ASU	Clifford M. Wetmore	Texas	Brewster	9.99	outside_boundary_exact	not_found_in_US	29,-103	NA	Big Bend National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=98814
ASU	Clifford M. Wetmore	Texas	Brewster	9.99	outside_boundary_exact	not_found_in_US	29,-103	NA	Big Bend National Park, along Lost Mine Trail to Lost Mine Ridge	https://lichenportal.org/portal/collections/individual/index.php?occid=101814
WIS	Wetmore, Clifford M	Texas	Brewster	9.99	outside_boundary_exact	not_found_in_US	29,-103	WIS-L-0010199	Big Bend National Park. Around Boulder Meadows S of The Basin.	https://lichenportal.org/portal/collections/individual/index.php?occid=957642
MSC	Wetmore, Clifford M	Texas	Brewster	0.01	outside_boundary_exact	Texas, Brewster County	29.180205,-102.962838	MSC0119087	Texas ; Brewster County: Rio Grande Village, on hills N of campground in desert	https://lichenportal.org/portal/collections/individual/index.php?occid=188499
