occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
3566161	ASU	Bungartz, F.	Arizona	Santa Cruz County	1120.31	outside_boundary_exact	ASUL005663	41.7433333333333,-110.908611111111	Wyoming, Lincoln County	Madera Canyon, Mesquite bushland	https://lichenportal.org/portal/collections/individual/index.php?occid=3566161
3566162	ASU	Bungartz, F.	Arizona	Santa Cruz County	1120.31	outside_boundary_exact	ASUL005664	41.7433333333333,-110.908611111111	Wyoming, Lincoln County	Madera Canyon, Mesquite bushland	https://lichenportal.org/portal/collections/individual/index.php?occid=3566162
3566163	ASU	Bungartz, F.	Arizona	Santa Cruz County	1120.31	outside_boundary_exact	NA	41.7433333333333,-110.908611111111	Wyoming, Lincoln County	Madera Canyon, Mesquite bushland	https://lichenportal.org/portal/collections/individual/index.php?occid=3566163
3566164	ASU	Bungartz, F.	Arizona	Santa Cruz County	1120.31	outside_boundary_exact	ASUL005665	41.7433333333333,-110.908611111111	Wyoming, Lincoln County	Madera Canyon, Mesquite bushland	https://lichenportal.org/portal/collections/individual/index.php?occid=3566164
3566165	ASU	Bungartz, F.	Arizona	Santa Cruz County	1120.31	outside_boundary_exact	ASUL005666	41.7433333333333,-110.908611111111	Wyoming, Lincoln County	Madera Canyon, Mesquite bushland	https://lichenportal.org/portal/collections/individual/index.php?occid=3566165
942718	ASU	R.A. Darrow	Arizona	Santa Cruz	698.47	outside_boundary_exact	NA	31.4833333,-118.75	not_found_in_US	Sycamore Canyon	https://lichenportal.org/portal/collections/individual/index.php?occid=942718
87979	ASU	D. Rankert	Arizona	San Juan	549.59	outside_boundary_first_word_match	NA	36.5,-108.9833333	New Mexico, San Juan County	S15	https://lichenportal.org/portal/collections/individual/index.php?occid=87979
72081	ASU	A. Olafsen	Arizona	Santa Cruz	347.85	outside_boundary_exact	ASUL018912	34.6166667,-112.5666667	Arizona, Yavapai County	E side of Snata Rita Mountains, road to Mt. Wrightson	https://lichenportal.org/portal/collections/individual/index.php?occid=72081
75614	ASU	A. Olafsen	Arizona	Santa Cruz	347.85	outside_boundary_exact	ASUL032475	34.6166667,-112.5666667	Arizona, Yavapai County	E side of Snata Rita Mountains, road to Mt. Wrightson	https://lichenportal.org/portal/collections/individual/index.php?occid=75614
76673	ASU	A. Olafsen	Arizona	Santa Cruz	347.85	outside_boundary_exact	ASUL024023	34.6166667,-112.5666667	Arizona, Yavapai County	E side of Snata Rita Mountains, road to Mt. Wrightson	https://lichenportal.org/portal/collections/individual/index.php?occid=76673
77895	ASU	Astrid Olafsen	Arizona	Santa Cruz	347.85	outside_boundary_exact	ASUL048967	34.6166667,-112.5666667	Arizona, Yavapai County	E side of Snata Rita Mountains, road to Mt. Wrightson	https://lichenportal.org/portal/collections/individual/index.php?occid=77895
79903	ASU	A. Olafsen	Arizona	Santa Cruz	347.85	outside_boundary_exact	NA	34.6166667,-112.5666667	Arizona, Yavapai County	E side of Snata Rita Mountains, road to Mt. Wrightson	https://lichenportal.org/portal/collections/individual/index.php?occid=79903
80092	ASU	A. Olafsen	Arizona	Santa Cruz	347.85	outside_boundary_exact	NA	34.6166667,-112.5666667	Arizona, Yavapai County	E side of Snata Rita Mountains, road to Mt. Wrightson	https://lichenportal.org/portal/collections/individual/index.php?occid=80092
80222	ASU	A. Olafsen	Arizona	Santa Cruz	347.85	outside_boundary_exact	NA	34.6166667,-112.5666667	Arizona, Yavapai County	E side of Snata Rita Mountains, road to Mt. Wrightson	https://lichenportal.org/portal/collections/individual/index.php?occid=80222
81591	ASU	A. Olafsen	Arizona	Santa Cruz	347.85	outside_boundary_exact	NA	34.6166667,-112.5666667	Arizona, Yavapai County	E side of Snata Rita Mountains, road to Mt. Wrightson	https://lichenportal.org/portal/collections/individual/index.php?occid=81591
83762	ASU	A. Olafsen	Arizona	Santa Cruz	347.85	outside_boundary_exact	NA	34.6166667,-112.5666667	Arizona, Yavapai County	E side of Snata Rita Mountains, road to Mt. Wrightson	https://lichenportal.org/portal/collections/individual/index.php?occid=83762
83763	ASU	A. Olafsen	Arizona	Santa Cruz	347.85	outside_boundary_exact	NA	34.6166667,-112.5666667	Arizona, Yavapai County	E side of Snata Rita Mountains, road to Mt. Wrightson	https://lichenportal.org/portal/collections/individual/index.php?occid=83763
83845	ASU	A. Olafsen	Arizona	Santa Cruz	347.85	outside_boundary_exact	NA	34.6166667,-112.5666667	Arizona, Yavapai County	E side of Snata Rita Mountains, road to Mt. Wrightson	https://lichenportal.org/portal/collections/individual/index.php?occid=83845
96155	ASU	A. Olafsen	Arizona	Santa Cruz	347.85	outside_boundary_exact	NA	34.6166667,-112.5666667	Arizona, Yavapai County	E side of Snata Rita Mountains, road to Mt. Wrightson	https://lichenportal.org/portal/collections/individual/index.php?occid=96155
119047	ASU	A. Olafsen	Arizona	Santa Cruz	347.85	outside_boundary_exact	NA	34.6166667,-112.5666667	Arizona, Yavapai County	E side of Snata Rita Mountains, road to Mt. Wrightson	https://lichenportal.org/portal/collections/individual/index.php?occid=119047
3573618	ASU	A. Olafsen	Arizona	Santa Cruz	347.85	outside_boundary_exact	ASUL007576	34.6166667,-112.5666667	Arizona, Yavapai County	E side of Santa Rita Mountains, road to Mt. Wrightson	https://lichenportal.org/portal/collections/individual/index.php?occid=3573618
122370	ASU	R.A. Darrow	Arizona	Santa Cruz	328.8	outside_boundary_exact	NA	34.6666667,-111.3666667	Arizona, Coconino County	16 km NW of Long Valley, SW of Winslow	https://lichenportal.org/portal/collections/individual/index.php?occid=122370
117573	ASU	T.H. Nash III	Arizona	Apache	325.43	outside_boundary_exact	ASUL005771	33.933333,-105.5	New Mexico, Lincoln County	Apache National Forest; Mount Baldy Wilderness, to the S of the East Fork of the Little Colorado River	https://lichenportal.org/portal/collections/individual/index.php?occid=117573
940314	ASU	W.A. Weber	Arizona	Pinal	313.34	outside_boundary_exact	NA	36.2666667,-111.1666667	Arizona, Coconino County	SW of Superior, just S of Picketpost Mountains, near Southwestern Arboretum	https://lichenportal.org/portal/collections/individual/index.php?occid=940314
117861	ASU	T.H. Nash III	Arizona	Apache	312.75	outside_boundary_exact	ASUL005758	36.933333,-105.5	New Mexico, Taos County	Apache National Forest; Mount Baldy Wilderness, to the S of the East Fork of the Little Colorado River	https://lichenportal.org/portal/collections/individual/index.php?occid=117861
3771668	ASU	Garry Neil	Arizona	Cochise	311.52	outside_boundary_exact	ASUL012658	34.999407,-111.759798	Arizona, Coconino County	West Fork Trail, Oak Creek Canyon, Red Rock Ranger District, Coconino National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=3771668
