occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
87098	ASU	B.D. Ryan	Missouri	Saint Clair	43.04	outside_boundary_standardized_exact	NA	38,-93.0125	Missouri, Camden County	Stop 1, ABLS Foray. Buzzard Bluff, E side of Sac River	https://lichenportal.org/portal/collections/individual/index.php?occid=87098
88901	ASU	B.D. Ryan	Missouri	Saint Clair	43.04	outside_boundary_standardized_exact	ASUL010344	38,-93.0125	Missouri, Camden County	Stop 1, ABLS Foray. Buzzard Bluff, E side of Sac River	https://lichenportal.org/portal/collections/individual/index.php?occid=88901
95039	ASU	B.D. Ryan	Missouri	Saint Clair	43.04	outside_boundary_standardized_exact	NA	38,-93.0125	Missouri, Camden County	Stop 1, ABLS Foray. Buzzard Bluff, E side of Sac River	https://lichenportal.org/portal/collections/individual/index.php?occid=95039
2742596	ASU	B.D. Ryan	Missouri	Saint Clair	43.04	outside_boundary_standardized_exact	ASUL047801	38,-93.0125	Missouri, Camden County	Stop 1, ABLS Foray. Buzzard Bluff, E side of Sac River	https://lichenportal.org/portal/collections/individual/index.php?occid=2742596
49080	ASU	T.H. Nash III	Missouri	Saint Clair	8.91	outside_boundary_standardized_exact	NA	37.75,-93.6333333	Missouri, Cedar County	Buzzards Bluff above the Sac River, ca. 24 km N of Springfield	https://lichenportal.org/portal/collections/individual/index.php?occid=49080
49081	ASU	T.H. Nash III	Missouri	Saint Clair	8.91	outside_boundary_standardized_exact	ASUL001592	37.75,-93.6333333	Missouri, Cedar County	Buzzards Bluff above the Sac River, ca. 24 km N of Springfield	https://lichenportal.org/portal/collections/individual/index.php?occid=49081
49082	ASU	T.H. Nash III	Missouri	Saint Clair	8.91	outside_boundary_standardized_exact	NA	37.75,-93.6333333	Missouri, Cedar County	Buzzards Bluff above the Sac River, ca. 24 km N of Springfield	https://lichenportal.org/portal/collections/individual/index.php?occid=49082
49083	ASU	T.H. Nash III	Missouri	Saint Clair	8.91	outside_boundary_standardized_exact	NA	37.75,-93.6333333	Missouri, Cedar County	Buzzards Bluff above the Sac River, ca. 24 km N of Springfield	https://lichenportal.org/portal/collections/individual/index.php?occid=49083
49084	ASU	T.H. Nash III	Missouri	Saint Clair	8.91	outside_boundary_standardized_exact	ASUL029108	37.75,-93.6333333	Missouri, Cedar County	Buzzards Bluff above the Sac River, ca. 80 km [50 mi] N of Springfield	https://lichenportal.org/portal/collections/individual/index.php?occid=49084
49085	ASU	T.H. Nash III	Missouri	Saint Clair	8.91	outside_boundary_standardized_exact	NA	37.75,-93.6333333	Missouri, Cedar County	Buzzards Bluff above the Sac River, ca. 24 km N of Springfield	https://lichenportal.org/portal/collections/individual/index.php?occid=49085
