occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
709957	ASU	J. C. Lendemer	Pennsylvania	Lackawanna	31.64	outside_boundary_exact	ASUL001700	41.555,-75.075278	Pennsylvania, Pike County	Lackawanna State Park, S of Lackawanna Lake, Turkey Hill Trail, slopes above PA Route 407, 2.8 mi N of Waverly, North Abington Township.	https://lichenportal.org/portal/collections/individual/index.php?occid=709957
49801	ASU	T.H. Nash III	Pennsylvania	Carbon	16.26	outside_boundary_exact	ASUL009818	40.6666667,-75.95	Pennsylvania, Schuylkill County	Dan's Pulpit along Blue Mountain Ridge, 32 km W of Palmerton	https://lichenportal.org/portal/collections/individual/index.php?occid=49801
49808	ASU	T.H. Nash III	Pennsylvania	Schuylkill	7.56	outside_boundary_exact	NA	40.6666667,-75.7333333	Pennsylvania, Lehigh County	14 km E of Dan's Pulpit	https://lichenportal.org/portal/collections/individual/index.php?occid=49808
1374923	ASU	J.C. Lendemer	Pennsylvania	Wyoming	6.47	outside_boundary_exact	ASU0069326	41.706944,-76.091667	Pennsylvania, Susquehanna County	State Game Lands 57, Sober Mountain, orange trail, ca. 1.5 mi S of Stull, E of Noxen, Noxen Township.	https://lichenportal.org/portal/collections/individual/index.php?occid=1374923
94058	ASU	T.H. Nash III	Pennsylvania	Monroe	2.12	outside_boundary_exact	ASUL000584	41.021667,-75.018611	New Jersey, Warren County	Delaware Water Gap, N slope	https://lichenportal.org/portal/collections/individual/index.php?occid=94058
49793	ASU	T.H. Nash III	Pennsylvania	Schuylkill	2.08	outside_boundary_exact	NA	40.6666667,-75.8666667	Pennsylvania, Lehigh County	8 km E of Dan's Pulpit, N-side	https://lichenportal.org/portal/collections/individual/index.php?occid=49793
52226	ASU	T.H. Nash III	Pennsylvania	Warren	1.12	outside_boundary_exact	ASUL013467	41.6166667,-79.1666667	Pennsylvania, Forest County	Border of Warren and Forest Counties, Minister Creek Campground, 10 km west of Lynch along state route 666	https://lichenportal.org/portal/collections/individual/index.php?occid=52226
52227	ASU	T.H. Nash III	Pennsylvania	Warren	1.12	outside_boundary_exact	NA	41.6166667,-79.1666667	Pennsylvania, Forest County	Border of Warren and Forest Counties, Minister Creek Campground, 10 km west of Lynch along state route 666	https://lichenportal.org/portal/collections/individual/index.php?occid=52227
52228	ASU	T.H. Nash III	Pennsylvania	Warren	1.12	outside_boundary_exact	NA	41.6166667,-79.1666667	Pennsylvania, Forest County	Border of Warren and Forest Counties, Minister Creek Campground, 10 km west of Lynch along state route 666	https://lichenportal.org/portal/collections/individual/index.php?occid=52228
52229	ASU	T.H. Nash III	Pennsylvania	Warren	1.12	outside_boundary_exact	ASUL015188	41.6166667,-79.1666667	Pennsylvania, Forest County	Border of Warren and Forest Counties, Minister Creek Campground, 10 km west of Lynch along state route 666	https://lichenportal.org/portal/collections/individual/index.php?occid=52229
52230	ASU	T.H. Nash III	Pennsylvania	Warren	1.12	outside_boundary_exact	NA	41.6166667,-79.1666667	Pennsylvania, Forest County	Border of Warren and Forest Counties, Minister Creek Campground, 10 km west of Lynch along state route 666	https://lichenportal.org/portal/collections/individual/index.php?occid=52230
52231	ASU	T.H. Nash III	Pennsylvania	Warren	1.12	outside_boundary_exact	NA	41.6166667,-79.1666667	Pennsylvania, Forest County	Border of Warren and Forest Counties, Minister Creek Campground, 10 km west of Lynch along state route 666	https://lichenportal.org/portal/collections/individual/index.php?occid=52231
52232	ASU	T.H. Nash III	Pennsylvania	Warren	1.12	outside_boundary_exact	NA	41.6166667,-79.1666667	Pennsylvania, Forest County	Border of Warren and Forest Counties, Minister Creek Campground, 10 km west of Lynch along state route 666	https://lichenportal.org/portal/collections/individual/index.php?occid=52232
52234	ASU	T.H. Nash III	Pennsylvania	Warren	1.12	outside_boundary_exact	NA	41.6166667,-79.1666667	Pennsylvania, Forest County	Border of Warren and Forest Counties, Minister Creek Campground, 10 km west of Lynch along state route 666	https://lichenportal.org/portal/collections/individual/index.php?occid=52234
52235	ASU	T.H. Nash III	Pennsylvania	Warren	1.12	outside_boundary_exact	NA	41.6166667,-79.1666667	Pennsylvania, Forest County	Border of Warren and Forest Counties, Minister Creek Campground, 10 km west of Lynch along state route 666	https://lichenportal.org/portal/collections/individual/index.php?occid=52235
52236	ASU	T.H. Nash III	Pennsylvania	Warren	1.12	outside_boundary_exact	ASUL000613	41.6166667,-79.1666667	Pennsylvania, Forest County	Border of Warren and Forest counties, Minister Creek Campground, 16 km W of Lynch along PA 666	https://lichenportal.org/portal/collections/individual/index.php?occid=52236
52237	ASU	T.H. Nash III	Pennsylvania	Warren	1.12	outside_boundary_exact	ASUL008499	41.6166667,-79.1666667	Pennsylvania, Forest County	Border of Warren and Forest Counties, Minister Creek Campground, 10 km west of Lynch along state route 666	https://lichenportal.org/portal/collections/individual/index.php?occid=52237
52238	ASU	T.H. Nash III	Pennsylvania	Warren	1.12	outside_boundary_exact	NA	41.6166667,-79.1666667	Pennsylvania, Forest County	Border of Warren and Forest Counties, Minister Creek Campground, 10 km west of Lynch along state route 666	https://lichenportal.org/portal/collections/individual/index.php?occid=52238
52239	ASU	T.H. Nash III	Pennsylvania	Warren	1.12	outside_boundary_exact	ASUL035282	41.6166667,-79.1666667	Pennsylvania, Forest County	Border of Warren and Forest Counties, Minister Creek Campground, 10 km west of Lynch along state route 666	https://lichenportal.org/portal/collections/individual/index.php?occid=52239
52240	ASU	T.H. Nash III	Pennsylvania	Warren	1.12	outside_boundary_exact	ASUL035058	41.6166667,-79.1666667	Pennsylvania, Forest County	Border of Warren and Forest Counties, Minister Creek Campground, 10 km west of Lynch along state route 666	https://lichenportal.org/portal/collections/individual/index.php?occid=52240
52241	ASU	T.H. Nash III	Pennsylvania	Warren	1.12	outside_boundary_exact	ASUL024579	41.6166667,-79.1666667	Pennsylvania, Forest County	Border of Warren and Forest Counties, Minister Creek Campground, 10 km west of Lynch along state route 666	https://lichenportal.org/portal/collections/individual/index.php?occid=52241
52242	ASU	T.H. Nash III	Pennsylvania	Warren	1.12	outside_boundary_exact	ASUL011347	41.6166667,-79.1666667	Pennsylvania, Forest County	Border of Warren and Forest Counties, Minister Creek Campground, 10 km west of Lynch along state route 666	https://lichenportal.org/portal/collections/individual/index.php?occid=52242
52243	ASU	T.H. Nash III	Pennsylvania	Warren	1.12	outside_boundary_exact	ASUL024148	41.6166667,-79.1666667	Pennsylvania, Forest County	Border of Warren and Forest Counties, Minister Creek Campground, 10 km west of Lynch along state route 666	https://lichenportal.org/portal/collections/individual/index.php?occid=52243
52246	ASU	T.H. Nash III	Pennsylvania	Warren	1.12	outside_boundary_exact	NA	41.6166667,-79.1666667	Pennsylvania, Forest County	Border of Warren and Forest Counties, Minister Creek Campground, 10 km west of Lynch along state route 666	https://lichenportal.org/portal/collections/individual/index.php?occid=52246
52247	ASU	T.H. Nash III	Pennsylvania	Warren	1.12	outside_boundary_exact	NA	41.6166667,-79.1666667	Pennsylvania, Forest County	Border of Warren and Forest Counties, Minister Creek Campground, 10 km west of Lynch along state route 666	https://lichenportal.org/portal/collections/individual/index.php?occid=52247
52248	ASU	T.H. Nash III	Pennsylvania	Warren	1.12	outside_boundary_exact	ASUL000585	41.6166667,-79.1666667	Pennsylvania, Forest County	Border of Warren and Forest counties, Minister Creek Campground, 16 km W of Lynch along PA 666	https://lichenportal.org/portal/collections/individual/index.php?occid=52248
95855	ASU	T.H. Nash III	Pennsylvania	Warren	1.12	outside_boundary_exact	NA	41.6166667,-79.1666667	Pennsylvania, Forest County	(border of Warren and Forest counties) Minister Creek Campground, 16 km W of Lynch along PA 666	https://lichenportal.org/portal/collections/individual/index.php?occid=95855
52249	ASU	T.H. Nash III	Pennsylvania	Clarion	0.73	outside_boundary_exact	NA	41.3333333,-79.2	Pennsylvania, Forest County	Cook Forest State Park, 25 km north of Brookville along state route 35	https://lichenportal.org/portal/collections/individual/index.php?occid=52249
52250	ASU	T.H. Nash III	Pennsylvania	Clarion	0.73	outside_boundary_exact	NA	41.3333333,-79.2	Pennsylvania, Forest County	Cook Forest State Park, 25 km north of Brookville along state route 35	https://lichenportal.org/portal/collections/individual/index.php?occid=52250
52251	ASU	T.H. Nash III	Pennsylvania	Clarion	0.73	outside_boundary_exact	ASUL018485	41.3333333,-79.2	Pennsylvania, Forest County	Cook Forest State Park, 25 km north of Brookville along state route 35	https://lichenportal.org/portal/collections/individual/index.php?occid=52251
52252	ASU	T.H. Nash III	Pennsylvania	Clarion	0.73	outside_boundary_exact	NA	41.3333333,-79.2	Pennsylvania, Forest County	Cook Forest State Park, 25 km north of Brookville along state route 35	https://lichenportal.org/portal/collections/individual/index.php?occid=52252
