occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
101235	ASU	S.D. Sharnoff	Tennessee	Carter	2.35	outside_boundary_exact	ASUL035121	36.0833333,-82.1333333	North Carolina, Mitchell County	Roan Mountain, S of Elizabethton, off TN 143, Round Bald	https://lichenportal.org/portal/collections/individual/index.php?occid=101235
101372	ASU	S.D. Sharnoff	Tennessee	Carter	2.35	outside_boundary_exact	NA	36.0833333,-82.1333333	North Carolina, Mitchell County	Roan Mountain, S of Elizabethton, off TN 143, Round Bald	https://lichenportal.org/portal/collections/individual/index.php?occid=101372
99648	ASU	G.T. Johnson	Tennessee	Anderson	1.21	outside_boundary_exact	NA	36.125547,-84.447439	Tennessee, Morgan County	14.5 km NW of Oliver Springs	https://lichenportal.org/portal/collections/individual/index.php?occid=99648
101128	ASU	S.D. Sharnoff	Tennessee	Carter	0.58	outside_boundary_exact	NA	36.1,-82.1333333	North Carolina, Mitchell County	Roan Mountain, S of Elizabethton, off TN 143, Roan High Bluff	https://lichenportal.org/portal/collections/individual/index.php?occid=101128
4659936	ASU	Jason Hollinger	Tennessee	Carter	0.51	outside_boundary_exact	NA	36.1,-82.12	North Carolina, Mitchell County	Roan Mountain, Appalachian Trail west of Carvers Gap	https://lichenportal.org/portal/collections/individual/index.php?occid=4659936
4659945	ASU	Jason Hollinger	Tennessee	Carter	0.51	outside_boundary_exact	NA	36.1,-82.12	North Carolina, Mitchell County	Roan Mountain, Appalachian Trail west of Carvers Gap	https://lichenportal.org/portal/collections/individual/index.php?occid=4659945
4659953	ASU	Jason Hollinger	Tennessee	Carter	0.51	outside_boundary_exact	NA	36.1,-82.12	North Carolina, Mitchell County	Roan Mountain, Appalachian Trail west of Carvers Gap	https://lichenportal.org/portal/collections/individual/index.php?occid=4659953
65063	ASU	I. Yoshimura	Tennessee	Carter	0.41	outside_boundary_exact	NA	36.1,-82.0833333	North Carolina, Mitchell County	Roan Mountain	https://lichenportal.org/portal/collections/individual/index.php?occid=65063
96661	ASU	S.K. Harris	Tennessee	Carter	0.41	outside_boundary_exact	NA	36.1,-82.0833333	North Carolina, Mitchell County	Roan Mtn.	https://lichenportal.org/portal/collections/individual/index.php?occid=96661
4659878	ASU	Jason Hollinger	Tennessee	Cocke	0.18	outside_boundary_exact	NA	35.733,-83.182	North Carolina, Haywood County	Great Smoky Mountains National Park, Appalachian Trail south of Low Gap	https://lichenportal.org/portal/collections/individual/index.php?occid=4659878
