institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
ASU	J.G. Guccion	Virginia	Page	62.15	outside_boundary_exact	Virginia, Louisa County	38.0094444,-78.0063889	NA	Crescent Rock trail, Shenandoah National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=90917
ASU	R.S. Egan	Virginia	Page	62.13	outside_boundary_exact	Virginia, Louisa County	38.0088889,-78.0075	NA	Shenandoah National Park; vic. Big. Meadows campground; 9 mi. S of Luray	https://lichenportal.org/portal/collections/individual/index.php?occid=90444
ASU	R.S. Egan	Virginia	Page	62.13	outside_boundary_exact	Virginia, Louisa County	38.0088889,-78.0075	NA	Shenandoah National Park; vic. Big. Meadows campground; 9 mi. S of Luray	https://lichenportal.org/portal/collections/individual/index.php?occid=90915
ASU	Jason Hollinger	Virginia	Accomack	23.38	outside_boundary_exact	not_found_in_US	37.3294,-76.0111	NA	Savage Neck Dunes State Natural Area Preserve, old forested dunes along trail to beach	https://lichenportal.org/portal/collections/individual/index.php?occid=4660255
ASU	M.E. Hale	Virginia	Fairfax	19.63	outside_boundary_exact	Virginia, Alexandria County	38.80472,-77.04722	NA	Alexandria	https://lichenportal.org/portal/collections/individual/index.php?occid=66051
ASU	B.D. Ryan	Virginia	Fairfax	14.84	outside_boundary_exact	Virginia, Fairfax County	39,-77.25	NA	Great Falls of the Potomac River	https://lichenportal.org/portal/collections/individual/index.php?occid=80212
ASU	B.D. Ryan	Virginia	Fairfax	14.84	outside_boundary_exact	Virginia, Fairfax County	39,-77.25	NA	Great Falls of the Potomac River	https://lichenportal.org/portal/collections/individual/index.php?occid=87181
ASU	J.G. Guccion	Virginia	Page	1	outside_boundary_exact	Virginia, Madison County	38.525,-78.4166667	NA	Along Red Gate Rd., 8.4 km SE of Stanley, Blue Ridge Mts., Shenandoah National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=101663
ASU	J.G. Guccion	Virginia	Madison	0.88	outside_boundary_exact	Virginia, Page County	38.5333333,-78.45	NA	Shenandoah National Park, Upper Franklin Cliffs Overlook	https://lichenportal.org/portal/collections/individual/index.php?occid=72033
ASU	J.G. Guccion	Virginia	Madison	0.47	outside_boundary_exact	Virginia, Madison County	38.5333333,-78.4333333	NA	Upper Franklin Cliffs overlook along Skyline Drive, Shenandoah National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=95530
