institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
BRY	Sam Shushan	Oregon	Linn	7344.02	outside_boundary_exact	not_found_in_US	21.666667,-44.5	BRY-L-0017307	Fish Lake Forest Service Station near Santiam Junction	https://lichenportal.org/portal/collections/individual/index.php?occid=1350808
BRY	Sam Shushan	Oregon	Lane	110.42	outside_boundary_exact	Oregon, Clackamas County	45.25,-121.833333	BRY-L-0000230	Willamette National Forest just west of McKenzie Pass: ca 33 miles east of Blue River	https://lichenportal.org/portal/collections/individual/index.php?occid=1075749
BRY	Sam Shushan	Oregon	Lane	110.42	outside_boundary_exact	Oregon, Clackamas County	45.25,-121.833333	BRY-L-0000331	Willamette National Forest just west of McKenzie Pass.	https://lichenportal.org/portal/collections/individual/index.php?occid=1075830
BRY	Sam Shushan	Oregon	Lane	110.42	outside_boundary_exact	Oregon, Clackamas County	45.25,-121.833333	BRY-L-0004106	Willamette National Forest: just west of McKenzie Pass, ca 33 miles east of Blue River.	https://lichenportal.org/portal/collections/individual/index.php?occid=1079611
BRY	Sam Shushan	Oregon	Lane	110.42	outside_boundary_exact	Oregon, Clackamas County	45.25,-121.833333	BRY-L-0007328	Willamette National Forest: just west of McKenzie Pass, ca 33 miles east of Blue River.	https://lichenportal.org/portal/collections/individual/index.php?occid=1215811
BRY	Sam Shushan	Oregon	Lane	110.42	outside_boundary_exact	Oregon, Clackamas County	45.25,-121.833333	BRY-L-0007537	Willamette National Forest: just west of McKenzie Pass, ca 33 miles east of Blue River.	https://lichenportal.org/portal/collections/individual/index.php?occid=1216019
BRY	Sam Shushan	Oregon	Lane	110.42	outside_boundary_exact	Oregon, Clackamas County	45.25,-121.833333	BRY-L-0014324	Willamette National Forest: just west of McKenzie Pass, ca 33 miles east of Blue River.	https://lichenportal.org/portal/collections/individual/index.php?occid=1299284
BRY	Sam Shushan	Oregon	Lane	110.42	outside_boundary_exact	Oregon, Clackamas County	45.25,-121.833333	BRY-L-0014394	Willamette National Forest: just west of McKenzie Pass, ca 33 miles east of Blue River.	https://lichenportal.org/portal/collections/individual/index.php?occid=1299349
BRY	Sam Shushan	Oregon	Multnomah	61.35	outside_boundary_exact	Oregon, Tillamook County	45.716667,-123.716667	BRY-L-0014399	Oswald West State Park: just west of Nehalem.	https://lichenportal.org/portal/collections/individual/index.php?occid=1299353
BRY	Steven D. Leavitt	Oregon	Clackamas	14.91	outside_boundary_exact	Oregon, Wasco County	45.00224,-121.49233	BRY-L-0039940	Warm Springs: About 20 miles north of Warm Springs near small stream along Highway 26.	https://lichenportal.org/portal/collections/individual/index.php?occid=2582916
BRY	Steven D. Leavitt	Oregon	Clackamas	14.91	outside_boundary_exact	Oregon, Wasco County	45.00224,-121.49233	BRY-L-0039941	Warm Springs: About 20 miles north of Warm Springs near small stream along Highway 26.	https://lichenportal.org/portal/collections/individual/index.php?occid=2582917
BRY	Steven D. Leavitt	Oregon	Clackamas	14.91	outside_boundary_exact	Oregon, Wasco County	45.00224,-121.49233	BRY-L-0039942	Warm Springs: About 20 miles north of Warm Springs near small stream along Highway 26.	https://lichenportal.org/portal/collections/individual/index.php?occid=2582914
BRY	R. Fogel	Oregon	Linn	11.43	outside_boundary_exact	Oregon, Jefferson County	44.5,-121.666667	BRY-L-0004268	Fish Lake Forest Service Station near Santiam Junction	https://lichenportal.org/portal/collections/individual/index.php?occid=1079773
BRY	R. Fogel	Oregon	Linn	11.43	outside_boundary_exact	Oregon, Jefferson County	44.5,-121.666667	BRY-L-0004367	Fish Lake Forest Service Station near Santiam Junction	https://lichenportal.org/portal/collections/individual/index.php?occid=1079871
BRY	R. Fogel	Oregon	Linn	11.43	outside_boundary_exact	Oregon, Jefferson County	44.5,-121.666667	BRY-L-0017287	Fish Lake Forest Service Station near Santiam Junction	https://lichenportal.org/portal/collections/individual/index.php?occid=1350788
BRY	Sam Shushan	Oregon	Lame	NA	county_not_matched_no_match	county_not_matched	45.25,-121.833333	BRY-L-0000288	Williamette National Forest, just west of MacKenzie Pass: ca 33 miles east of Blue River	https://lichenportal.org/portal/collections/individual/index.php?occid=1075787
BRY	Steven D. Leavitt	Oregon	Pierce	NA	county_not_matched_no_match	county_not_matched	46.75162,-121.941	BRY-L-0039943	Gifford Pinchot National Forest: W of Mount Rainier National Park entrance on Highway 706, vicinity of Goat Creek.	https://lichenportal.org/portal/collections/individual/index.php?occid=2582912
