occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
1810702	CINC	Fulford, Margaret Hannah	Kentucky	Carter	265.25	outside_boundary_exact	CINC-L-0002688	37.210733,-86.055064	Kentucky, Edmonson County	Crystal Cave	https://lichenportal.org/portal/collections/individual/index.php?occid=1810702
1811242	CINC	Fulford, Margaret Hannah	Kentucky	Carter	265.25	outside_boundary_exact	CINC-L-0003594	37.210733,-86.055064	Kentucky, Edmonson County	Crystal Cave	https://lichenportal.org/portal/collections/individual/index.php?occid=1811242
1814287	CINC	Kaucher, Paul R. Jr.	Kentucky	Powell	46.44	outside_boundary_exact	CINC-L-0005673	37.357512,-84.039076	Kentucky, Jackson County	Daniel Boone National Forest; along trail to Red Bird Arch	https://lichenportal.org/portal/collections/individual/index.php?occid=1814287
1814840	CINC	Kaucher, Paul R. Jr.	Kentucky	Powell	39.39	outside_boundary_exact	CINC-L-0004822	37.414791,-84.003433	Kentucky, Jackson County	Daniel Boone National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1814840
1814862	CINC	Kaucher, Paul R. Jr.	Kentucky	Powell	39.39	outside_boundary_exact	CINC-L-0004997	37.414791,-84.003433	Kentucky, Jackson County	Daniel Boone National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1814862
1814973	CINC	Kaucher, Paul R. Jr.	Kentucky	Powell	39.39	outside_boundary_exact	CINC-L-0005313	37.414791,-84.003433	Kentucky, Jackson County	Daniel Boone National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1814973
1807846	CINC	Braun, E. Lucy	Kentucky	Letcher	17.86	outside_boundary_exact	CINC-L-0000900	36.8333,-83.282368	Kentucky, Harlan County	bank of Cumberland River	https://lichenportal.org/portal/collections/individual/index.php?occid=1807846
1811253	CINC	Fulford, Margaret Hannah	Kentucky	Lewis	7.23	outside_boundary_exact	CINC-L-0003605	38.428968,-83.120731	Kentucky, Carter County	near Carter P.O.	https://lichenportal.org/portal/collections/individual/index.php?occid=1811253
1812435	CINC	Fulford, Margaret Hannah	Kentucky	Lewis	7.23	outside_boundary_exact	CINC-L-0004421	38.428968,-83.120731	Kentucky, Carter County	near Carter P.O.	https://lichenportal.org/portal/collections/individual/index.php?occid=1812435
1815414	CINC	Fulford, Margaret Hannah	Kentucky	Lewis	7.23	outside_boundary_exact	CINC-L-0006554	38.428968,-83.120731	Kentucky, Carter County	near Carter P.O.	https://lichenportal.org/portal/collections/individual/index.php?occid=1815414
1810263	CINC	Braun, E. Lucy	Kentucky	Letcher	7.06	outside_boundary_exact	CINC-L-0002249	36.91426,-82.893773	Kentucky, Harlan County	Big Black Mountain	https://lichenportal.org/portal/collections/individual/index.php?occid=1810263
1811236	CINC	Braun, E. Lucy	Kentucky	Letcher	7.06	outside_boundary_exact	CINC-L-0003588	36.91426,-82.893773	Kentucky, Harlan County	Black Mountain	https://lichenportal.org/portal/collections/individual/index.php?occid=1811236
1811243	CINC	Braun, E. Lucy	Kentucky	Letcher	7.06	outside_boundary_exact	CINC-L-0003595	36.91426,-82.893773	Kentucky, Harlan County	Black Mountain	https://lichenportal.org/portal/collections/individual/index.php?occid=1811243
1812339	CINC	Culberson, William Louis	Kentucky	Knott	5.58	outside_boundary_exact	CINC-L-0004325	37.294791,-83.186062	Kentucky, Perry County	10 miles southeast of the Perry County - Knott County line, on KY Route 80, Knott County	https://lichenportal.org/portal/collections/individual/index.php?occid=1812339
1814332	CINC	Culberson, William Louis	Kentucky	Knott	5.58	outside_boundary_exact	CINC-L-0005523	37.294791,-83.186062	Kentucky, Perry County	10 miles southeast of the Perry County - Knott County line, on KY Route 80, Knott County	https://lichenportal.org/portal/collections/individual/index.php?occid=1814332
1814393	CINC	Culberson, William Louis	Kentucky	Knott	5.58	outside_boundary_exact	CINC-L-0005797	37.294791,-83.186062	Kentucky, Perry County	10 miles southeast of the Perry County - Knott County line, on KY Route 80, Knott County	https://lichenportal.org/portal/collections/individual/index.php?occid=1814393
1814470	CINC	Culberson, William Louis	Kentucky	Knott	5.58	outside_boundary_exact	CINC-L-0005519	37.294791,-83.186062	Kentucky, Perry County	10 miles southeast of the Perry County - Knott County line, on KY Route 80, Knott County	https://lichenportal.org/portal/collections/individual/index.php?occid=1814470
1807672	CINC	Kaucher, Paul R. Jr.	Kentucky	Powell	5.12	outside_boundary_exact	CINC-L-0000597	37.820085,-83.572688	Kentucky, Wolfe County	Daniel Boone National Forest; off Swift Creek Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=1807672
1807453	CINC	s.c.	Kentucky	Powell	2.88	outside_boundary_exact	CINC-L-0000759	37.757859,-83.641068	Kentucky, Wolfe County	Tight Hollow	https://lichenportal.org/portal/collections/individual/index.php?occid=1807453
1807545	CINC	Kaucher, Paul R. Jr.	Kentucky	Powell	2.88	outside_boundary_exact	CINC-L-0000851	37.757859,-83.641068	Kentucky, Wolfe County	Tight Hollow	https://lichenportal.org/portal/collections/individual/index.php?occid=1807545
1807554	CINC	s.c.	Kentucky	Powell	2.88	outside_boundary_exact	CINC-L-0000860	37.757859,-83.641068	Kentucky, Wolfe County	Tight Hollow	https://lichenportal.org/portal/collections/individual/index.php?occid=1807554
1810364	CINC	s.c.	Kentucky	Powell	2.88	outside_boundary_exact	CINC-L-0002350	37.757859,-83.641068	Kentucky, Wolfe County	Tight Hollow	https://lichenportal.org/portal/collections/individual/index.php?occid=1810364
1811094	CINC	s.c.	Kentucky	Powell	2.88	outside_boundary_exact	CINC-L-0003080	37.757859,-83.641068	Kentucky, Wolfe County	Tight Hollow	https://lichenportal.org/portal/collections/individual/index.php?occid=1811094
1811601	CINC	s.c.	Kentucky	Powell	2.88	outside_boundary_exact	CINC-L-0003369	37.757859,-83.641068	Kentucky, Wolfe County	Tight Hollow	https://lichenportal.org/portal/collections/individual/index.php?occid=1811601
1812230	CINC	Kaucher, Paul R. Jr.	Kentucky	Powell	2.88	outside_boundary_exact	CINC-L-0004216	37.757859,-83.641068	Kentucky, Wolfe County	Tight Hollow	https://lichenportal.org/portal/collections/individual/index.php?occid=1812230
