occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
3445488	CMN	Weber, William A. | Viereck, Leslie A.	Alaska	Denali (Borough)	5356.94	outside_boundary_reverse_partial	CANL 2935	63.4167,-50.3333	not_found_in_US	Fell-field knife-edge ridge, N.W. slope to summit of Mt. Eielson (Copper Mt.)	https://lichenportal.org/portal/collections/individual/index.php?occid=3445488
3442347	CMN	Flock, JoAnn	Alaska	Prince of Wales-Outer Ketchikan Census Area	2186.37	outside_boundary_first_word_match	CANL 103903	65.48,-168	not_found_in_US	Seward Peninsula: Cape Prince of Wales. Between gravel road and Razorback boulderfield.	https://lichenportal.org/portal/collections/individual/index.php?occid=3442347
3319451	CMN	Beschel, Roland E.	Alaska	Juneau (Borough) (AK)	619.11	outside_boundary_reverse_partial	CANL 122797	64.05,-141.3	Alaska, Southeast Fairbanks County	Juneau Icefield: Camp 8, Alaska-B.C. border.	https://lichenportal.org/portal/collections/individual/index.php?occid=3319451
3333307	CMN	Dillman, K.	Alaska	Ketchikan Gateway (Borough)	105.74	outside_boundary_reverse_partial	CANL 104289	56.75,-133	Alaska, Petersburg County	On mountain east of Thunder Mt. Petersburg D-2 Sec 17, T58S, R82E	https://lichenportal.org/portal/collections/individual/index.php?occid=3333307
3317389	CMN	Geiser, L.	Alaska	Sitka (Borough)	64.7	outside_boundary_reverse_partial	CANL 104387	58.4167,-134.85	not_found_in_US	S. Baranof Is., Plotnikco Lake across stream, SW of easternmost USFS cabin. Port Alexander (C-3) T61S, R68E, S18NW	https://lichenportal.org/portal/collections/individual/index.php?occid=3317389
3328936	CMN	Geiser, L.	Alaska	Sitka (Borough)	64.7	outside_boundary_reverse_partial	CANL 104296	58.4167,-134.85	not_found_in_US	S. Baranof Is., Plotnikof Lake, Spruce forest behind easternmost USFS cabin. Port Alexander (C-3) T61S, R68E, S7SW	https://lichenportal.org/portal/collections/individual/index.php?occid=3328936
3322328	CMN	Talbot, Stephen S.	Alaska	Kodiak Island (Borough)	41.83	outside_boundary_reverse_partial	CANL 122648	56.4022,-157.458	not_found_in_US	Wide Bay area, Alaska Peninsula	https://lichenportal.org/portal/collections/individual/index.php?occid=3322328
5704525	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Alaska	Haines (Borough)	8.35	outside_boundary_reverse_partial	CANL 10022087	59.47,-135.33	Alaska, Skagway County	Skagway, on west, side of Lynn Canal, end of Klondike Hwy, near town	https://lichenportal.org/portal/collections/individual/index.php?occid=5704525
451515	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Alaska	Haines (Borough)	8.02	outside_boundary_reverse_partial	CANL 115486	59.4667,-135.333	Alaska, Skagway County	AB Mountain Trail, near Skagway, off Dyea Road, within first mile	https://lichenportal.org/portal/collections/individual/index.php?occid=451515
453419	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Alaska	Haines (Borough)	8.02	outside_boundary_reverse_partial	CANL 117427	59.4667,-135.333	Alaska, Skagway County	AB Mountain Trail, near Skagway, off Dyea Road, within 1st mile	https://lichenportal.org/portal/collections/individual/index.php?occid=453419
452659	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Alaska	Haines (Borough)	8.02	outside_boundary_reverse_partial	CANL 116652	59.4667,-135.333	Alaska, Skagway County	AB Mountain Trail, near Skagway, off Dyea Road, within first mile	https://lichenportal.org/portal/collections/individual/index.php?occid=452659
453438	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Alaska	Haines (Borough)	8.02	outside_boundary_reverse_partial	CANL 117448	59.4667,-135.333	Alaska, Skagway County	AB Mountain Trail, near Skagway, off Dyea Road, within first mile	https://lichenportal.org/portal/collections/individual/index.php?occid=453438
452883	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Alaska	Haines (Borough)	8.02	outside_boundary_reverse_partial	CANL 10019472	59.4667,-135.333	Alaska, Skagway County	AB Mountain Trail, near Skagway, off Dyea Road, within first mile	https://lichenportal.org/portal/collections/individual/index.php?occid=452883
453379	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Alaska	Haines (Borough)	8.02	outside_boundary_reverse_partial	CANL 117383	59.4667,-135.333	Alaska, Skagway County	AB Mountain Trail, near Skagway, off Dyea Road, within first mile	https://lichenportal.org/portal/collections/individual/index.php?occid=453379
452759	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Alaska	Haines (Borough)	8.02	outside_boundary_reverse_partial	CANL 116753	59.4667,-135.333	Alaska, Skagway County	AB Mountain Trail, near Skagway, off Dyea Road, within first mile	https://lichenportal.org/portal/collections/individual/index.php?occid=452759
451296	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Alaska	Haines (Borough)	8.02	outside_boundary_reverse_partial	CANL 115268	59.4667,-135.333	Alaska, Skagway County	AB Mountain Trail, near Skagway, off Dyea Road, within first mile	https://lichenportal.org/portal/collections/individual/index.php?occid=451296
452269	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Alaska	Haines (Borough)	8.02	outside_boundary_reverse_partial	CANL 116250	59.4667,-135.333	Alaska, Skagway County	AB Mountain Trail, near Skagway, off Dyea Road, within first mile	https://lichenportal.org/portal/collections/individual/index.php?occid=452269
453099	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Alaska	Haines (Borough)	8.02	outside_boundary_reverse_partial	CANL 117105	59.4667,-135.333	Alaska, Skagway County	AB Mountain Trail, near Skagway, off Dyea Road, within first mile	https://lichenportal.org/portal/collections/individual/index.php?occid=453099
