institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
CMN	Weber, William A. | Viereck, Leslie A.	Alaska	Denali (Borough)	5356.94	outside_boundary_reverse_partial	not_found_in_US	63.4167,-50.3333	CANL 2935	Fell-field knife-edge ridge, N.W. slope to summit of Mt. Eielson (Copper Mt.)	https://lichenportal.org/portal/collections/individual/index.php?occid=3445488
CMN	Flock, JoAnn	Alaska	Prince of Wales-Outer Ketchikan Census Area	2186.37	outside_boundary_first_word_match	not_found_in_US	65.48,-168	CANL 103903	Seward Peninsula: Cape Prince of Wales. Between gravel road and Razorback boulderfield.	https://lichenportal.org/portal/collections/individual/index.php?occid=3442347
CMN	Beschel, Roland E.	Alaska	Juneau (Borough) (AK)	619.11	outside_boundary_reverse_partial	Alaska, Southeast Fairbanks County	64.05,-141.3	CANL 122797	Juneau Icefield: Camp 8, Alaska-B.C. border.	https://lichenportal.org/portal/collections/individual/index.php?occid=3319451
CMN	Dillman, K.	Alaska	Ketchikan Gateway (Borough)	105.74	outside_boundary_reverse_partial	Alaska, Petersburg County	56.75,-133	CANL 104289	On mountain east of Thunder Mt. Petersburg D-2 Sec 17, T58S, R82E	https://lichenportal.org/portal/collections/individual/index.php?occid=3333307
CMN	Geiser, L.	Alaska	Sitka (Borough)	64.7	outside_boundary_reverse_partial	not_found_in_US	58.4167,-134.85	CANL 104387	S. Baranof Is., Plotnikco Lake across stream, SW of easternmost USFS cabin. Port Alexander (C-3) T61S, R68E, S18NW	https://lichenportal.org/portal/collections/individual/index.php?occid=3317389
CMN	Geiser, L.	Alaska	Sitka (Borough)	64.7	outside_boundary_reverse_partial	not_found_in_US	58.4167,-134.85	CANL 104296	S. Baranof Is., Plotnikof Lake, Spruce forest behind easternmost USFS cabin. Port Alexander (C-3) T61S, R68E, S7SW	https://lichenportal.org/portal/collections/individual/index.php?occid=3328936
CMN	Talbot, Stephen S.	Alaska	Kodiak Island (Borough)	41.83	outside_boundary_reverse_partial	not_found_in_US	56.4022,-157.458	CANL 122648	Wide Bay area, Alaska Peninsula	https://lichenportal.org/portal/collections/individual/index.php?occid=3322328
CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Alaska	Haines (Borough)	8.35	outside_boundary_reverse_partial	Alaska, Skagway County	59.47,-135.33	CANL 10022087	Skagway, on west, side of Lynn Canal, end of Klondike Hwy, near town	https://lichenportal.org/portal/collections/individual/index.php?occid=5704525
CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Alaska	Haines (Borough)	8.02	outside_boundary_reverse_partial	Alaska, Skagway County	59.4667,-135.333	CANL 115486	AB Mountain Trail, near Skagway, off Dyea Road, within first mile	https://lichenportal.org/portal/collections/individual/index.php?occid=451515
CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Alaska	Haines (Borough)	8.02	outside_boundary_reverse_partial	Alaska, Skagway County	59.4667,-135.333	CANL 117427	AB Mountain Trail, near Skagway, off Dyea Road, within 1st mile	https://lichenportal.org/portal/collections/individual/index.php?occid=453419
CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Alaska	Haines (Borough)	8.02	outside_boundary_reverse_partial	Alaska, Skagway County	59.4667,-135.333	CANL 116652	AB Mountain Trail, near Skagway, off Dyea Road, within first mile	https://lichenportal.org/portal/collections/individual/index.php?occid=452659
CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Alaska	Haines (Borough)	8.02	outside_boundary_reverse_partial	Alaska, Skagway County	59.4667,-135.333	CANL 117448	AB Mountain Trail, near Skagway, off Dyea Road, within first mile	https://lichenportal.org/portal/collections/individual/index.php?occid=453438
CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Alaska	Haines (Borough)	8.02	outside_boundary_reverse_partial	Alaska, Skagway County	59.4667,-135.333	CANL 10019472	AB Mountain Trail, near Skagway, off Dyea Road, within first mile	https://lichenportal.org/portal/collections/individual/index.php?occid=452883
CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Alaska	Haines (Borough)	8.02	outside_boundary_reverse_partial	Alaska, Skagway County	59.4667,-135.333	CANL 117383	AB Mountain Trail, near Skagway, off Dyea Road, within first mile	https://lichenportal.org/portal/collections/individual/index.php?occid=453379
CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Alaska	Haines (Borough)	8.02	outside_boundary_reverse_partial	Alaska, Skagway County	59.4667,-135.333	CANL 116753	AB Mountain Trail, near Skagway, off Dyea Road, within first mile	https://lichenportal.org/portal/collections/individual/index.php?occid=452759
CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Alaska	Haines (Borough)	8.02	outside_boundary_reverse_partial	Alaska, Skagway County	59.4667,-135.333	CANL 115268	AB Mountain Trail, near Skagway, off Dyea Road, within first mile	https://lichenportal.org/portal/collections/individual/index.php?occid=451296
CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Alaska	Haines (Borough)	8.02	outside_boundary_reverse_partial	Alaska, Skagway County	59.4667,-135.333	CANL 116250	AB Mountain Trail, near Skagway, off Dyea Road, within first mile	https://lichenportal.org/portal/collections/individual/index.php?occid=452269
CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Alaska	Haines (Borough)	8.02	outside_boundary_reverse_partial	Alaska, Skagway County	59.4667,-135.333	CANL 117105	AB Mountain Trail, near Skagway, off Dyea Road, within first mile	https://lichenportal.org/portal/collections/individual/index.php?occid=453099
CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Alaska	Haines (Borough)	8.02	outside_boundary_reverse_partial	Alaska, Skagway County	59.4667,-135.333	CANL 115326	Skagway, on west side of Lynn Canal, end of Klondike Highway, near town	https://lichenportal.org/portal/collections/individual/index.php?occid=451356
CMN	Sharnoff, Stephen | Sharnoff, Sylvia D.	Alaska	Haines (Borough)	8.02	outside_boundary_reverse_partial	Alaska, Skagway County	59.4667,-135.333	CANL 118860	Skagway, on west side of Lynn Canal, end of Klondike Hwy near town.	https://lichenportal.org/portal/collections/individual/index.php?occid=454595
CMN	Sharnoff, Stephen | Sharnoff, Sylvia D.	Alaska	Haines (Borough)	8.02	outside_boundary_reverse_partial	Alaska, Skagway County	59.4667,-135.333	CANL 119354	AB Mountain Trail near Skagway off Dyea Road within 1st mile.	https://lichenportal.org/portal/collections/individual/index.php?occid=454855
