occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
452010	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Massachusetts	Hampden Co.	178.92	outside_boundary_exact	CANL 115990	42.0333,-75.25	New York, Delaware County	Norcross Wildlife Sanctuary, SE of Monson, S of Monson-Wales Road, along \\"Broadway\\"	https://lichenportal.org/portal/collections/individual/index.php?occid=452010
451502	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Massachusetts	Hampden Co.	178.92	outside_boundary_exact	CANL 115472	42.0333,-75.25	New York, Delaware County	Norcross Wildlife Sanctuary, SE of Monson, S of Monson-Wales Road, near outlet of Big Vineca Lake	https://lichenportal.org/portal/collections/individual/index.php?occid=451502
454120	CMN	Sharnoff, Stephen | Sharnoff, Sylvia D.	Massachusetts	Hampden Co.	178.92	outside_boundary_exact	CANL 118370	42.0333,-75.25	New York, Delaware County	Norcross Wildlife Sanctuary. SE of Monson. S of Monson-Wales Road along Piney Road.	https://lichenportal.org/portal/collections/individual/index.php?occid=454120
453233	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Massachusetts	Hampden Co.	178.92	outside_boundary_exact	CANL 117239	42.0333,-75.25	New York, Delaware County	Norcross Wildlife Sanctuary, SE of Monson, S of Monson-Wales Road, along Tupper Hill Road	https://lichenportal.org/portal/collections/individual/index.php?occid=453233
452885	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Massachusetts	Hampden Co.	178.92	outside_boundary_exact	CANL 10019509	42.0333,-75.25	New York, Delaware County	Norcross Wildlife Sanctuary, SE of Monson, S of Monson-Wales Road, between Piney Road & Big Vineca	https://lichenportal.org/portal/collections/individual/index.php?occid=452885
452381	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Massachusetts	Hampden Co.	178.92	outside_boundary_exact	CANL 116364	42.0333,-75.25	New York, Delaware County	Norcross Wildlife Sanctuary, SE of Monson, S of Monson-Wales Road, below Big Vineca Lake	https://lichenportal.org/portal/collections/individual/index.php?occid=452381
454431	CMN	Sharnoff, Stephen | Sharnoff, Sylvia D.	Massachusetts	Hampden Co.	178.92	outside_boundary_exact	CANL 118702	42.0333,-75.25	New York, Delaware County	Norcross Wildlife Sanctuary. SE of Monson. S of Monson-Wales Road, along road to Big Vineca Lake.	https://lichenportal.org/portal/collections/individual/index.php?occid=454431
452890	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Massachusetts	Hampden Co.	178.92	outside_boundary_exact	CANL 10019482	42.0333,-75.25	New York, Delaware County	Norcross Wildlife Sanctuary, SE of Monson, S of Monson-Wales Road, near greenhouse	https://lichenportal.org/portal/collections/individual/index.php?occid=452890
451895	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Massachusetts	Hampden Co.	178.92	outside_boundary_exact	CANL 115872	42.0333,-75.25	New York, Delaware County	Norcross Wildlife Sanctuary, SE of Monson, S of Monson-Wales Road, along \\"Broadway\\"	https://lichenportal.org/portal/collections/individual/index.php?occid=451895
453439	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Massachusetts	Hampden Co.	178.92	outside_boundary_exact	CANL 117449	42.0333,-75.25	New York, Delaware County	Norcross Wildlife Sanctuary, SE of Monson, S of Monson-Wales Road, near outlet of Big Vineca Lake	https://lichenportal.org/portal/collections/individual/index.php?occid=453439
452106	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Massachusetts	Hampden Co.	178.92	outside_boundary_exact	CANL 116085	42.0333,-75.25	New York, Delaware County	Norcross Wildlife Sanctuary, SE of Monson, S of Monson-Wales Road, along Gravelly Run Road	https://lichenportal.org/portal/collections/individual/index.php?occid=452106
453328	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Massachusetts	Hampden Co.	178.92	outside_boundary_exact	CANL 117333	42.0333,-75.25	New York, Delaware County	Norcross Wildlife Sanctuary, SE of Monson, S of Monson-Wales Road, old orchard near greenhouse	https://lichenportal.org/portal/collections/individual/index.php?occid=453328
452386	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Massachusetts	Hampden Co.	178.92	outside_boundary_exact	CANL 116369	42.0333,-75.25	New York, Delaware County	Norcross Wildlife Sanctuary, SE of Monson, S of Monson-Wales Road, top of Tupper Hill	https://lichenportal.org/portal/collections/individual/index.php?occid=452386
452311	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Massachusetts	Hampden Co.	178.92	outside_boundary_exact	CANL 116292	42.0333,-75.25	New York, Delaware County	Norcross Wildlife Sanctuary, SE of Monson, S of Monson-Wales Road, between Piney Road & Big Vineca	https://lichenportal.org/portal/collections/individual/index.php?occid=452311
454494	CMN	Sharnoff, Stephen | Sharnoff, Sylvia D.	Massachusetts	Hampden Co.	178.92	outside_boundary_exact	CANL 118762	42.0333,-75.25	New York, Delaware County	Norcross Wildlife Sanctuary, SE of Monson. S of Monson-Wales Road. SW of Hessian Cemetary, along road.	https://lichenportal.org/portal/collections/individual/index.php?occid=454494
452171	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Massachusetts	Hampden Co.	178.92	outside_boundary_exact	CANL 116149	42.0333,-75.25	New York, Delaware County	Norcross Wildlife Sanctuary, SE of Monson, S of Monson-Wales Road, along Tupper Hill Road	https://lichenportal.org/portal/collections/individual/index.php?occid=452171
451187	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Massachusetts	Hampden Co.	178.92	outside_boundary_exact	CANL 115157	42.0333,-75.25	New York, Delaware County	Norcross Wildlife Sanctuary, SE of Monson, S of Monson-Wales Road, along Tupper Hill Road	https://lichenportal.org/portal/collections/individual/index.php?occid=451187
453440	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Massachusetts	Hampden Co.	178.92	outside_boundary_exact	CANL 117450	42.0333,-75.25	New York, Delaware County	Norcross Wildlife Sanctuary, SE of Monson, S of Monson-Wales Road, near outlet of Big Vineca Lake	https://lichenportal.org/portal/collections/individual/index.php?occid=453440
452380	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Massachusetts	Hampden Co.	178.92	outside_boundary_exact	CANL 116363	42.0333,-75.25	New York, Delaware County	Norcross Wildlife Sanctuary, SE of Monson, S of Monson-Wales Road, wall of Hessian Cemetary	https://lichenportal.org/portal/collections/individual/index.php?occid=452380
454489	CMN	Sharnoff, Stephen | Sharnoff, Sylvia D.	Massachusetts	Hampden Co.	178.92	outside_boundary_exact	CANL 118758	42.0333,-75.25	New York, Delaware County	Norcross Wildlife Sanctuary. SE of Monson. S of Monson-Wales Road, along road to Big Vineca Lake.	https://lichenportal.org/portal/collections/individual/index.php?occid=454489
454629	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Massachusetts	Hampden Co.	178.92	outside_boundary_exact	CANL 118893	42.0333,-75.25	New York, Delaware County	Norcross Wildlife Sanctuary. SE of Monson. S of Monson-Wales Road along \\"Broadway\\".	https://lichenportal.org/portal/collections/individual/index.php?occid=454629
