occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
1689833	COLO	G.W. Argus	Alaska	Juneau	951.02	outside_boundary_exact	COLO-L-0030717	64.883333,-147.866667	Alaska, Fairbanks North Star County	Fairbanks Quadrangle, 1 mile west of Smith Lake.	https://lichenportal.org/portal/collections/individual/index.php?occid=1689833
1721243	COLO	G. W. Argus	Alaska	Juneau	951.02	outside_boundary_exact	COLO-L-0042922	64.883333,-147.866667	Alaska, Fairbanks North Star County	Quadrangle, 1 mile west of Smith Lake	https://lichenportal.org/portal/collections/individual/index.php?occid=1721243
1628763	COLO	Emily A. Holt	Alaska	Nome	883.72	outside_boundary_exact	COLO-L-0013324	54.578335,-165.33667	not_found_in_US	near Anvil Mountain in drainage by mining debris	https://lichenportal.org/portal/collections/individual/index.php?occid=1628763
1721651	COLO	L. Viereck	Alaska	Denali	862.54	outside_boundary_exact	COLO-L-0043335	68.6,-166.133333	Alaska, North Slope County	Bering Strait District: Cape Dyer-Drainage of Kipaloq and Angowilk Creeks, south of Angowlik Creek	https://lichenportal.org/portal/collections/individual/index.php?occid=1721651
1651956	COLO	Emily A. Holt	Alaska	Northwest Arctic	148.48	outside_boundary_exact	COLO-L-0008790	68.03495,-168.3528	not_found_in_US	Plot 04-F1, Noatak National Preserve	https://lichenportal.org/portal/collections/individual/index.php?occid=1651956
1580615	COLO	W.J. Eyerdam	Alaska	Wrangell Petersburg	87.62	outside_boundary_first_word_match	COLO-L-0001488	56.722617,-134.370293	Alaska, Prince of Wales-Hyder County	Washington Bay, Kuiu Island	https://lichenportal.org/portal/collections/individual/index.php?occid=1580615
1580687	COLO	W. J. Eyerdam	Alaska	Wrangell Petersburg	87.62	outside_boundary_first_word_match	COLO-L-0001561	56.722617,-134.370293	Alaska, Prince of Wales-Hyder County	Washington Bay, Kuiu Island	https://lichenportal.org/portal/collections/individual/index.php?occid=1580687
1581157	COLO	W. J. Eyerdam	Alaska	Wrangell Petersburg	87.62	outside_boundary_first_word_match	COLO-L-0002043	56.722617,-134.370293	Alaska, Prince of Wales-Hyder County	along Washington Bay, Kuiu Island.	https://lichenportal.org/portal/collections/individual/index.php?occid=1581157
1587971	COLO	W. J. Eyerdam	Alaska	Wrangell Petersburg	87.62	outside_boundary_first_word_match	COLO-L-0003912	56.722617,-134.370293	Alaska, Prince of Wales-Hyder County	Kuiu Island, along Washington Bay	https://lichenportal.org/portal/collections/individual/index.php?occid=1587971
1607775	COLO	W. J. Eyerdam	Alaska	Wrangell Petersburg	87.62	outside_boundary_first_word_match	COLO-L-0005913	56.722617,-134.370293	Alaska, Prince of Wales-Hyder County	along Washington Bay, Kuiu Island.	https://lichenportal.org/portal/collections/individual/index.php?occid=1607775
1616675	COLO	W. J. Eyerdam	Alaska	Wrangell Petersburg	87.62	outside_boundary_first_word_match	COLO-L-0007272	56.722617,-134.370293	Alaska, Prince of Wales-Hyder County	Washington Bay, Kuiu Island	https://lichenportal.org/portal/collections/individual/index.php?occid=1616675
1623715	COLO	W.J. Eyerdam	Alaska	Wrangell Petersburg	87.62	outside_boundary_first_word_match	COLO-L-0009922	56.722617,-134.370293	Alaska, Prince of Wales-Hyder County	along Washington Bay, Kuiu Island.	https://lichenportal.org/portal/collections/individual/index.php?occid=1623715
