occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
1635470	COLO	Bruce Ryan	California	Monterey	287.15	outside_boundary_exact	COLO-L-0017262	34.3666667,-117.5708333	California, San Bernardino County	Hastings Ecological Preserve, Vicinity of Robertson house	https://lichenportal.org/portal/collections/individual/index.php?occid=1635470
1608394	COLO	Bruce D. Ryan	California	Madera	86.92	outside_boundary_exact	COLO-L-0006507	36.06666667,-119.76666667	California, Kings County	Hwy 41, 16 mi S of Coarsegold	https://lichenportal.org/portal/collections/individual/index.php?occid=1608394
1660920	COLO	Bruce D. Ryan	California	Marin	78.47	outside_boundary_exact	COLO-L-0021668	37.1666667,-122.95	not_found_in_US	North end of Pt. Reyes, 0.8 km east of Kehoe Beach	https://lichenportal.org/portal/collections/individual/index.php?occid=1660920
1661328	COLO	Bruce Ryan	California	Tuolumne	52.33	outside_boundary_exact	COLO-L-0022081	37.291667,-119.733333	California, Madera County	edge of Emigrant Wilderness, Huckleberry Trail through Kennedy Meadows	https://lichenportal.org/portal/collections/individual/index.php?occid=1661328
3171162	COLO	K. Knudsen	California	San Luis Obispo	50.03	outside_boundary_exact	COLO-L-0051603	36.2386,-120.8572	California, Monterey County	Central Coast, Irish Hills, ridge above Coon Creek	https://lichenportal.org/portal/collections/individual/index.php?occid=3171162
1689164	COLO	Bruce Ryan	California	Madera	42.16	outside_boundary_exact	COLO-L-0029903	37.383333,-118.616667	California, Inyo County	Highway 41, 19 miles northwest of Coarsegold	https://lichenportal.org/portal/collections/individual/index.php?occid=1689164
1660467	COLO	Bruce Ryan	California	San Diego	31.9	outside_boundary_exact	COLO-L-0021239	33.3875,-117.95	not_found_in_US	Agua Tibia Wilderness: Magee Palomar Trail, in vicinity of Eagle Crag	https://lichenportal.org/portal/collections/individual/index.php?occid=1660467
1717392	COLO	L.H. Pike	California	Humboldt	27.36	outside_boundary_exact	COLO-L-0039114	40.8,-123.183333	California, Trinity County	property of Dr. Lamphere, north spit of Humboldt Bay	https://lichenportal.org/portal/collections/individual/index.php?occid=1717392
1717491	COLO	L.H. Pike	California	Humboldt	27.36	outside_boundary_exact	COLO-L-0039236	40.8,-123.183333	California, Trinity County	property of Dr. Lanphere, north spit of Humboldt Bay	https://lichenportal.org/portal/collections/individual/index.php?occid=1717491
1732419	COLO	Lawrence H. Pike	California	Humboldt	27.36	outside_boundary_exact	COLO-L-0046227	40.8,-123.1833333333	California, Trinity County	N spit of Humboldt Bay, property of Dr. Lanphere, N spit of Humboldt Bay	https://lichenportal.org/portal/collections/individual/index.php?occid=1732419
