occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
1588383	COLO	M. E. Hale	Florida	Miami Dade	74.64	outside_boundary_similarity_0.6	COLO-L-0004308	24.692642,-81.372581	Florida, Monroe County	Big Pine Key, Florida Keys.	https://lichenportal.org/portal/collections/individual/index.php?occid=1588383
1713333	COLO	M. E. Hale	Florida	Orange	39.24	outside_boundary_exact	COLO-L-0037078	28.06373,-80.623246	Florida, Brevard County	Near campus of Florida Technological University, Orlando	https://lichenportal.org/portal/collections/individual/index.php?occid=1713333
1618199	COLO	Clifford M. Wetmore	Florida	Polk	6.97	outside_boundary_exact	COLO-L-0009141	27.5833333,-81.5	Florida, Highlands County	7 miles east of Avon Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1618199
1639727	COLO	John W. Thomson	Florida	Liberty	1.67	outside_boundary_exact	COLO-L-0017979	30.620847,-84.903464	Florida, Gadsden County	river bottom, Aspalaga Bluff	https://lichenportal.org/portal/collections/individual/index.php?occid=1639727
1587289	COLO	R.A. Pursell	Florida	Leon	1.48	outside_boundary_exact	COLO-L-0003235	30.29,-84.36	Florida, Wakulla County	Apalachicola National Forest, approx. 12 mi. S. of Tallahassee	https://lichenportal.org/portal/collections/individual/index.php?occid=1587289
1633210	COLO	R.A. Pursell	Florida	Leon	1.48	outside_boundary_exact	COLO-L-0014756	30.29,-84.36	Florida, Wakulla County	Apalachicola National Forest, approx. 12 mi. S. of Tallahassee	https://lichenportal.org/portal/collections/individual/index.php?occid=1633210
1690282	COLO	R.A. Pursell	Florida	Leon	1.48	outside_boundary_exact	COLO-L-0030983	30.29,-84.36	Florida, Wakulla County	Apalachicola National Forest; Approx. 12 mi. S of Tallahassee	https://lichenportal.org/portal/collections/individual/index.php?occid=1690282
1689738	COLO	Roger Rosentreter	Florida	Marion	1.42	outside_boundary_exact	COLO-L-0030596	29.5,-81.79	Florida, Putnam County	Just southeast of the Rodman Dam. FHM plot FL-7, state land. T11S R25E Sec. 28	https://lichenportal.org/portal/collections/individual/index.php?occid=1689738
1628022	COLO	Roger Rosentreter	Florida	Columbia	0.57	outside_boundary_exact	COLO-L-0012359	29.91,-82.57	Florida, Columbia County	About 1000 feet southeast of parking area, OLeno State Park, 20 miles NW of Gainesville, Florida. State Parks collecting permit #09030920.	https://lichenportal.org/portal/collections/individual/index.php?occid=1628022
1632574	COLO	Shirley Tucker	Florida	Leon	0.37	outside_boundary_exact	COLO-L-0015631	30.3,-84.35	Florida, Wakulla County	Apalachicola National Forest, Leon Sinks Area, along US Hwy. 319, just north of Wakulla Co. line. ABLS Field trip, Site 4.	https://lichenportal.org/portal/collections/individual/index.php?occid=1632574
1681645	COLO	Shirley Tucker	Florida	Liberty	0.18	outside_boundary_exact	COLO-L-0024736	30.18333,-84.66667	Florida, Wakulla County	Apalachicola National Forest, along Ochlockonee River, 21.5 mi. E. of Wilma on Forest Hwy. 13	https://lichenportal.org/portal/collections/individual/index.php?occid=1681645
1617045	COLO	Roger Rosentreter	Florida	Volusia	0.13	outside_boundary_exact	COLO-L-0007649	28.95,-81.36	Florida, Lake County	Along the nature trail, Hontoon Island State Park, 25 miles north of Orlando, Florida. State Parks collecting permit #09030920.	https://lichenportal.org/portal/collections/individual/index.php?occid=1617045
