occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
1587652	COLO	Clara E. Cummings	New Hampshire	Grafton	15745.88	outside_boundary_exact	COLO-L-0003583	-71.830917,44.024511	not_found_in_US	path to Jobidunk Ravine, Mt. Moosilauke, Franconia Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1587652
1616254	COLO	Clara E. Cummings	New Hampshire	Grafton	15745.88	outside_boundary_exact	COLO-L-0006846	-71.830917,44.024511	not_found_in_US	summit of Mt. Moosilauke, Franconia Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1616254
1616266	COLO	Clara E. Cummings	New Hampshire	Grafton	15745.88	outside_boundary_exact	COLO-L-0006858	-71.830917,44.024511	not_found_in_US	summit of Mt. Moosilauke, Franconia Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1616266
1616296	COLO	Clara E. Cummings	New Hampshire	Grafton	15745.88	outside_boundary_exact	COLO-L-0006888	-71.830917,44.024511	not_found_in_US	summit of Mt. Moosilauke, Franconia Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1616296
1617345	COLO	Clara E. Cummings	New Hampshire	Grafton	15745.88	outside_boundary_exact	COLO-L-0007949	-71.830917,44.024511	not_found_in_US	Near the summit of Mt. Moosilauke, Franconia Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1617345
1617486	COLO	Clara E. Cummings	New Hampshire	Grafton	15745.88	outside_boundary_exact	COLO-L-0008099	-71.830917,44.024511	not_found_in_US	Mt. Moosilauke, Franconia Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1617486
1617492	COLO	Clara E. Cummings	New Hampshire	Grafton	15745.88	outside_boundary_exact	COLO-L-0008105	-71.830917,44.024511	not_found_in_US	Mt. Moosilauke, Franconia Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1617492
1624553	COLO	Clara E. Cummings	New Hampshire	Grafton	15745.88	outside_boundary_exact	COLO-L-0010715	-71.830917,44.024511	not_found_in_US	near the summit of Mt. Moosilauke, Franconia Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1624553
1624770	COLO	Clara E. Cummings	New Hampshire	Grafton	15745.88	outside_boundary_exact	COLO-L-0010916	-71.830917,44.024511	not_found_in_US	near the summit of Mt. Moosilauke, Franconia Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1624770
1627181	COLO	Clara E. Cummings	New Hampshire	Grafton	15745.88	outside_boundary_exact	COLO-L-0011750	-71.830917,44.024511	not_found_in_US	Mt. Moosilauke	https://lichenportal.org/portal/collections/individual/index.php?occid=1627181
1627497	COLO	Clara E. Cummings	New Hampshire	Grafton	15745.88	outside_boundary_exact	COLO-L-0012555	-71.830917,44.024511	not_found_in_US	Mt. Moosilauke	https://lichenportal.org/portal/collections/individual/index.php?occid=1627497
1628182	COLO	Clara E. Cummings	New Hampshire	Grafton	15745.88	outside_boundary_exact	COLO-L-0012516	-71.830917,44.024511	not_found_in_US	Near the summit of Mt. Moosilauke, Franconia Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1628182
1629055	COLO	Clara E. Cummings	New Hampshire	Grafton	15745.88	outside_boundary_exact	COLO-L-0013661	-71.830917,44.024511	not_found_in_US	Mt. Moosilauke	https://lichenportal.org/portal/collections/individual/index.php?occid=1629055
1660939	COLO	Clara E. Cummings	New Hampshire	Grafton	15745.88	outside_boundary_exact	COLO-L-0021687	-71.830917,44.024511	not_found_in_US	summit of Mt. Moosilauke, Franconia Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1660939
1660945	COLO	Clara E. Cummings	New Hampshire	Grafton	15745.88	outside_boundary_exact	COLO-L-0021693	-71.830917,44.024511	not_found_in_US	summit of Mt. Moosilauke, Franconia Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1660945
1660975	COLO	Clara E. Cummings	New Hampshire	Grafton	15745.88	outside_boundary_exact	COLO-L-0021723	-71.830917,44.024511	not_found_in_US	Summit of Mt. Moosilauke, Franconia Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1660975
1661407	COLO	Clara E. Cummings	New Hampshire	Grafton	15745.88	outside_boundary_exact	COLO-L-0022161	-71.830917,44.024511	not_found_in_US	Summit of Mt Moosilauke, Franconia Mountains.	https://lichenportal.org/portal/collections/individual/index.php?occid=1661407
1685161	COLO	Clara E. Cummings	New Hampshire	Grafton	15745.88	outside_boundary_exact	COLO-L-0027102	-71.830917,44.024511	not_found_in_US	near the summit of Mt. Moosilauke, Franconia Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1685161
1685167	COLO	Clara E. Cummings	New Hampshire	Grafton	15745.88	outside_boundary_exact	COLO-L-0027108	-71.830917,44.024511	not_found_in_US	near the summit of Mt. Moosilauke, Franconia Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1685167
1685173	COLO	Clara E. Cummings	New Hampshire	Grafton	15745.88	outside_boundary_exact	COLO-L-0027114	-71.830917,44.024511	not_found_in_US	near the summit of Mt. Moosilauke, Franconia Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1685173
1685487	COLO	Clara E. Cummings	New Hampshire	Grafton	15745.88	outside_boundary_exact	COLO-L-0027425	-71.830917,44.024511	not_found_in_US	near the summit of Mt. Moosilauke, Franconia Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1685487
1685881	COLO	Clara E. Cummings	New Hampshire	Grafton	15745.88	outside_boundary_exact	COLO-L-0027820	-71.830917,44.024511	not_found_in_US	Mt. Moosilauke, Franconia Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1685881
1711413	COLO	Clara E. Cummings	New Hampshire	Grafton	15745.88	outside_boundary_exact	COLO-L-0036156	-71.830917,44.024511	not_found_in_US	summit of Mt. Moosilauke, Franconia Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1711413
1711416	COLO	Clara E. Cummings	New Hampshire	Grafton	15745.88	outside_boundary_exact	COLO-L-0036162	-71.830917,44.024511	not_found_in_US	summit of Mt. Moosilauke, Franconia Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1711416
1711512	COLO	Clara E. Cummings	New Hampshire	Grafton	15745.88	outside_boundary_exact	COLO-L-0036261	-71.830917,44.024511	not_found_in_US	summit of Mt. Moosilauke, Franconia Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1711512
1711524	COLO	Clara E. Cummings	New Hampshire	Grafton	15745.88	outside_boundary_exact	COLO-L-0036273	-71.830917,44.024511	not_found_in_US	Near the Summit of Mt. Moosilauke, Franconia Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1711524
1711535	COLO	Clara E. Cummings	New Hampshire	Grafton	15745.88	outside_boundary_exact	COLO-L-0036284	-71.830917,44.024511	not_found_in_US	summit of Mt. Moosilauke, Franconia Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1711535
1716569	COLO	Clara E. Cummings	New Hampshire	Grafton	15745.88	outside_boundary_exact	COLO-L-0039965	-71.830917,44.024511	not_found_in_US	Summit of Mt. Moosilauke, Franconia Mtns	https://lichenportal.org/portal/collections/individual/index.php?occid=1716569
1716575	COLO	Clara E. Cummings	New Hampshire	Grafton	15745.88	outside_boundary_exact	COLO-L-0039971	-71.830917,44.024511	not_found_in_US	Summit of Mt. Moosilauke, Franconia Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1716575
1720714	COLO	Clara E. Cummings	New Hampshire	Grafton	15745.88	outside_boundary_exact	COLO-L-0041373	-71.830917,44.024511	not_found_in_US	summit of Mt. Moosilauke, Franconia Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1720714
1720719	COLO	Clara E. Cummings	New Hampshire	Grafton	15745.88	outside_boundary_exact	COLO-L-0041379	-71.830917,44.024511	not_found_in_US	summit of Mt. Moosilauke, Franconia Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1720719
1729119	COLO	Clara E. Cummings	New Hampshire	Grafton	15745.88	outside_boundary_exact	COLO-L-0044240	-71.830917,44.024511	not_found_in_US	near the summit of Mt. Moosilauke, Franconia Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1729119
1729131	COLO	Clara E. Cummings	New Hampshire	Grafton	15745.88	outside_boundary_exact	COLO-L-0044252	-71.830917,44.024511	not_found_in_US	near the summit of Mt. Moosilauke, Franconia Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1729131
1729137	COLO	Clara E. Cummings	New Hampshire	Grafton	15745.88	outside_boundary_exact	COLO-L-0044258	-71.830917,44.024511	not_found_in_US	near the summit of Mt. Moosilauke, Franconia Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1729137
1730429	COLO	Clara E. Cummings	New Hampshire	Grafton	15745.88	outside_boundary_exact	COLO-L-0045591	-71.830917,44.024511	not_found_in_US	near the summit of Mt. Moosilauke, Franconia Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1730429
1587429	COLO	Edward Tuckerman	New Hampshire	Carroll	1.06	outside_boundary_exact	COLO-L-0003377	44.14361,-71.31694	New Hampshire, Coos County	White Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1587429
1689158	COLO	Edward Tuckerman	New Hampshire	Carroll	1.06	outside_boundary_exact	COLO-L-0029891	44.14361,-71.31694	New Hampshire, Coos County	White Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1689158
