occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
3128357	COLO	James C. Lendemer	North Carolina	Swain	1088.5	outside_boundary_exact	COLO-L-0051433	25.47,-83.558333	not_found_in_US	Great Smoky Mountains National Park, NW of jct of White Oak Branch Trail and Lakeshore Trail.	https://lichenportal.org/portal/collections/individual/index.php?occid=3128357
3128395	COLO	James C. Lendemer	North Carolina	Swain	1088.5	outside_boundary_exact	COLO-L-0051439	25.47,-83.558333	not_found_in_US	Great Smoky Mountains National Park, NW of jct of White Oak Branch Trail and Lakeshore Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=3128395
3172307	COLO	E. A. Tripp	North Carolina	Haywood	72.48	outside_boundary_exact	COLO-L-0052285	34.68406,-83.1972	South Carolina, Oconee County	Great Smoky Mountains National Park, Walnut Bottoms, between Low Gap Trail and Gunter Fork Trail, along Big Creek/Gunter Fork	https://lichenportal.org/portal/collections/individual/index.php?occid=3172307
3171966	COLO	J. P. Dey	North Carolina	Carteret	60.85	outside_boundary_exact	COLO-L-0052455	34.6989,-77.8289	North Carolina, Pender County	Theodore Roosevelt Natural Area on Bogue Banks, SW of N.C. Aquarium, S of Nature Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=3171966
4642776	COLO	James C. Lendemer	North Carolina	Jackson	57.74	outside_boundary_exact	COLO-L-0064161	35.53511,-83.99142	Tennessee, Monroe County	Nantahala National Forest, Balsam Mountains, N-facing slopes of Old Knob Ridge, Old Knob Trail ~0.3 mi S of jct w/ Blue Ridge Parkway, ~0.6 mi N of Lost Knob; 35.37789 -83.03267	https://lichenportal.org/portal/collections/individual/index.php?occid=4642776
4642904	COLO	James C. Lendemer	North Carolina	Jackson	57.74	outside_boundary_exact	COLO-L-0065192	35.53511,-83.99142	Tennessee, Monroe County	Nantahala National Forest, Balsam Mountains, N-facing slopes of Old Knob Ridge, Old Knob Trail ~0.3 mi S of jct w/ Blue Ridge Parkway, ~0.6 mi N of Lost Knob; 35.37789 -83.03267	https://lichenportal.org/portal/collections/individual/index.php?occid=4642904
1641812	COLO	S. Kurokawa	North Carolina	Buncombe	56.13	outside_boundary_exact	COLO-L-0019398	35.562763,-83.497919	North Carolina, Swain County	Clingman's Dome, Great Smoky Mountains.	https://lichenportal.org/portal/collections/individual/index.php?occid=1641812
4642119	COLO	James C. Lendemer	North Carolina	Haywood	34.71	outside_boundary_exact	COLO-L-0064083	35.366389,-82.363611	North Carolina, Henderson County	Pisgah National Forest, Balsam Mountains, Shining Rock Wilderness, Shining Rock Ledge, W-Facing slopes of Shining Rock summit, 0.2 miles N of Shining Rock Gap.	https://lichenportal.org/portal/collections/individual/index.php?occid=4642119
4642719	COLO	James C. Lendemer	North Carolina	Haywood	34.71	outside_boundary_exact	COLO-L-0064212	35.366389,-82.363611	North Carolina, Henderson County	Pisgah National Forest, Balsam Mountains, Shining Rock Wilderness, Shining Rock Ledge, W-Facing slopes of Shining Rock summit, 0.2 miles N of Shining Rock Gap.; 35.366389 -82.363611	https://lichenportal.org/portal/collections/individual/index.php?occid=4642719
4642720	COLO	James C. Lendemer	North Carolina	Haywood	34.71	outside_boundary_exact	COLO-L-0064147	35.366389,-82.363611	North Carolina, Henderson County	Pisgah National Forest, Balsam Mountains, Shining Rock Wilderness, Shining Rock Ledge, W-Facing slopes of Shining Rock summit, 0.2 miles N of Shining Rock Gap.; 35.366389 -82.363611	https://lichenportal.org/portal/collections/individual/index.php?occid=4642720
