institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
COLO	James C. Lendemer	North Carolina	Swain	1088.5	outside_boundary_exact	not_found_in_US	25.47,-83.558333	COLO-L-0051433	Great Smoky Mountains National Park, NW of jct of White Oak Branch Trail and Lakeshore Trail.	https://lichenportal.org/portal/collections/individual/index.php?occid=3128357
COLO	James C. Lendemer	North Carolina	Swain	1088.5	outside_boundary_exact	not_found_in_US	25.47,-83.558333	COLO-L-0051439	Great Smoky Mountains National Park, NW of jct of White Oak Branch Trail and Lakeshore Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=3128395
COLO	E. A. Tripp	North Carolina	Haywood	72.48	outside_boundary_exact	South Carolina, Oconee County	34.68406,-83.1972	COLO-L-0052285	Great Smoky Mountains National Park, Walnut Bottoms, between Low Gap Trail and Gunter Fork Trail, along Big Creek/Gunter Fork	https://lichenportal.org/portal/collections/individual/index.php?occid=3172307
COLO	J. P. Dey	North Carolina	Carteret	60.85	outside_boundary_exact	North Carolina, Pender County	34.6989,-77.8289	COLO-L-0052455	Theodore Roosevelt Natural Area on Bogue Banks, SW of N.C. Aquarium, S of Nature Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=3171966
COLO	James C. Lendemer	North Carolina	Jackson	57.74	outside_boundary_exact	Tennessee, Monroe County	35.53511,-83.99142	COLO-L-0064161	Nantahala National Forest, Balsam Mountains, N-facing slopes of Old Knob Ridge, Old Knob Trail ~0.3 mi S of jct w/ Blue Ridge Parkway, ~0.6 mi N of Lost Knob; 35.37789 -83.03267	https://lichenportal.org/portal/collections/individual/index.php?occid=4642776
COLO	James C. Lendemer	North Carolina	Jackson	57.74	outside_boundary_exact	Tennessee, Monroe County	35.53511,-83.99142	COLO-L-0065192	Nantahala National Forest, Balsam Mountains, N-facing slopes of Old Knob Ridge, Old Knob Trail ~0.3 mi S of jct w/ Blue Ridge Parkway, ~0.6 mi N of Lost Knob; 35.37789 -83.03267	https://lichenportal.org/portal/collections/individual/index.php?occid=4642904
COLO	S. Kurokawa	North Carolina	Buncombe	56.13	outside_boundary_exact	North Carolina, Swain County	35.562763,-83.497919	COLO-L-0019398	Clingman's Dome, Great Smoky Mountains.	https://lichenportal.org/portal/collections/individual/index.php?occid=1641812
COLO	James C. Lendemer	North Carolina	Haywood	34.71	outside_boundary_exact	North Carolina, Henderson County	35.366389,-82.363611	COLO-L-0064083	Pisgah National Forest, Balsam Mountains, Shining Rock Wilderness, Shining Rock Ledge, W-Facing slopes of Shining Rock summit, 0.2 miles N of Shining Rock Gap.	https://lichenportal.org/portal/collections/individual/index.php?occid=4642119
COLO	James C. Lendemer	North Carolina	Haywood	34.71	outside_boundary_exact	North Carolina, Henderson County	35.366389,-82.363611	COLO-L-0064212	Pisgah National Forest, Balsam Mountains, Shining Rock Wilderness, Shining Rock Ledge, W-Facing slopes of Shining Rock summit, 0.2 miles N of Shining Rock Gap.; 35.366389 -82.363611	https://lichenportal.org/portal/collections/individual/index.php?occid=4642719
COLO	James C. Lendemer	North Carolina	Haywood	34.71	outside_boundary_exact	North Carolina, Henderson County	35.366389,-82.363611	COLO-L-0064147	Pisgah National Forest, Balsam Mountains, Shining Rock Wilderness, Shining Rock Ledge, W-Facing slopes of Shining Rock summit, 0.2 miles N of Shining Rock Gap.; 35.366389 -82.363611	https://lichenportal.org/portal/collections/individual/index.php?occid=4642720
