occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
3435304	CSU	S. Strawn	Oklahoma	Latimer	13366.02	outside_boundary_exact	CSU-L-000154	35,95.34	not_found_in_US	RobbersCaveStPk	https://lichenportal.org/portal/collections/individual/index.php?occid=3435304
4922871	CSU	S. Strawn	Oklahoma	Carter	206.32	outside_boundary_exact	CSU-L-001391	34.134234,-94.679443	Oklahoma, McCurtain County	Lake Murray State Park Group Camp #1 trail	https://lichenportal.org/portal/collections/individual/index.php?occid=4922871
3435135	CSU	S. Strawn	Oklahoma	Sequoyah	107.74	outside_boundary_exact	CSU-L-001223	36.60065,-95.03355	Oklahoma, Craig County	TenkillerStatePark	https://lichenportal.org/portal/collections/individual/index.php?occid=3435135
3435140	CSU	S. Strawn	Oklahoma	Sequoyah	107.74	outside_boundary_exact	CSU-L-001225	36.60065,-95.03355	Oklahoma, Craig County	TenkillerStatePark	https://lichenportal.org/portal/collections/individual/index.php?occid=3435140
3435146	CSU	S. Strawn	Oklahoma	Sequoyah	107.74	outside_boundary_exact	CSU-L-001233	36.60065,-95.03355	Oklahoma, Craig County	TenkillerStatePark	https://lichenportal.org/portal/collections/individual/index.php?occid=3435146
3435153	CSU	S. Strawn	Oklahoma	Sequoyah	107.74	outside_boundary_exact	CSU-L-001226	36.60065,-95.03355	Oklahoma, Craig County	TenkillerStatePark	https://lichenportal.org/portal/collections/individual/index.php?occid=3435153
3435194	CSU	S. Strawn	Oklahoma	Sequoyah	107.74	outside_boundary_exact	CSU-L-001224	36.60065,-95.03355	Oklahoma, Craig County	TenkillerStatePark	https://lichenportal.org/portal/collections/individual/index.php?occid=3435194
3435215	CSU	S. Strawn	Oklahoma	Sequoyah	107.74	outside_boundary_exact	CSU-L-001222	36.60065,-95.03355	Oklahoma, Craig County	TenkillerStatePark	https://lichenportal.org/portal/collections/individual/index.php?occid=3435215
3435318	CSU	S. Strawn	Oklahoma	Sequoyah	107.74	outside_boundary_exact	CSU-L-001220	36.60065,-95.03355	Oklahoma, Craig County	TenkillerStatePark	https://lichenportal.org/portal/collections/individual/index.php?occid=3435318
3435351	CSU	S. Strawn	Oklahoma	Sequoyah	107.74	outside_boundary_exact	CSU-L-001232	36.60065,-95.03355	Oklahoma, Craig County	TenkillerStatePark	https://lichenportal.org/portal/collections/individual/index.php?occid=3435351
3435413	CSU	S. Strawn	Oklahoma	Sequoyah	107.74	outside_boundary_exact	CSU-L-001221	36.60065,-95.03355	Oklahoma, Craig County	TenkillerStatePark	https://lichenportal.org/portal/collections/individual/index.php?occid=3435413
3435414	CSU	S. Strawn	Oklahoma	Sequoyah	107.74	outside_boundary_exact	CSU-L-001228	36.60065,-95.03355	Oklahoma, Craig County	TenkillerStatePark	https://lichenportal.org/portal/collections/individual/index.php?occid=3435414
3435722	CSU	S. Strawn	Oklahoma	Sequoyah	107.74	outside_boundary_exact	CSU-L-001227	36.60065,-95.03355	Oklahoma, Craig County	TenkillerStatePark	https://lichenportal.org/portal/collections/individual/index.php?occid=3435722
3435786	CSU	S. Strawn	Oklahoma	Sequoyah	107.74	outside_boundary_exact	CSU-L-001229	36.60065,-95.03355	Oklahoma, Craig County	TenkillerStatePark	https://lichenportal.org/portal/collections/individual/index.php?occid=3435786
3435868	CSU	S. Strawn	Oklahoma	Sequoyah	107.74	outside_boundary_exact	CSU-L-001230	36.60065,-95.03355	Oklahoma, Craig County	TenkillerStatePark	https://lichenportal.org/portal/collections/individual/index.php?occid=3435868
3434998	CSU	S. Strawn	Oklahoma	Latimer	75.34	outside_boundary_exact	CSU-L-000656	35,-96.34	Oklahoma, Hughes County	RobbersCaveCarltonGpCamp; 35 -96.34; 35 -96.34	https://lichenportal.org/portal/collections/individual/index.php?occid=3434998
3435679	CSU	S. Strawn	Oklahoma	Latimer	75.34	outside_boundary_exact	CSU-L-000155	35,-96.34	Oklahoma, Hughes County	RobbersCaveStPk	https://lichenportal.org/portal/collections/individual/index.php?occid=3435679
3435769	CSU	S. Strawn	Oklahoma	Latimer	75.34	outside_boundary_exact	CSU-L-000622	35,-96.34	Oklahoma, Hughes County	RobbersCaveEntrance/Trails	https://lichenportal.org/portal/collections/individual/index.php?occid=3435769
3439545	CSU	S. Strawn	Oklahoma	Latimer	75.34	outside_boundary_exact	CSU-L-000658	35,-96.34	Oklahoma, Hughes County	RobbersCaveCarltonGpCamp	https://lichenportal.org/portal/collections/individual/index.php?occid=3439545
3435039	CSU	S. Strawn	Oklahoma	Roger Mills	74.31	outside_boundary_exact	CSU-L-000966	36.6667,-99.7506	Oklahoma, Harper County	BlackKettleNationalGrassland	https://lichenportal.org/portal/collections/individual/index.php?occid=3435039
3435092	CSU	S. Strawn	Oklahoma	Roger Mills	74.31	outside_boundary_exact	CSU-L-000968	36.6667,-99.7506	Oklahoma, Harper County	BlackKettleNationalGrassland	https://lichenportal.org/portal/collections/individual/index.php?occid=3435092
3435195	CSU	S. Strawn	Oklahoma	Roger Mills	74.31	outside_boundary_exact	CSU-L-000970	36.6667,-99.7506	Oklahoma, Harper County	BlackKettleNationalGrassland	https://lichenportal.org/portal/collections/individual/index.php?occid=3435195
3435265	CSU	S. Strawn	Oklahoma	Roger Mills	74.31	outside_boundary_exact	CSU-L-000716	36.6667,-99.7506	Oklahoma, Harper County	BlackKettleNationalGrassland	https://lichenportal.org/portal/collections/individual/index.php?occid=3435265
3435266	CSU	S. Strawn	Oklahoma	Roger Mills	74.31	outside_boundary_exact	CSU-L-000954	36.6667,-99.7506	Oklahoma, Harper County	BlackKettleNationalGrassland	https://lichenportal.org/portal/collections/individual/index.php?occid=3435266
3435316	CSU	S. Strawn	Oklahoma	Roger Mills	74.31	outside_boundary_exact	CSU-L-000963	36.6667,-99.7506	Oklahoma, Harper County	BlackKettleNationalGrassland	https://lichenportal.org/portal/collections/individual/index.php?occid=3435316
3435335	CSU	S. Strawn	Oklahoma	RogerMills	74.31	outside_boundary_similarity_0.727	CSU-L-000948	36.6667,-99.7506	Oklahoma, Harper County	BlackKettleNationalGrassland	https://lichenportal.org/portal/collections/individual/index.php?occid=3435335
3435452	CSU	S. Strawn	Oklahoma	RogerMills	74.31	outside_boundary_similarity_0.727	CSU-L-000967	36.6667,-99.7506	Oklahoma, Harper County	BlackKettleNationalGrassland	https://lichenportal.org/portal/collections/individual/index.php?occid=3435452
3435483	CSU	S. Strawn	Oklahoma	RogerMills	74.31	outside_boundary_similarity_0.727	CSU-L-000965	36.6667,-99.7506	Oklahoma, Harper County	BlackKettleNationalGrassland	https://lichenportal.org/portal/collections/individual/index.php?occid=3435483
3435484	CSU	S. Strawn	Oklahoma	RogerMills	74.31	outside_boundary_similarity_0.727	CSU-L-000971	36.6667,-99.7506	Oklahoma, Harper County	BlackKettleNationalGrassland	https://lichenportal.org/portal/collections/individual/index.php?occid=3435484
3435542	CSU	S. Strawn	Oklahoma	RogerMills	74.31	outside_boundary_similarity_0.727	CSU-L-000955	36.6667,-99.7506	Oklahoma, Harper County	BlackKettleNationalGrassland	https://lichenportal.org/portal/collections/individual/index.php?occid=3435542
3435584	CSU	S. Strawn	Oklahoma	RogerMills	74.31	outside_boundary_similarity_0.727	CSU-L-000941	36.6667,-99.7506	Oklahoma, Harper County	BlackKettleNationalGrassland	https://lichenportal.org/portal/collections/individual/index.php?occid=3435584
3435585	CSU	S. Strawn	Oklahoma	RogerMills	74.31	outside_boundary_similarity_0.727	CSU-L-000956	36.6667,-99.7506	Oklahoma, Harper County	BlackKettleNationalGrassland	https://lichenportal.org/portal/collections/individual/index.php?occid=3435585
3435629	CSU	S. Strawn	Oklahoma	RogerMills	74.31	outside_boundary_similarity_0.727	CSU-L-000957	36.6667,-99.7506	Oklahoma, Harper County	BlackKettleNationalGrassland	https://lichenportal.org/portal/collections/individual/index.php?occid=3435629
3435810	CSU	S. Strawn	Oklahoma	RogerMills	74.31	outside_boundary_similarity_0.727	CSU-L-000969	36.6667,-99.7506	Oklahoma, Harper County	BlackKettleNationalGrassland	https://lichenportal.org/portal/collections/individual/index.php?occid=3435810
3435867	CSU	S. Strawn	Oklahoma	RogerMills	74.31	outside_boundary_similarity_0.727	CSU-L-000959	36.6667,-99.7506	Oklahoma, Harper County	BlackKettleNationalGrassland	https://lichenportal.org/portal/collections/individual/index.php?occid=3435867
3435914	CSU	S. Strawn	Oklahoma	RogerMills	74.31	outside_boundary_similarity_0.727	CSU-L-000960	36.6667,-99.7506	Oklahoma, Harper County	BlackKettleNationalGrassland	https://lichenportal.org/portal/collections/individual/index.php?occid=3435914
3435944	CSU	S. Strawn	Oklahoma	RogerMills	74.31	outside_boundary_similarity_0.727	CSU-L-000961	36.6667,-99.7506	Oklahoma, Harper County	BlackKettleNationalGrassland	https://lichenportal.org/portal/collections/individual/index.php?occid=3435944
3435576	CSU	S. Strawn	Oklahoma	Cherokee	45.38	outside_boundary_exact	CSU-L-001273	35.2445,-95.2445	Oklahoma, Haskell County	SequoyahStateParkLodge	https://lichenportal.org/portal/collections/individual/index.php?occid=3435576
3777571	CSU	S. Strawn	Oklahoma	Kiowa	44.96	outside_boundary_exact	CSU-L-001363	35.452496,-98.352546	Oklahoma, Caddo County	Lake Tom Steed; 34.740890503 -98.965927124	https://lichenportal.org/portal/collections/individual/index.php?occid=3777571
4580326	CSU	S.Strawn	Oklahoma	Kiowa	44.96	outside_boundary_exact	CSU-L-001358	35.452496,-98.352546	Oklahoma, Caddo County	Lake Tom Steed; 34.740890503 -98.965927124; 35.452496 -98.352546	https://lichenportal.org/portal/collections/individual/index.php?occid=4580326
3771970	CSU	T. McCaslin	Oklahoma	Lincoln	6.27	outside_boundary_exact	CSU-L-001319	35.998,-97.03411	Oklahoma, Payne County	S. 3350 Road	https://lichenportal.org/portal/collections/individual/index.php?occid=3771970
3771971	CSU	T. McCaslin	Oklahoma	Lincoln	6.27	outside_boundary_exact	CSU-L-001303	35.998,-97.03411	Oklahoma, Payne County	S. 3350 Road	https://lichenportal.org/portal/collections/individual/index.php?occid=3771971
3771972	CSU	T. McCaslin	Oklahoma	Lincoln	6.27	outside_boundary_exact	CSU-L-001302	35.998,-97.03411	Oklahoma, Payne County	S. 3350 Road	https://lichenportal.org/portal/collections/individual/index.php?occid=3771972
3771973	CSU	T. McCaslin	Oklahoma	Lincoln	6.27	outside_boundary_exact	CSU-L-001305	35.998,-97.03411	Oklahoma, Payne County	S. 3350 Road	https://lichenportal.org/portal/collections/individual/index.php?occid=3771973
3771974	CSU	T. McCaslin	Oklahoma	Lincoln	6.27	outside_boundary_exact	CSU-L-001320	35.998,-97.03411	Oklahoma, Payne County	S. 3350 Road	https://lichenportal.org/portal/collections/individual/index.php?occid=3771974
3771975	CSU	T. McCaslin	Oklahoma	Lincoln	6.27	outside_boundary_exact	CSU-L-001304	35.998,-97.03411	Oklahoma, Payne County	S. 3350 Road	https://lichenportal.org/portal/collections/individual/index.php?occid=3771975
