institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
CSU	S.Strawn	Texas	Henderson	244.36	outside_boundary_exact	Texas, Austin County	29.80883558,-96.12225014	CSU-L-2350	SalahBambergerRanch	https://lichenportal.org/portal/collections/individual/index.php?occid=5361972
CSU	S.Strawn	Texas	Blanco	204.62	outside_boundary_exact	Texas, Austin County	29.80883558,-96.12225014	CSU-L-2324	SalahBambergerRanch	https://lichenportal.org/portal/collections/individual/index.php?occid=5361950
CSU	S.Strawn	Texas	Blanco	204.62	outside_boundary_exact	Texas, Austin County	29.80883558,-96.12225014	CSU-L-2325	SalahBambergerRanch	https://lichenportal.org/portal/collections/individual/index.php?occid=5361951
CSU	S.Strawn	Texas	Blanco	204.62	outside_boundary_exact	Texas, Austin County	29.80883558,-96.12225014	CSU-L-2327	SalahBambergerRanch	https://lichenportal.org/portal/collections/individual/index.php?occid=5361952
CSU	S.Strawn	Texas	Blanco	204.62	outside_boundary_exact	Texas, Austin County	29.80883558,-96.12225014	CSU-L-2328	SalahBambergerRanch	https://lichenportal.org/portal/collections/individual/index.php?occid=5361953
CSU	S.Strawn	Texas	Blanco	204.62	outside_boundary_exact	Texas, Austin County	29.80883558,-96.12225014	CSU-L-2329	SalahBambergerRanch	https://lichenportal.org/portal/collections/individual/index.php?occid=5361954
CSU	S.Strawn	Texas	Blanco	204.62	outside_boundary_exact	Texas, Austin County	29.80883558,-96.12225014	CSU-L-2330	SalahBambergerRanch	https://lichenportal.org/portal/collections/individual/index.php?occid=5361955
CSU	S.Strawn	Texas	Blanco	204.62	outside_boundary_exact	Texas, Austin County	29.80883558,-96.12225014	CSU-L-2332	SalahBambergerRanch	https://lichenportal.org/portal/collections/individual/index.php?occid=5361956
CSU	S.Strawn	Texas	Blanco	204.62	outside_boundary_exact	Texas, Austin County	29.80883558,-96.12225014	CSU-L-2333	SalahBambergerRanch	https://lichenportal.org/portal/collections/individual/index.php?occid=5361957
CSU	S.Strawn	Texas	Blanco	204.62	outside_boundary_exact	Texas, Austin County	29.80883558,-96.12225014	CSU-L-2334	SalahBambergerRanch	https://lichenportal.org/portal/collections/individual/index.php?occid=5361958
CSU	S.Strawn	Texas	Blanco	204.62	outside_boundary_exact	Texas, Austin County	29.80883558,-96.12225014	CSU-L-2336	SalahBambergerRanch	https://lichenportal.org/portal/collections/individual/index.php?occid=5361960
CSU	S.Strawn	Texas	Blanco	204.62	outside_boundary_exact	Texas, Austin County	29.80883558,-96.12225014	CSU-L-2338	SalahBambergerRanch	https://lichenportal.org/portal/collections/individual/index.php?occid=5361961
CSU	S.Strawn	Texas	Blanco	204.62	outside_boundary_exact	Texas, Austin County	29.80883558,-96.12225014	CSU-L-2340	SalahBambergerRanch	https://lichenportal.org/portal/collections/individual/index.php?occid=5361963
CSU	S.Strawn	Texas	Blanco	204.62	outside_boundary_exact	Texas, Austin County	29.80883558,-96.12225014	CSU-L-2341	SalahBambergerRanch	https://lichenportal.org/portal/collections/individual/index.php?occid=5361964
CSU	S.Strawn	Texas	Blanco	204.62	outside_boundary_exact	Texas, Austin County	29.80883558,-96.12225014	CSU-L-2342	SalahBambergerRanch	https://lichenportal.org/portal/collections/individual/index.php?occid=5361965
CSU	S.Strawn	Texas	Blanco	204.62	outside_boundary_exact	Texas, Austin County	29.80883558,-96.12225014	CSU-L-2345	SalahBambergerRanch	https://lichenportal.org/portal/collections/individual/index.php?occid=5361967
CSU	S.Strawn	Texas	Blanco	204.62	outside_boundary_exact	Texas, Austin County	29.80883558,-96.12225014	CSU-L-2346	SalahBambergerRanch	https://lichenportal.org/portal/collections/individual/index.php?occid=5361968
CSU	S.Strawn	Texas	Marion	55.2	outside_boundary_exact	Texas, Panola County	32.2,-94.2	CSU-L-2348	CedarSpringsPk	https://lichenportal.org/portal/collections/individual/index.php?occid=5361970
CSU	S.Strawn	Texas	Marion	44.55	outside_boundary_exact	Texas, Panola County	32.3,-94.3	CSU-L-2349	CedarSpringsPk	https://lichenportal.org/portal/collections/individual/index.php?occid=5361971
CSU	S.Strawn	Texas	Polk	42.24	outside_boundary_exact	Texas, Jasper County	30.434652,-94.102128	CSU-L-1452	LanceRosierUnit	https://lichenportal.org/portal/collections/individual/index.php?occid=5361974
CSU	S.Strawn	Texas	Polk	42.24	outside_boundary_exact	Texas, Jasper County	30.434652,-94.102128	CSU-L-1453	LanceRosierUnit	https://lichenportal.org/portal/collections/individual/index.php?occid=5361975
CSU	S.Strawn	Texas	Polk	42.24	outside_boundary_exact	Texas, Jasper County	30.434652,-94.102128	CSU-L-1454	LanceRosierUnit	https://lichenportal.org/portal/collections/individual/index.php?occid=5361976
CSU	S.Strawn	Texas	Polk	42.24	outside_boundary_exact	Texas, Jasper County	30.434652,-94.102128	CSU-L-001456	LanceRosierUnit	https://lichenportal.org/portal/collections/individual/index.php?occid=5361978
CSU	S.Strawn	Texas	Polk	42.24	outside_boundary_exact	Texas, Jasper County	30.434652,-94.102128	CSU-L-1459	LanceRosierUnit	https://lichenportal.org/portal/collections/individual/index.php?occid=5361979
CSU	S.Strawn	Texas	Polk	42.24	outside_boundary_exact	Texas, Jasper County	30.434652,-94.102128	CSU-L-1471	LanceRosierUnit	https://lichenportal.org/portal/collections/individual/index.php?occid=5361980
