occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
4908687	CUP	William L. Culberson	North Carolina	Haywood	6840.64	outside_boundary_exact	CUP-L-0010994	47.415246,1.204198	not_found_in_US	Mount Pisgah	https://lichenportal.org/portal/collections/individual/index.php?occid=4908687
4908686	CUP	William L. Culberson	North Carolina	Pender	6520.98	outside_boundary_exact	CUP-L-0010993	47.415246,1.204198	not_found_in_US	6 km NE of Hampstead on Route 17	https://lichenportal.org/portal/collections/individual/index.php?occid=4908686
4899327	CUP	James C. Lendemer	North Carolina	Haywood	795.51	outside_boundary_exact	CUP-L-0010946	40.19889,-75.78667	Pennsylvania, Berks County	Great Smoky Mountains National Park, 3 miles southeast of Waterville, along Baxter Creek Trail, south of Big Creek Campsite, Mount Sterling Ridge, lower slopes of Mount Sterling, Cove Creek Gap Quad.	https://lichenportal.org/portal/collections/individual/index.php?occid=4899327
4899329	CUP	William L. Culberson	North Carolina	Stokes	549.99	outside_boundary_exact	CUP-L-0010947	40.19889,-75.78667	Pennsylvania, Berks County	Hanging Rock State Park, top of Hanging Rock	https://lichenportal.org/portal/collections/individual/index.php?occid=4899329
4912785	CUP	William L. Culberson	North Carolina	Carteret	537.69	outside_boundary_exact	CUP-L-0011034	35.25,-83.0833333	North Carolina, Jackson County	Harker's Island, just beyond the bridge leading into the island from the mainland	https://lichenportal.org/portal/collections/individual/index.php?occid=4912785
4938591	CUP	R. Yahr	North Carolina	Clay	469.69	outside_boundary_exact	CUP-L-0011128	35.8425,-78.3727778	North Carolina, Wake County	Nantahala National Forest along Buck Creek Rd. 1.2 mi. NNW of US64. 2.2 mi. W of Macon Co. line, along powerline right-of-way and trails near road.	https://lichenportal.org/portal/collections/individual/index.php?occid=4938591
4938592	CUP	R. Yahr	North Carolina	Macon	436.32	outside_boundary_exact	CUO-L-0011129	35.8425,-78.3727778	North Carolina, Wake County	Cedar Cliff Mountain, ca. 3 mi E of NC 107 at Tuckasegee, along NC 281	https://lichenportal.org/portal/collections/individual/index.php?occid=4938592
4993474	CUP	James C. Lendemer	North Carolina	Haywood	396.41	outside_boundary_exact	CUP-L-0011152	31.7422222,-82.8536111	Georgia, Coffee County	Great Smoky Mountains National Park, 3 miles southeast of Waterville, along Baxter Creek Trail, south of Big Creek Campsite, Mount Sterling Ridge, lower slopes of Mount Sterling, Cove Creek Gap Quad.	https://lichenportal.org/portal/collections/individual/index.php?occid=4993474
4938593	CUP	William L. Culberson	North Carolina	Haywood	395.17	outside_boundary_exact	CUP-L-0011130	35.8425,-78.3727778	North Carolina, Wake County	Mount Pisgah	https://lichenportal.org/portal/collections/individual/index.php?occid=4938593
4929987	CUP	William L. Culberson	North Carolina	Durham	371.83	outside_boundary_exact	CUP-L-0011117	35.25,-83.0833333	North Carolina, Jackson County	New Hope Swamp between Durham & Chapel Hill, Rt. 15	https://lichenportal.org/portal/collections/individual/index.php?occid=4929987
