occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
5647798	EWU	Amanda Chandler	Washington	Spokane	4447.1	outside_boundary_exact	EWU003055	47.4917,-177.59139	not_found_in_US	Eastern Washington University Campus, Ropes Course and baseball field, ~0.15 mi W of Roos field (football field), and ~0.25 mi W of intersection between Washington and Elm Street	https://lichenportal.org/portal/collections/individual/index.php?occid=5647798
5647802	EWU	Amanda Chandler	Washington	Spokane	4447.1	outside_boundary_exact	EWU003057	47.4917,-177.59139	not_found_in_US	Eastern Washington University Campus, Ropes Course and baseball field, ~0.15 mi W of Roos field (football field), and ~0.25 mi W of intersection between Washington and Elm Street	https://lichenportal.org/portal/collections/individual/index.php?occid=5647802
5647799	EWU	Amanda Chandler	Washington	Spokane	4444.72	outside_boundary_exact	EWU003056	47.4829,-177.554	not_found_in_US	Cheney waste water treatment site, 0.44 mi NE of intersection of Columbia Plateau trail and the Cheney-Spangle Road, ~ 1 mi SE of the intersection of Cheney-Spangle Road and Lt. Col. Michael P. Anderson Memorial Highway	https://lichenportal.org/portal/collections/individual/index.php?occid=5647799
5647800	EWU	Amanda Chandler	Washington	Spokane	4444.72	outside_boundary_exact	EWU003059	47.4829,-177.554	not_found_in_US	Cheney waster water treatment site, 0.44 mi Ne of intersection of the Columbia Plateau trail and the Cheney-Spangle Road, ~ 1 mi SE of the intersection of Cheney-Spangle Road and Lt. Col. Micheal P. Anderson Memorial Highway	https://lichenportal.org/portal/collections/individual/index.php?occid=5647800
5647801	EWU	Amanda Chandler	Washington	Spokane	4444.72	outside_boundary_exact	EWU003058	47.4829,-177.554	not_found_in_US	Cheney waster water treatment site, 0.44 mi Ne of intersection of the Columbia Plateau trail and the Cheney-Spangle Road, ~ 1 mi SE of the intersection of Cheney-Spangle Road and Lt. Col. Micheal P. Anderson Memorial Highway	https://lichenportal.org/portal/collections/individual/index.php?occid=5647801
5647803	EWU	Amanda Chandler	Washington	Spokane	4444.72	outside_boundary_exact	EWU003060	47.4829,-177.554	not_found_in_US	Cheney waster water treatment site, 0.44 mi Ne of intersection of the Columbia Plateau trail and the Cheney-Spangle Road, ~ 1 mi SE of the intersection of Cheney-Spangle Road and Lt. Col. Micheal P. Anderson Memorial Highway	https://lichenportal.org/portal/collections/individual/index.php?occid=5647803
5643983	EWU	Jack Massie	Washington	Chelan	1281.74	outside_boundary_exact	EWU003010	46.620773,-137.942177	not_found_in_US	NE quarter above Robin Lakes.	https://lichenportal.org/portal/collections/individual/index.php?occid=5643983
5643982	EWU	Jack Massie	Washington	Skagit	1191.15	outside_boundary_exact	EWU003009	47.646802,-138.581585	not_found_in_US	Tatie Peak Area, Paysayten	https://lichenportal.org/portal/collections/individual/index.php?occid=5643982
5643980	EWU	Jack Massie	Washington	King	1081.73	outside_boundary_exact	EWU003006	46.705797,-136.687445	not_found_in_US	Lincoln Park, on Acer spp. on lawn.	https://lichenportal.org/portal/collections/individual/index.php?occid=5643980
5643979	EWU	Jack Massie	Washington	King	464.73	outside_boundary_exact	EWU003007	48.157081,-128.594757	not_found_in_US	Tributary of Cougar Creek in Section 11	https://lichenportal.org/portal/collections/individual/index.php?occid=5643979
5071964	EWU	Jason Hollinger	Washington	Spokane	279.42	outside_boundary_exact	EWU002312	48.62,-121.36	Washington, Skagit County	Hwy 20 near Marblemount	https://lichenportal.org/portal/collections/individual/index.php?occid=5071964
