institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
FLAS	Dana Griffin, III, Frankie Snow	Georgia	Clay	185.86	outside_boundary_exact	Alabama, Clay County	33.363862,-85.762101	FLAS L11853	seventy-five yards N, downstream, of falls on Rocky Creek	https://lichenportal.org/portal/collections/individual/index.php?occid=1384209
FLAS	Dana Griffin, III	Georgia	Coffee	33.1	outside_boundary_exact	Georgia, Clinch County	31.068056,-82.846667	FLAS L11857	north end of Arch Cave Outcrop	https://lichenportal.org/portal/collections/individual/index.php?occid=1383680
FLAS	Richard C. Harris	Georgia	Coffee	6.85	outside_boundary_exact	Georgia, Jeff Davis County	31.733333,-82.75	FLAS L6016	Broxton Rocks Ecological Preserve, 9 mi NE of Broxton, 3 mi S of Ocmulgee River, near Rocky Falls	https://lichenportal.org/portal/collections/individual/index.php?occid=1322470
FLAS	Richard C. Harris	Georgia	Coffee	6.85	outside_boundary_exact	Georgia, Jeff Davis County	31.733333,-82.75	FLAS L3025	Broxton Rocks Ecological Preserve, 9 mi NE of Broxton, 3 mi S of Ocmulgee River	https://lichenportal.org/portal/collections/individual/index.php?occid=1357816
FLAS	Richard C. Harris	Georgia	Coffee	6.85	outside_boundary_exact	Georgia, Jeff Davis County	31.733333,-82.75	FLAS L4717	Broxton Rocks Ecological Preserve, 9 mi NE of Broxton, 3 mi S of Ocmulgee River	https://lichenportal.org/portal/collections/individual/index.php?occid=1360090
FLAS	RIchard C. Harris	Georgia	Coffee	6.85	outside_boundary_exact	Georgia, Jeff Davis County	31.733333,-82.75	FLAS L5080	Broxton Rocks Ecological Preserve, 9 mi NE of Broxton, 3 mi S of Ocmulgee River	https://lichenportal.org/portal/collections/individual/index.php?occid=1384347
FLAS	Dana Griffin, III	Georgia	Coffee	6.83	outside_boundary_exact	Georgia, Jeff Davis County	31.733333,-82.733333	FLAS L5569	Ricketson Tract, ca. 12 mi. NE of Broxton	https://lichenportal.org/portal/collections/individual/index.php?occid=1322457
FLAS	Dana Griffin, III et al	Georgia	Coffee	6.83	outside_boundary_exact	Georgia, Jeff Davis County	31.733333,-82.733333	FLAS L5577	Broxton Rocks Ecological Preserve: Ricketson Tract, ca. 12 mi. NE of Broxton	https://lichenportal.org/portal/collections/individual/index.php?occid=1380914
FLAS	Dana Griffin, III	Georgia	Coffee	6.83	outside_boundary_exact	Georgia, Jeff Davis County	31.733333,-82.733333	FLAS L5592	Ricketson Tract, ca. 12 mi. NE of Broxton	https://lichenportal.org/portal/collections/individual/index.php?occid=1380983
FLAS	Richard C. Harris	Georgia	Coffee	6.83	outside_boundary_exact	Georgia, Jeff Davis County	31.733333,-82.733333	FLAS L4974	Broxton Rocks Ecological Preserve, Ricketson tract, ca. 10 mi NE of Broxton, ca. 3 mi S of Ocmulgee River	https://lichenportal.org/portal/collections/individual/index.php?occid=1381084
FLAS	Dana Griffin, III	Georgia	Coffee	6.83	outside_boundary_exact	Georgia, Jeff Davis County	31.733333,-82.733333	FLAS L5581	Broxton Rocks Preserve, Ricketson Tract, ca. 12 mi. NE of Broxton	https://lichenportal.org/portal/collections/individual/index.php?occid=1383803
FLAS	Dana Griffin, III	Georgia	Coffee	6.83	outside_boundary_exact	Georgia, Jeff Davis County	31.733333,-82.733333	FLAS L5600	Broxton Rocks Ecological Preserve, Ricketson Tract, ca. 12 mi. NE of Broxton	https://lichenportal.org/portal/collections/individual/index.php?occid=1383812
FLAS	Dana Griffin, III	Georgia	Coffee	6.83	outside_boundary_exact	Georgia, Jeff Davis County	31.733333,-82.733333	FLAS L3509	Broxton Rocks Ecological Preserve, Ricketson Tract, ca. 12 mi. NE of Broxton	https://lichenportal.org/portal/collections/individual/index.php?occid=1737785
FLAS	Dana Griffin, III	Georgia	Coffee	6.83	outside_boundary_exact	Georgia, Jeff Davis County	31.733333,-82.733333	FLAS L5575	Broxton Rocks Ecological Preserve: Ricketson Tract, ca. 12 mi. NE of Broxton	https://lichenportal.org/portal/collections/individual/index.php?occid=1738474
FLAS	Dana Griffin, III	Georgia	Coffee	6.83	outside_boundary_exact	Georgia, Jeff Davis County	31.733333,-82.733333	FLAS L5578	Broxton Rocks Ecological Preserve, Ricketson Tract, ca. 12 mi. NE of Broxton	https://lichenportal.org/portal/collections/individual/index.php?occid=1738476
FLAS	Dana Griffin, III et al.	Georgia	Coffee	6.83	outside_boundary_exact	Georgia, Jeff Davis County	31.733333,-82.733333	FLAS L5579	BROXTON ROCKS ECOLOGICAL PRESERVE: Ricketson Tract, ca. 12 mi. NE of Broxton,	https://lichenportal.org/portal/collections/individual/index.php?occid=1738477
FLAS	Dana Griffin, III	Georgia	Coffee	6.83	outside_boundary_exact	Georgia, Jeff Davis County	31.733333,-82.733333	FLAS L5607	Broxton Rocks Ecological Preserve, Ricketson Tract, ca. 12 mi. NE of Broxton	https://lichenportal.org/portal/collections/individual/index.php?occid=1738489
FLAS	Dana Griffin, et al.	Georgia	Coffee	6.83	outside_boundary_exact	Georgia, Jeff Davis County	31.733333,-82.733333	FLAS L5610	Ricketson Tract, ca. 12 mi. NE of Broxton	https://lichenportal.org/portal/collections/individual/index.php?occid=1738490
