occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
3790191	FLAS	Rick Demmer	Tennessee	Cocke	700.98	outside_boundary_exact	FLAS L13477	30,-86.416667	not_found_in_US	Newport, 1525 DePaul Rd.	https://lichenportal.org/portal/collections/individual/index.php?occid=3790191
3790192	FLAS	Rick Demmer	Tennessee	Cocke	700.98	outside_boundary_exact	FLAS L13478	30,-86.416667	not_found_in_US	Newport, 1525 DePaul Rd.	https://lichenportal.org/portal/collections/individual/index.php?occid=3790192
3790193	FLAS	Rick Demmer	Tennessee	Cocke	700.98	outside_boundary_exact	FLAS L13479	30,-86.416667	not_found_in_US	Newport, 1525 DePaul Rd.	https://lichenportal.org/portal/collections/individual/index.php?occid=3790193
3790194	FLAS	Rick Demmer	Tennessee	Cocke	700.98	outside_boundary_exact	FLAS L13480	30,-86.416667	not_found_in_US	Newport, 1525 DePaul Rd.	https://lichenportal.org/portal/collections/individual/index.php?occid=3790194
3790195	FLAS	Rick Demmer	Tennessee	Cocke	700.98	outside_boundary_exact	FLAS L13481	30,-86.416667	not_found_in_US	Newport, 1525 DePaul Rd.	https://lichenportal.org/portal/collections/individual/index.php?occid=3790195
3790196	FLAS	Rick Demmer	Tennessee	Cocke	700.98	outside_boundary_exact	FLAS L13482	30,-86.416667	not_found_in_US	Newport, 1525 DePaul Rd.	https://lichenportal.org/portal/collections/individual/index.php?occid=3790196
3790197	FLAS	Rick Demmer	Tennessee	Cocke	700.98	outside_boundary_exact	FLAS L13483	30,-86.416667	not_found_in_US	Newport, 1525 DePaul Rd.	https://lichenportal.org/portal/collections/individual/index.php?occid=3790197
3790198	FLAS	Rick Demmer	Tennessee	Cocke	700.98	outside_boundary_exact	FLAS L13484	30,-86.416667	not_found_in_US	Newport, 1525 DePaul Rd.	https://lichenportal.org/portal/collections/individual/index.php?occid=3790198
3790199	FLAS	Rick Demmer	Tennessee	Cocke	700.98	outside_boundary_exact	FLAS L13485	30,-86.416667	not_found_in_US	Newport, 1525 DePaul Rd.	https://lichenportal.org/portal/collections/individual/index.php?occid=3790199
3790200	FLAS	Rick Demmer	Tennessee	Cocke	700.98	outside_boundary_exact	FLAS L13486	30,-86.416667	not_found_in_US	Newport, 1525 DePaul Rd.	https://lichenportal.org/portal/collections/individual/index.php?occid=3790200
3790201	FLAS	Rick Demmer	Tennessee	Cocke	700.98	outside_boundary_exact	FLAS L13487	30,-86.416667	not_found_in_US	Newport, 1525 DePaul Rd.	https://lichenportal.org/portal/collections/individual/index.php?occid=3790201
3790202	FLAS	Rick Demmer	Tennessee	Cocke	700.98	outside_boundary_exact	FLAS L13488	30,-86.416667	not_found_in_US	Newport, 1525 DePaul Rd.	https://lichenportal.org/portal/collections/individual/index.php?occid=3790202
2928566	FLAS	Dana Griffin, III	Tennessee	Rhea	16.09	outside_boundary_exact	FLAS L12892	35.94424,-84.681607	Tennessee, Morgan County	Cumberland plateau escarpment	https://lichenportal.org/portal/collections/individual/index.php?occid=2928566
1360078	FLAS	D. Griffin, III	Tennessee	Mcminn	9.8	outside_boundary_exact	FLAS L314	35.619976,-84.785271	Tennessee, Meigs County	just west of Watts Bar Dam	https://lichenportal.org/portal/collections/individual/index.php?occid=1360078
