institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
FLAS	Rick Demmer	Tennessee	Cocke	700.98	outside_boundary_exact	not_found_in_US	30,-86.416667	FLAS L13477	Newport, 1525 DePaul Rd.	https://lichenportal.org/portal/collections/individual/index.php?occid=3790191
FLAS	Rick Demmer	Tennessee	Cocke	700.98	outside_boundary_exact	not_found_in_US	30,-86.416667	FLAS L13478	Newport, 1525 DePaul Rd.	https://lichenportal.org/portal/collections/individual/index.php?occid=3790192
FLAS	Rick Demmer	Tennessee	Cocke	700.98	outside_boundary_exact	not_found_in_US	30,-86.416667	FLAS L13479	Newport, 1525 DePaul Rd.	https://lichenportal.org/portal/collections/individual/index.php?occid=3790193
FLAS	Rick Demmer	Tennessee	Cocke	700.98	outside_boundary_exact	not_found_in_US	30,-86.416667	FLAS L13480	Newport, 1525 DePaul Rd.	https://lichenportal.org/portal/collections/individual/index.php?occid=3790194
FLAS	Rick Demmer	Tennessee	Cocke	700.98	outside_boundary_exact	not_found_in_US	30,-86.416667	FLAS L13481	Newport, 1525 DePaul Rd.	https://lichenportal.org/portal/collections/individual/index.php?occid=3790195
FLAS	Rick Demmer	Tennessee	Cocke	700.98	outside_boundary_exact	not_found_in_US	30,-86.416667	FLAS L13482	Newport, 1525 DePaul Rd.	https://lichenportal.org/portal/collections/individual/index.php?occid=3790196
FLAS	Rick Demmer	Tennessee	Cocke	700.98	outside_boundary_exact	not_found_in_US	30,-86.416667	FLAS L13483	Newport, 1525 DePaul Rd.	https://lichenportal.org/portal/collections/individual/index.php?occid=3790197
FLAS	Rick Demmer	Tennessee	Cocke	700.98	outside_boundary_exact	not_found_in_US	30,-86.416667	FLAS L13484	Newport, 1525 DePaul Rd.	https://lichenportal.org/portal/collections/individual/index.php?occid=3790198
FLAS	Rick Demmer	Tennessee	Cocke	700.98	outside_boundary_exact	not_found_in_US	30,-86.416667	FLAS L13485	Newport, 1525 DePaul Rd.	https://lichenportal.org/portal/collections/individual/index.php?occid=3790199
FLAS	Rick Demmer	Tennessee	Cocke	700.98	outside_boundary_exact	not_found_in_US	30,-86.416667	FLAS L13486	Newport, 1525 DePaul Rd.	https://lichenportal.org/portal/collections/individual/index.php?occid=3790200
FLAS	Rick Demmer	Tennessee	Cocke	700.98	outside_boundary_exact	not_found_in_US	30,-86.416667	FLAS L13487	Newport, 1525 DePaul Rd.	https://lichenportal.org/portal/collections/individual/index.php?occid=3790201
FLAS	Rick Demmer	Tennessee	Cocke	700.98	outside_boundary_exact	not_found_in_US	30,-86.416667	FLAS L13488	Newport, 1525 DePaul Rd.	https://lichenportal.org/portal/collections/individual/index.php?occid=3790202
FLAS	Dana Griffin, III	Tennessee	Rhea	16.09	outside_boundary_exact	Tennessee, Morgan County	35.94424,-84.681607	FLAS L12892	Cumberland plateau escarpment	https://lichenportal.org/portal/collections/individual/index.php?occid=2928566
FLAS	D. Griffin, III	Tennessee	Mcminn	9.8	outside_boundary_exact	Tennessee, Meigs County	35.619976,-84.785271	FLAS L314	just west of Watts Bar Dam	https://lichenportal.org/portal/collections/individual/index.php?occid=1360078
FLAS	Dana G. Griffin, III	Tennessee	Mcminn	9.8	outside_boundary_exact	Tennessee, Meigs County	35.619976,-84.785271	FLAS L1395	just west of Watts Bar Dam	https://lichenportal.org/portal/collections/individual/index.php?occid=1381543
FLAS	Dana Griffin, III	Tennessee	Mcminn	9.8	outside_boundary_exact	Tennessee, Meigs County	35.619976,-84.785271	FLAS L356	just west of Watts Bar Dam	https://lichenportal.org/portal/collections/individual/index.php?occid=1381833
FLAS	D. Griffin, III	Tennessee	Mcminn	9.8	outside_boundary_exact	Tennessee, Meigs County	35.619976,-84.785271	FLAS L2490	just west of Watts Bar Dam	https://lichenportal.org/portal/collections/individual/index.php?occid=1737516
FLAS	Gary H. Morton	Tennessee	Knox	0.52	outside_boundary_exact	Tennessee, Knox County	36.01519,-83.663848	FLAS L1585	U. T. woodlot off of Cherokee Drive, Knoxville. Valley bottom along the roadcuts	https://lichenportal.org/portal/collections/individual/index.php?occid=1361331
FLAS	Gary H. Morton	Tennessee	Knox	0.51	outside_boundary_exact	Tennessee, Knox County	36.014543,-83.663888	FLAS L1586	U.T. woodlot off of Cherokee Drive. Bank along road in valley and area under power lines going up the hill	https://lichenportal.org/portal/collections/individual/index.php?occid=1361332
FLAS	Gary H. Morton	Tennessee	Knox	0.51	outside_boundary_exact	Tennessee, Knox County	36.014543,-83.663888	FLAS L1688	U.T. woodlot off of Cherokee Drive. Bank along road in valley and area under power lines going up the hill.	https://lichenportal.org/portal/collections/individual/index.php?occid=1737292
FLAS	Gary H. Morton	Tennessee	Knox	0.51	outside_boundary_exact	Tennessee, Knox County	36.014543,-83.663888	FLAS L1689	U.T. woodlot off of Cherokee Drive, bank along road in valley and area under power lines going up the hill	https://lichenportal.org/portal/collections/individual/index.php?occid=1737293
FLAS	Gary H. Morton	Tennessee	Knox	0.51	outside_boundary_exact	Tennessee, Knox County	36.014543,-83.663888	FLAS L1691	U.T. woodlot off of Cherokee Drive. Bank along road in valley and area under power lines going up the hill.	https://lichenportal.org/portal/collections/individual/index.php?occid=2408257
FLAS	Gary H. Morton	Tennessee	Campbell	0.03	outside_boundary_exact	Tennessee, Anderson County	36.233412,-84.121033	FLAS L1690	along Route 441 about 2 mi. n.w. of Norris Dam, around Burris cemetery	https://lichenportal.org/portal/collections/individual/index.php?occid=1737295
FLAS	Dana Griffin, III	Tennessee	Sevier	0.01	outside_boundary_exact	Tennessee, Sevier County	35.610928,-83.438493	FLAS L1577	Great Smoky Mts. Nat'l. Park, Indian Gap	https://lichenportal.org/portal/collections/individual/index.php?occid=1737257
FLAS	Dana Griffin, III	Tennessee	Sevier	0.01	outside_boundary_exact	Tennessee, Sevier County	35.610928,-83.438493	FLAS L1658	Great Smoky Mts. Natl. Park, Indian Gap	https://lichenportal.org/portal/collections/individual/index.php?occid=1737272
FLAS	Dana Griffin, III	Tennessee	Sevier	0.01	outside_boundary_exact	Tennessee, Sevier County	35.610928,-83.438493	FLAS L1718	Great Smoky Mts. Nat'l. Park, Indian Gap	https://lichenportal.org/portal/collections/individual/index.php?occid=1737303
FLAS	Dana Griffin, III	Tennessee	Sevier	0.01	outside_boundary_exact	North Carolina, Swain County	35.576489,-83.480822	FLAS L743	Great Smoky Mts. Nat'l . Park, Collins Gap	https://lichenportal.org/portal/collections/individual/index.php?occid=1739963
FLAS	Dana Griffin, III	Tennessee	Sevier	0.01	outside_boundary_exact	North Carolina, Swain County	35.576489,-83.480822	FLAS L744	Great Smoky Mts. Nat'l. Park. Collins Gap	https://lichenportal.org/portal/collections/individual/index.php?occid=1739974
FLAS	Dana Griffin, III	Tennessee	Sevier	0.01	outside_boundary_exact	North Carolina, Swain County	35.576489,-83.480822	FLAS L745	Great Smoky Mts. Nat'l. Park, Collins Gap	https://lichenportal.org/portal/collections/individual/index.php?occid=1739985
FLAS	[n/a]	Tennessee	Sevier	0	outside_boundary_exact	North Carolina, Swain County	35.575372,-83.481273	FLAS L1709	Collins Gap, Great Smoky Mountain National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1381704
FLAS	Dana Griffin, III	Tennessee	Knox	0	outside_boundary_exact	Tennessee, Knox County	36.061184,-83.691911	FLAS L1430	Mascot Cedar Barrens, 3 mi. east of Mascot	https://lichenportal.org/portal/collections/individual/index.php?occid=1381791
FLAS	Dana G. Griffin, III	Tennessee	Knox	0	outside_boundary_exact	Tennessee, Knox County	36.061184,-83.691911	FLAS L127	Mascot cedar barrens, 3 mi. e. of Mascot	https://lichenportal.org/portal/collections/individual/index.php?occid=1737182
FLAS	Dana Griffin, III	Tennessee	Knox	0	outside_boundary_exact	Tennessee, Knox County	36.061184,-83.691911	FLAS L170	Mascot cedar barrens, 3 mi. e. of Mascot	https://lichenportal.org/portal/collections/individual/index.php?occid=1737298
FLAS	Dana Griffin, III	Tennessee	Knox	0	outside_boundary_exact	Tennessee, Knox County	36.061184,-83.691911	FLAS L852	Mascot Cedar Barrens, approx. 3 m. E. of Mascot	https://lichenportal.org/portal/collections/individual/index.php?occid=1740766
