occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
1508003	ILL	NA	Illinois	Pope	299.05	outside_boundary_exact	ILL00037778	40.255059,-89.043701	Illinois, De Witt County	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=1508003
1508110	ILL	G.S. Winterringer	Illinois	Johnson	33.26	outside_boundary_exact	ILL00037885	37.600238,-88.32821	Illinois, Gallatin County	High knob, 9.5. mi. S of Equality	https://lichenportal.org/portal/collections/individual/index.php?occid=1508110
1509574	ILL	V.H. Chase	Illinois	Pope	14.34	outside_boundary_exact	ILL00039350	37.506078,-88.873413	Illinois, Johnson County	Burden Falls, Shawnee National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1509574
1508418	ILL	G. S. Winterringer	Illinois	Gallatin	0.33	outside_boundary_exact	ILL00038194	37.59619,-88.343376	Illinois, Hardin County	Buzzard's Point; 9.5 mi. S. of Equality	https://lichenportal.org/portal/collections/individual/index.php?occid=1508418
1509798	ILL	G.S. Winterringer	Illinois	Gallatin	0.33	outside_boundary_exact	ILL00039574	37.59619,-88.343376	Illinois, Hardin County	Near Buzzard's Point	https://lichenportal.org/portal/collections/individual/index.php?occid=1509798
1508684	ILL	H. Willey	Illinois	Johnson	0.02	outside_boundary_exact	ILL00038460	37.317007,-89.044749	Illinois, Johnson County	Cypress Creek	https://lichenportal.org/portal/collections/individual/index.php?occid=1508684
1508295	ILL	H. Willey	Illinois	Algonquin	NA	county_not_matched_no_match	ILL00038070	42.16558,-88.294249	county_not_matched	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=1508295
1508296	ILL	H. Willey	Illinois	Algonquin	NA	county_not_matched_no_match	ILL00038071	42.16558,-88.294249	county_not_matched	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=1508296
1508297	ILL	T.J.B.	Illinois	Edgewood	NA	county_not_matched_no_match	ILL00038072	38.920601,-88.66144	county_not_matched	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=1508297
1508306	ILL	G.P.C.	Illinois	Urbana	NA	county_not_matched_no_match	ILL00038081	40.1,-88.2	county_not_matched	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=1508306
1508308	ILL	W.A. Nason	Illinois	Algonquin	NA	county_not_matched_no_match	ILL00038084	42.16558,-88.294249	county_not_matched	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=1508308
1508367	ILL	M.B. Waite	Illinois	Savanna	NA	county_not_matched_no_match	ILL00038143	42.094467,-90.156794	county_not_matched	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=1508367
1508373	ILL	NA	Illinois	Mahomet	NA	county_not_matched_no_match	ILL00038149	40.195311,-88.404223	county_not_matched	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=1508373
1508475	ILL	G.P.C.	Illinois	Urbana	NA	county_not_matched_no_match	ILL00038251	40.12017,-88.210233	county_not_matched	crystal lake	https://lichenportal.org/portal/collections/individual/index.php?occid=1508475
1508750	ILL	NA	Illinois	Cobden	NA	county_not_matched_no_match	ILL00038526	37.531439,-89.253418	county_not_matched	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=1508750
1508945	ILL	M.B. ?	Illinois	Urbana	NA	county_not_matched_no_match	ILL00038721	40.1,-88.2	county_not_matched	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=1508945
1508961	ILL	?	Illinois	Urbana	NA	county_not_matched_no_match	ILL00038737	40.1,-88.2	county_not_matched	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=1508961
1509092	ILL	G.P.C.	Illinois	Urbana	NA	county_not_matched_no_match	ILL00038868	40.1,-88.2	county_not_matched	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=1509092
