occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
2718363	ILLS	J.L. Crane & Payam M. Fallah	California	San Diego County,	478.87	outside_boundary_multi_county_1_of_2	ILLS00008680	37.77773,-117.09017	Nevada, Nye County	Cobble Creek Section, San Diego.	https://lichenportal.org/portal/collections/individual/index.php?occid=2718363
2718364	ILLS	J.L. Crane & Payam M. Fallah	California	San Diego County,	478.87	outside_boundary_multi_county_1_of_2	ILLS00095883	37.77773,-117.09017	Nevada, Nye County	Cobble Creek Section, San Diego.	https://lichenportal.org/portal/collections/individual/index.php?occid=2718364
2705472	ILLS	Marilyn Morris	California	Monterey	150.96	outside_boundary_exact	ILLS00091984	34.682525,-119.257637	California, Ventura County	Los Padres National Forest, Henderson-Nacimento Road.	https://lichenportal.org/portal/collections/individual/index.php?occid=2705472
2705471	ILLS	Marilyn Morris	California	Monterey	134.36	outside_boundary_exact	ILLS00097629	34.67349,-119.664131	California, Santa Barbara County	Los Padres National Forest, Mixed upland forest, Henderson-Nacimento Road.	https://lichenportal.org/portal/collections/individual/index.php?occid=2705471
2715237	ILLS	John Wilcut	California	Tulare County	131.91	outside_boundary_exact	ILLS00101311	37.9,-119.25	California, Tuolumne County	Near Tioga Pass, Yosemite National Park.	https://lichenportal.org/portal/collections/individual/index.php?occid=2715237
2934926	ILLS	W.J. Sundberg	California	Sonoma	17.32	outside_boundary_exact	ILLS00101714	38.25297,-122.162192	California, Solano County	Green Valley.	https://lichenportal.org/portal/collections/individual/index.php?occid=2934926
2705465	ILLS	Marilyn Morris	California	Tuolumne	2.85	outside_boundary_exact	ILLS00092003	37.85,-119.5667	California, Mariposa County	Yosemite National Park.	https://lichenportal.org/portal/collections/individual/index.php?occid=2705465
2705466	ILLS	Marilyn Morris	California	Tuolumne	2.85	outside_boundary_exact	ILLS00092004	37.85,-119.5667	California, Mariposa County	Yosemite National Park.	https://lichenportal.org/portal/collections/individual/index.php?occid=2705466
2705467	ILLS	Marilyn Morris	California	Tuolumne	2.85	outside_boundary_exact	ILLS00091987	37.85,-119.5667	California, Mariposa County	Yosemite National Park.	https://lichenportal.org/portal/collections/individual/index.php?occid=2705467
2704936	ILLS	Isabelle Tavares & Joan Seear	California	Sonoma	0.49	outside_boundary_exact	ILLS00100443	38.772717,-123.534592	California, Mendocino County	On Highway 1, 24.4 mile south of Guzlala	https://lichenportal.org/portal/collections/individual/index.php?occid=2704936
2704937	ILLS	Isabelle Tavares & Joan Seear	California	Sonoma	0.49	outside_boundary_exact	ILLS00100468	38.772717,-123.534592	California, Mendocino County	On Highway 1, 24.4 mile south of Guzlala	https://lichenportal.org/portal/collections/individual/index.php?occid=2704937
2703888	ILLS	Ann Dennis	California	Alameda	0.4	outside_boundary_exact	ILLS00098852	37.909386,-122.271193	California, Contra Costa County	Berkeley, 135 Purdue Avenue, 900 foot elevation.	https://lichenportal.org/portal/collections/individual/index.php?occid=2703888
2714788	ILLS	NA	California	Kern	0.2	outside_boundary_exact	ILLS00100151	34.811645,-119.14733	California, Ventura County	Mt. Pinos	https://lichenportal.org/portal/collections/individual/index.php?occid=2714788
2706145	ILLS	J.L. Crane & J.D. Schoknecht	California	Tulane	NA	county_not_matched_no_match	ILLS00006372	34.7,-118.55	county_not_matched	Sequoia National Park at Kings Canyon.	https://lichenportal.org/portal/collections/individual/index.php?occid=2706145
2706169	ILLS	J.L. Crane & J.D. Schoknecht	California	Sequoia N. F.	NA	county_not_matched_no_match	ILLS00090064	36.580778,-118.750932	county_not_matched	Sequoia National Forest, near General Sherman Tree.	https://lichenportal.org/portal/collections/individual/index.php?occid=2706169
2706179	ILLS	J.L. Crane & J.D. Schoknecht	California	Tulane	NA	county_not_matched_no_match	ILLS00091986	34.7,-118.55	county_not_matched	Sequoia National Park at Kings Canyon.	https://lichenportal.org/portal/collections/individual/index.php?occid=2706179
2706180	ILLS	J.L. Crane & J.D. Schoknecht	California	Tulane	NA	county_not_matched_no_match	ILLS00092001	34.7,-118.55	county_not_matched	Sequoia National Park at Kings Canyon.	https://lichenportal.org/portal/collections/individual/index.php?occid=2706180
2710998	ILLS	John Bell	California	Maryposa County	NA	county_not_matched_no_match	ILLS00005829	37.488645,-119.970215	county_not_matched	Elevation 5000 + feet.	https://lichenportal.org/portal/collections/individual/index.php?occid=2710998
2711598	ILLS	A.S. Methven	California	San Fransico County	NA	county_not_matched_no_match	ILLS00008081	37.796898,-122.467817	county_not_matched	Presidio, San Fransico.	https://lichenportal.org/portal/collections/individual/index.php?occid=2711598
2712705	ILLS	J. Bell	California	Maryposa County	NA	county_not_matched_no_match	ILLS00090011	37.581522,-119.905517	county_not_matched	Elevation 5000 feet.	https://lichenportal.org/portal/collections/individual/index.php?occid=2712705
2712855	ILLS	J. Bell	California	Maryposa County	NA	county_not_matched_no_match	ILLS00090860	37.488645,-119.970215	county_not_matched	Elevation 5000 + feet.	https://lichenportal.org/portal/collections/individual/index.php?occid=2712855
