occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
2706721	ILLS	Loy R. Phillippe & William C. Handel	Illinois	Lee	3898.35	outside_boundary_exact	ILLS00095975	41.708608,-41.189269	not_found_in_US	Richardson Wildlife Refuge. North of Shaw Road, 1 mile north and 2.1 mile west of West Brooklyn.	https://lichenportal.org/portal/collections/individual/index.php?occid=2706721
2706723	ILLS	Loy R. Phillippe & William C. Handel	Illinois	Lee	3898.35	outside_boundary_exact	ILLS00096573	41.708608,-41.189269	not_found_in_US	Richardson Wildlife Refuge. North of Shaw Road, 1 mile north and 2.1 mile west of West Brooklyn. Sublette 7.5 quadrangle. T. 20N, R. 11E, SE1/4 NE1/4 NE1/4 Sect. 23. 4619840mN, 317670mE.	https://lichenportal.org/portal/collections/individual/index.php?occid=2706723
2706724	ILLS	Loy R. Phillippe & William C. Handel	Illinois	Lee	3898.35	outside_boundary_exact	ILLS00008025	41.708608,-41.189269	not_found_in_US	Richardson Wildlife Refuge. North of Shaw Road, 1 mile north and 2.1 mile west of West Brooklyn.	https://lichenportal.org/portal/collections/individual/index.php?occid=2706724
2718777	ILLS	J.L. Crane	Illinois	Monroe County,	1616.78	outside_boundary_multi_county_1_of_2	ILLS00100458	25.759396,-80.993368	Florida, Monroe County	Cypress Stand, Route 94 (Loop Road). Big Cypress National Preserve.	https://lichenportal.org/portal/collections/individual/index.php?occid=2718777
5768636	ILLS	J.L. Crane & J.D. Schoknecht	Illinois	Livingston	642.77	outside_boundary_exact	ILLS00151217	40.74589,-80.56036	Ohio, Columbiana County	Along Route 24, Fairbury.	https://lichenportal.org/portal/collections/individual/index.php?occid=5768636
5768637	ILLS	J.L. Crane & J.D. Schoknecht	Illinois	Livingston	642.77	outside_boundary_exact	ILLS00151218	40.74589,-80.56036	Ohio, Columbiana County	Along Route 24, Fairbury.	https://lichenportal.org/portal/collections/individual/index.php?occid=5768637
2716456	ILLS	A.C. Skorepa	Illinois	Randolph County	421.25	outside_boundary_exact	ILLS00005987	41.976012,-89.368198	Illinois, Ogle County	Castle Rock	https://lichenportal.org/portal/collections/individual/index.php?occid=2716456
2716458	ILLS	A.C. Skorepa & R. H. Mohlenbrock	Illinois	Randolph County	421.25	outside_boundary_exact	ILLS00005988	41.976012,-89.368198	Illinois, Ogle County	Castle Rock	https://lichenportal.org/portal/collections/individual/index.php?occid=2716458
2716498	ILLS	A.C. Skorepa	Illinois	Randolph County	421.25	outside_boundary_exact	ILLS00006225	41.976012,-89.368198	Illinois, Ogle County	Castle Rock	https://lichenportal.org/portal/collections/individual/index.php?occid=2716498
2716974	ILLS	A.C. Skorepa & R.H. Mohlembrock	Illinois	Randolph County	421.25	outside_boundary_exact	ILLS00090952	41.976012,-89.368198	Illinois, Ogle County	Castle Rock.	https://lichenportal.org/portal/collections/individual/index.php?occid=2716974
2717009	ILLS	A.C. Skorepa	Illinois	Randolph County	421.25	outside_boundary_exact	ILLS00091112	41.976012,-89.368198	Illinois, Ogle County	Castle Rock.	https://lichenportal.org/portal/collections/individual/index.php?occid=2717009
2717666	ILLS	A.C. Skorepa	Illinois	Randolph County	421.25	outside_boundary_exact	ILLS00096466	41.976012,-89.368198	Illinois, Ogle County	Castle Rock.	https://lichenportal.org/portal/collections/individual/index.php?occid=2717666
2717818	ILLS	A.C. Skorepa	Illinois	Randolph County	421.25	outside_boundary_exact	ILLS00096955	41.976012,-89.368198	Illinois, Ogle County	Castle Rock.	https://lichenportal.org/portal/collections/individual/index.php?occid=2717818
2717607	ILLS	Keith Wilson	Illinois	Jackson County	406.87	outside_boundary_exact	ILLS00094823	41.509477,-90.578748	Illinois, Rock Island County	Swimming Hole Hollow of Rock Island.	https://lichenportal.org/portal/collections/individual/index.php?occid=2717607
2702657	ILLS	R.A. Evers	Illinois	Monroe	331.78	outside_boundary_exact	ILLS00006313	41.320034,-88.986192	Illinois, LaSalle County	Hill Prairie, Eagle Cliff, east of Fountain.	https://lichenportal.org/portal/collections/individual/index.php?occid=2702657
2702731	ILLS	J.O. Neill	Illinois	Randolph	247.91	outside_boundary_exact	ILLS00006676	40.255046,-91.182642	Illinois, Hancock County	West Point.	https://lichenportal.org/portal/collections/individual/index.php?occid=2702731
2702814	ILLS	J.O. Neill	Illinois	Randolph	247.91	outside_boundary_exact	ILLS00007032	40.255046,-91.182642	Illinois, Hancock County	West Point.	https://lichenportal.org/portal/collections/individual/index.php?occid=2702814
2710766	ILLS	W. Whiteside	Illinois	Coles County	245.51	outside_boundary_exact	ILLS00004775	41.877808,-87.90284	Illinois, Cook County	Hillside Marsh.	https://lichenportal.org/portal/collections/individual/index.php?occid=2710766
2710836	ILLS	W.C. Whiteside	Illinois	Coles County	245.51	outside_boundary_exact	ILLS00004982	41.877808,-87.90284	Illinois, Cook County	Hillside marsh.	https://lichenportal.org/portal/collections/individual/index.php?occid=2710836
2711079	ILLS	W.C. Whiteside	Illinois	Coles County	245.51	outside_boundary_exact	ILLS00006040	41.877808,-87.90284	Illinois, Cook County	Hillside Marsh.	https://lichenportal.org/portal/collections/individual/index.php?occid=2711079
