occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
5639994	ISC	J. Pearson	Iowa	Lucas	12516.75	outside_boundary_exact	ISC0874798	41.06964,93.17433	not_found_in_US	Cedar Creek Unit, Stephens State Forest; SE1/4, NE1/4, Sec 05, T72N, R20W	https://lichenportal.org/portal/collections/individual/index.php?occid=5639994
5639987	ISC	J. Pearson	Iowa	Clarke	12482.01	outside_boundary_exact	ISC0874792	40.95705,93.5984	not_found_in_US	Woodburn unit, Stephens State Forest; NW1/4, NW1/4, Sec14, T71N, R24W	https://lichenportal.org/portal/collections/individual/index.php?occid=5639987
5639986	ISC	J. Pearson	Iowa	Marion	12471.11	outside_boundary_exact	ISC0874790	41.42065,93.08595	not_found_in_US	Cordova County Park; NE1/4, NE1/4, Sec 6, T76N, R19W	https://lichenportal.org/portal/collections/individual/index.php?occid=5639986
5639990	ISC	J. Pearson	Iowa	Marion	12471.11	outside_boundary_exact	ISC0874791	41.42065,93.08595	not_found_in_US	Cordova County Park; NE1/4, NE1/4, Sec 6, T76N, R19W	https://lichenportal.org/portal/collections/individual/index.php?occid=5639990
5639989	ISC	J. Pearson	Iowa	Warren	12440.07	outside_boundary_exact	ISC0874796	41.24574,93.53179	not_found_in_US	Otter Creek County Park; NE1/4, NW1/4, Sec 05, T74N, R23W	https://lichenportal.org/portal/collections/individual/index.php?occid=5639989
5639988	ISC	J. Pearson	Iowa	Warren	12432.93	outside_boundary_exact	ISC0874793	41.29481,93.58665	not_found_in_US	Lake Ahquabi State Park; SW1/4, SE1/4, Sec 14, T75N, R24W	https://lichenportal.org/portal/collections/individual/index.php?occid=5639988
5639985	ISC	J. Pearson	Iowa	Fayette	12327.62	outside_boundary_exact	ISC0874789	42.880003,91.78796	not_found_in_US	Volga River Recreation Area; NE 1/4 SE1/4, Sec. 9, T93N, R08W.	https://lichenportal.org/portal/collections/individual/index.php?occid=5639985
5640005	ISC	J. Pearson	Iowa	Fayette	12325.51	outside_boundary_exact	ISC0874799	42.98256,91.64304	not_found_in_US	Clermont Sand Prairie; NW1/4, SW1/4, Sec 02, T94N, R07W	https://lichenportal.org/portal/collections/individual/index.php?occid=5640005
5639998	ISC	M.K. Advaita	Iowa	Plymouth	11948.77	outside_boundary_exact	ISC0874805	42.6766,95.5445	not_found_in_US	Five Ridge Prairie State Preserve, top of Ridge 5	https://lichenportal.org/portal/collections/individual/index.php?occid=5639998
4833203	ISC	Colbert Class	Iowa	Dickinson	4189.9	outside_boundary_exact	874481	4.345582,-94.593626	not_found_in_US	Lakeside Laboratory	https://lichenportal.org/portal/collections/individual/index.php?occid=4833203
3439643	ISC	John Pearson	Iowa	Monona	248.41	outside_boundary_exact	874352	41.12249,-92.8466	Iowa, Monroe County	Lake Miami County Park	https://lichenportal.org/portal/collections/individual/index.php?occid=3439643
1118303	ISC	Colbert Class	Iowa	Harrison	211.34	outside_boundary_exact	870053	42.399233,-93.089054	Iowa, Hardin County	Fallen Rock State Preserve	https://lichenportal.org/portal/collections/individual/index.php?occid=1118303
3434685	ISC	MK Advaita	Iowa	Cass	103.5	outside_boundary_exact	453188	42.42955,-94.76681	Iowa, Calhoun County	Lake Anita State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=3434685
3512719	ISC	John Pearson	Iowa	Calhoun	103.18	outside_boundary_exact	874441`	41.31036,-95.13493	Iowa, Cass County	Iranistan Wildlife Area; 41.31036 -95.13493	https://lichenportal.org/portal/collections/individual/index.php?occid=3512719
4833168	ISC	Colbert Class	Iowa	Dickinson	74.04	outside_boundary_exact	874500	43.355063,-96.305463	Iowa, Lyon County	Lakeside Laboratory	https://lichenportal.org/portal/collections/individual/index.php?occid=4833168
4833172	ISC	Colbert Class	Iowa	Dickinson	74.04	outside_boundary_exact	874495	43.355063,-96.305463	Iowa, Lyon County	Lakeside Laboratory	https://lichenportal.org/portal/collections/individual/index.php?occid=4833172
4833171	ISC	Colbert Class	Iowa	Dickinson	73.87	outside_boundary_exact	874496	43.350308,-96.303341	Iowa, Lyon County	Lakeside Laboratory	https://lichenportal.org/portal/collections/individual/index.php?occid=4833171
4374656	ISC	JT Colbert	Iowa	Kossuth	42.75	outside_boundary_exact	455395	42.962067,-94.969871	Iowa, Clay County	East Fork Des Moines River	https://lichenportal.org/portal/collections/individual/index.php?occid=4374656
