institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
KANU	Theodore L Esslinger	Texas	Bexar	66.31	outside_boundary_exact	Texas, Blanco County	30.3316667,-98.2516667	381615	Johnson City: E	https://lichenportal.org/portal/collections/individual/index.php?occid=1328520
KANU	Theodore L Esslinger	Texas	Bexar	66.31	outside_boundary_exact	Texas, Blanco County	30.3316667,-98.2516667	381614	Johnson City: E	https://lichenportal.org/portal/collections/individual/index.php?occid=1331994
KANU	Leslie Hubricht	Texas	Bexar	40.45	outside_boundary_exact	Texas, Hays County	30.037142,-98.118994	4321	San Marcos: 15 mi NW	https://lichenportal.org/portal/collections/individual/index.php?occid=1764155
KANU	Theodore L Esslinger	Texas	Medina	2.79	outside_boundary_exact	Texas, Uvalde County	29.330415,-99.441101	381598	San Antonio: ca 96 km W	https://lichenportal.org/portal/collections/individual/index.php?occid=1328594
KANU	Leslie Hubricht	Texas	Bexar	1.41	outside_boundary_exact	Texas, Wilson County	29.2903,-98.242531	1387	18 mi E of San Antonio; 1.5 mi SE of the jct of Jolly Ln and Adkins Elmendorf Ln	https://lichenportal.org/portal/collections/individual/index.php?occid=1756650
KANU	Leslie Hubricht	Texas	Bexar	1.41	outside_boundary_exact	Texas, Wilson County	29.2903,-98.242531	3525	18 mi E of San Antonio; 1.5 mi SE of the jct of Jolly Ln and Adkins Elmendorf Ln	https://lichenportal.org/portal/collections/individual/index.php?occid=1758889
KANU	Leslie Hubricht	Texas	Bexar	1.41	outside_boundary_exact	Texas, Wilson County	29.2903,-98.242531	3528	18 mi E of San Antonio; 1.5 mi SE of the jct of Jolly Ln and Adkins Elmendorf Ln	https://lichenportal.org/portal/collections/individual/index.php?occid=1758892
KANU	Leslie Hubricht	Texas	Bexar	1.41	outside_boundary_exact	Texas, Wilson County	29.2903,-98.242531	3564	18 mi E of San Antonio; 1.5 mi SE of the jct of Jolly Ln and Adkins Elmendorf Ln	https://lichenportal.org/portal/collections/individual/index.php?occid=1758928
KANU	Leslie Hubricht	Texas	Bexar	1.41	outside_boundary_exact	Texas, Wilson County	29.2903,-98.242531	3582	18 mi E of San Antonio; 1.5 mi SE of the jct of Jolly Ln and Adkins Elmendorf Ln	https://lichenportal.org/portal/collections/individual/index.php?occid=1758945
KANU	Theodore L Esslinger	Texas	Blanco	0.39	outside_boundary_exact	Texas, Hays County	30.272546,-98.201804	381596	Entrance to Pedernales Falls State Park: 5.6 km E along Blanco Co Rd #201	https://lichenportal.org/portal/collections/individual/index.php?occid=1337490
KANU	Robert S Egan	Texas	Marion	0.27	outside_boundary_exact	Texas, Upshur County	32.8416667,-94.7	377183	Gilmer: 16 mi NE	https://lichenportal.org/portal/collections/individual/index.php?occid=1327191
KANU	Robert S Egan	Texas	Marion	0.27	outside_boundary_exact	Texas, Upshur County	32.8416667,-94.7	377184	Gilmer: 16 mi NE	https://lichenportal.org/portal/collections/individual/index.php?occid=1327354
KANU	Leslie Hubricht	Texas	Bexar	0.26	outside_boundary_exact	Texas, Wilson County	29.293183,-98.254715	414086	1.5 mi SE of jct of Jolly Ln and Atkins Elmendorf Ln	https://lichenportal.org/portal/collections/individual/index.php?occid=5410442
KANU	Leslie Hubricht	Texas	Bexar	0.26	outside_boundary_exact	Texas, Wilson County	29.293183,-98.254715	414087	1.5 mi SE of jct of Jolly Ln and Atkins Elmendorf Ln	https://lichenportal.org/portal/collections/individual/index.php?occid=5410443
KANU	Leslie Hubricht	Texas	Bexar	0.26	outside_boundary_exact	Texas, Wilson County	29.293183,-98.254715	414088	1.5 mi SE of jct of Jolly Ln and Atkins Elmendorf Ln	https://lichenportal.org/portal/collections/individual/index.php?occid=5410444
KANU	Taylor S Quedensley	Texas	Holt	NA	county_not_matched_no_match	county_not_matched	31.5433333,-95.2375	389834	Mission Tejas State Park: off of Hwy 21	https://lichenportal.org/portal/collections/individual/index.php?occid=4816926
KANU	Taylor S Quedensley	Texas	Holt	NA	county_not_matched_no_match	county_not_matched	31.5433333,-95.2375	389835	Mission Tejas State Park: off of Hwy 21	https://lichenportal.org/portal/collections/individual/index.php?occid=4816927
