occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
4775341	KE	Tomás Curtis	Ohio	Clinton County	535.56	outside_boundary_exact	6454	40.9866,-77.5186	Pennsylvania, Clinton County	State Game Lands Number 295, just E of Narrows Rd	https://lichenportal.org/portal/collections/individual/index.php?occid=4775341
4775104	KE	Tomás Curtis	Ohio	Warren County	462.87	outside_boundary_exact	6217	41.7066,-79.2523	Pennsylvania, Warren County	Allegheny National Forest, near Hearts Content Recreation Site	https://lichenportal.org/portal/collections/individual/index.php?occid=4775104
4775003	KE	Tomás Curtis	Ohio	Fayette County	319.29	outside_boundary_exact	6115	39.8725,-79.4977	Pennsylvania, Fayette County	Ferncliff Natural Area	https://lichenportal.org/portal/collections/individual/index.php?occid=4775003
4775037	KE	Tomás Curtis	Ohio	Fayette County	312.31	outside_boundary_exact	6150	39.9372,-79.5849	Pennsylvania, Fayette County	State Game Lands 51	https://lichenportal.org/portal/collections/individual/index.php?occid=4775037
4775393	KE	Tomás Curtis	Ohio	Hocking County	209.84	outside_boundary_exact	6507	41.535,-82.4471	not_found_in_US	Logan, Fox Property	https://lichenportal.org/portal/collections/individual/index.php?occid=4775393
4898044	KE	Tomás Curtis	Ohio	Adams County	165.11	outside_boundary_exact	6614	38.9536,-81.3464	West Virginia, Wirt County	Shoemaker State Nature Preserve	https://lichenportal.org/portal/collections/individual/index.php?occid=4898044
4898046	KE	Tomás Curtis	Ohio	Adams County	165.11	outside_boundary_exact	6616	38.9536,-81.3464	West Virginia, Wirt County	Shoemaker State Nature Preserve	https://lichenportal.org/portal/collections/individual/index.php?occid=4898046
4898042	KE	Tomás Curtis	Ohio	Adams County	165.11	outside_boundary_exact	6612	38.9536,-81.3464	West Virginia, Wirt County	Shoemaker State Nature Preserve	https://lichenportal.org/portal/collections/individual/index.php?occid=4898042
4898043	KE	Tomás Curtis	Ohio	Adams County	165.11	outside_boundary_exact	6613	38.9536,-81.3464	West Virginia, Wirt County	Shoemaker State Nature Preserve	https://lichenportal.org/portal/collections/individual/index.php?occid=4898043
4898048	KE	Tomás Curtis	Ohio	Adams County	165.11	outside_boundary_exact	6618	38.9536,-81.3464	West Virginia, Wirt County	Shoemaker State Nature Preserve	https://lichenportal.org/portal/collections/individual/index.php?occid=4898048
4898047	KE	Tomás Curtis	Ohio	Adams County	165.11	outside_boundary_exact	6617	38.9536,-81.3464	West Virginia, Wirt County	Shoemaker State Nature Preserve	https://lichenportal.org/portal/collections/individual/index.php?occid=4898047
4898045	KE	Tomás Curtis	Ohio	Adams County	165.11	outside_boundary_exact	6615	38.9536,-81.3464	West Virginia, Wirt County	Shoemaker State Nature Preserve	https://lichenportal.org/portal/collections/individual/index.php?occid=4898045
