institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
KE	Tomás Curtis	Ohio	Clinton County	535.56	outside_boundary_exact	Pennsylvania, Clinton County	40.9866,-77.5186	6454	State Game Lands Number 295, just E of Narrows Rd	https://lichenportal.org/portal/collections/individual/index.php?occid=4775341
KE	Tomás Curtis	Ohio	Warren County	462.87	outside_boundary_exact	Pennsylvania, Warren County	41.7066,-79.2523	6217	Allegheny National Forest, near Hearts Content Recreation Site	https://lichenportal.org/portal/collections/individual/index.php?occid=4775104
KE	Tomás Curtis	Ohio	Fayette County	319.29	outside_boundary_exact	Pennsylvania, Fayette County	39.8725,-79.4977	6115	Ferncliff Natural Area	https://lichenportal.org/portal/collections/individual/index.php?occid=4775003
KE	Tomás Curtis	Ohio	Fayette County	312.31	outside_boundary_exact	Pennsylvania, Fayette County	39.9372,-79.5849	6150	State Game Lands 51	https://lichenportal.org/portal/collections/individual/index.php?occid=4775037
KE	Tomás Curtis	Ohio	Hocking County	209.84	outside_boundary_exact	not_found_in_US	41.535,-82.4471	6507	Logan, Fox Property	https://lichenportal.org/portal/collections/individual/index.php?occid=4775393
KE	Tomás Curtis	Ohio	Adams County	165.11	outside_boundary_exact	West Virginia, Wirt County	38.9536,-81.3464	6614	Shoemaker State Nature Preserve	https://lichenportal.org/portal/collections/individual/index.php?occid=4898044
KE	Tomás Curtis	Ohio	Adams County	165.11	outside_boundary_exact	West Virginia, Wirt County	38.9536,-81.3464	6616	Shoemaker State Nature Preserve	https://lichenportal.org/portal/collections/individual/index.php?occid=4898046
KE	Tomás Curtis	Ohio	Adams County	165.11	outside_boundary_exact	West Virginia, Wirt County	38.9536,-81.3464	6612	Shoemaker State Nature Preserve	https://lichenportal.org/portal/collections/individual/index.php?occid=4898042
KE	Tomás Curtis	Ohio	Adams County	165.11	outside_boundary_exact	West Virginia, Wirt County	38.9536,-81.3464	6613	Shoemaker State Nature Preserve	https://lichenportal.org/portal/collections/individual/index.php?occid=4898043
KE	Tomás Curtis	Ohio	Adams County	165.11	outside_boundary_exact	West Virginia, Wirt County	38.9536,-81.3464	6618	Shoemaker State Nature Preserve	https://lichenportal.org/portal/collections/individual/index.php?occid=4898048
KE	Tomás Curtis	Ohio	Adams County	165.11	outside_boundary_exact	West Virginia, Wirt County	38.9536,-81.3464	6617	Shoemaker State Nature Preserve	https://lichenportal.org/portal/collections/individual/index.php?occid=4898047
KE	Tomás Curtis	Ohio	Adams County	165.11	outside_boundary_exact	West Virginia, Wirt County	38.9536,-81.3464	6615	Shoemaker State Nature Preserve	https://lichenportal.org/portal/collections/individual/index.php?occid=4898045
KE	Tomás Curtis	Ohio	Ashtabula County	71.42	outside_boundary_exact	not_found_in_US	41.702,-81.8687	5366	Morgan Twp, Cleveland Museum of Natural History - Schweitzer Tract of the Grand River Terraces, approx 2 mi ENE of the Fobes Rd/Windsor-Mechanicsville Rd jct	https://lichenportal.org/portal/collections/individual/index.php?occid=3781496
KE	Tomás Curtis	Ohio	Ashtabula County	71.31	outside_boundary_exact	not_found_in_US	41.6968,-81.8671	5367	Morgan Twp, Cleveland Museum of Natural History - Schweitzer Tract of the Grand River Terraces, approx 2 mi E of the Fobes Rd/Windsor-Mechanicsville Rd jct	https://lichenportal.org/portal/collections/individual/index.php?occid=3781497
KE	Tomás Curtis	Ohio	Portage County	43.15	outside_boundary_exact	Ohio, Columbiana County	40.731482,-80.616408	844	Beaver Creek State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=3440510
KE	Tomás Curtis	Ohio	Summit County	35.29	outside_boundary_exact	not_found_in_US	41.633106,-81.788568	504	Columbia Run Conservation Area	https://lichenportal.org/portal/collections/individual/index.php?occid=3440162
KE	Tomás Curtis	Ohio	Summit County	35.29	outside_boundary_exact	not_found_in_US	41.633106,-81.788568	497	Columbia Run Conservation Area	https://lichenportal.org/portal/collections/individual/index.php?occid=3440217
KE	Tomás Curtis	Ohio	Vinton County	31.33	outside_boundary_exact	Ohio, Lawrence County	38.759064,-82.493141	150	around Symmes creek, Wayne National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=3439980
