occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
1478490	LSU	Shirley C. Tucker	California	Marin	116.11	outside_boundary_exact	LSU00149954	37.177229,-121.41287	California, Stanislaus County	Henry Coe State park.	https://lichenportal.org/portal/collections/individual/index.php?occid=1478490
1479863	LSU	Shirley C. Tucker	California	Marin	116.11	outside_boundary_exact	LSU00150129	37.177229,-121.41287	California, Stanislaus County	Henry Coe State Park.	https://lichenportal.org/portal/collections/individual/index.php?occid=1479863
1480047	LSU	Shirley C. Tucker	California	Marin	116.11	outside_boundary_exact	LSU00150460	37.177229,-121.41287	California, Stanislaus County	Henry Coe State Park.	https://lichenportal.org/portal/collections/individual/index.php?occid=1480047
1480229	LSU	Shirley C. Tucker	California	Marin	116.11	outside_boundary_exact	LSU00150547	37.177229,-121.41287	California, Stanislaus County	Henry Coe State Park.	https://lichenportal.org/portal/collections/individual/index.php?occid=1480229
1480251	LSU	Shirley C. Tucker	California	Marin	116.11	outside_boundary_exact	LSU00150569	37.177229,-121.41287	California, Stanislaus County	Henry Coe State Park.	https://lichenportal.org/portal/collections/individual/index.php?occid=1480251
1480284	LSU	Shirley C. Tucker	California	Marin	116.11	outside_boundary_exact	LSU00150602	37.177229,-121.41287	California, Stanislaus County	Henry Coe State Park.	https://lichenportal.org/portal/collections/individual/index.php?occid=1480284
1480429	LSU	Shirley C. Tucker	California	Marin	116.11	outside_boundary_exact	LSU00150702	37.177229,-121.41287	California, Stanislaus County	Henry Coe State Park.	https://lichenportal.org/portal/collections/individual/index.php?occid=1480429
1480430	LSU	Shirley C. Tucker	California	Marin	116.11	outside_boundary_exact	LSU00150703	37.177229,-121.41287	California, Stanislaus County	Henry Coe State Park.	https://lichenportal.org/portal/collections/individual/index.php?occid=1480430
1480431	LSU	Shirley C. Tucker	California	Marin	116.11	outside_boundary_exact	LSU00150704	37.177229,-121.41287	California, Stanislaus County	Henry Coe State Park.	https://lichenportal.org/portal/collections/individual/index.php?occid=1480431
1482592	LSU	Shirley C. Tucker	California	Marin	116.11	outside_boundary_exact	LSU00150834	37.177229,-121.41287	California, Stanislaus County	Henry Coe State Park.	https://lichenportal.org/portal/collections/individual/index.php?occid=1482592
1527664	LSU	Isabelle Tavares; Jane Bock	California	Sonoma	83.91	outside_boundary_exact	LSU00130735	39.495007,-123.805294	not_found_in_US	3.4 miles north of Fort Bragg.	https://lichenportal.org/portal/collections/individual/index.php?occid=1527664
2690421	LSU	Roger Rosentreter	California	Del Norte	69.7	outside_boundary_exact	LSU00176992	41,-123	California, Trinity County	Trail to Polar Bear Gap from Forest Route 4906, due south of Black Butte, Siskiyou Mountains. Trailhead.	https://lichenportal.org/portal/collections/individual/index.php?occid=2690421
1425201	LSU	Hugh Dale	California	Monterey	49.48	outside_boundary_exact	LSU00142449	35.348863,-120.631003	California, San Luis Obispo County	Cuesta Pass.	https://lichenportal.org/portal/collections/individual/index.php?occid=1425201
1524533	LSU	B. Ryan	California	Siskiyou	26.46	outside_boundary_exact	LSU00117479	41.425,-123.975	California, Humboldt County	Pacific Crest Trail at Etna Summit.	https://lichenportal.org/portal/collections/individual/index.php?occid=1524533
1435039	LSU	Bruce D. Ryan	California	Tuolumne	22.79	outside_boundary_exact	LSU00142918	38.133333,-119.075	California, Mono County	Winter Sports Area, N of Hwy 108, 5 km SW of Fraser Flat Campground.	https://lichenportal.org/portal/collections/individual/index.php?occid=1435039
1437013	LSU	Bruce D. Ryan	California	Tuolumne	22.79	outside_boundary_exact	LSU00142970	38.133333,-119.075	California, Mono County	Stanislaus National Forest, 5 km SW of Fraser Flat Campground on N side of highway 108.	https://lichenportal.org/portal/collections/individual/index.php?occid=1437013
1437015	LSU	Bruce D. Ryan	California	Tuolumne	22.79	outside_boundary_exact	LSU00142971	38.133333,-119.075	California, Mono County	Winter Sports Area, N of Hwy 108, 5 km SW of Fraser Flat Campground.	https://lichenportal.org/portal/collections/individual/index.php?occid=1437015
1443144	LSU	Isabelle Tavares	California	Stanislaus	13.34	outside_boundary_exact	LSU00143939	37.819928,-120.414917	California, Tuolumne County	Six-Bit Gulch, near Chinese Camp.	https://lichenportal.org/portal/collections/individual/index.php?occid=1443144
1475700	LSU	Shirley C. Tucker	California	Lake	12.45	outside_boundary_exact	LSU00149191	39.420143,-123.220476	California, Mendocino County	Soda Springs Ranger Station, about 14 mi. west of Lake Pillsbury Resort, 8 mi. NE of Potter Valley, Mendocino National Forest.	https://lichenportal.org/portal/collections/individual/index.php?occid=1475700
3417408	LSU	Mikki McGee	California	San Francisco	12.13	outside_boundary_exact	LSU00181239	37.6,-122.4	California, San Mateo County	[no specific locality data]	https://lichenportal.org/portal/collections/individual/index.php?occid=3417408
1524936	LSU	Shirley C. Tucker; Jeanette Pelton	California	Ventura	10.23	outside_boundary_exact	LSU00121469	34.09,-118.61	California, Los Angeles County	Santa Monica Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1524936
1442042	LSU	Nancy Dengler	California	Yolo	10.17	outside_boundary_exact	LSU00143333	38.40976,-122.07617	California, Solano County	Mix Canyon, Vaca Mountains.	https://lichenportal.org/portal/collections/individual/index.php?occid=1442042
1512166	LSU	Ronald Dengler; Nancy Dengler	California	Yolo	10.17	outside_boundary_exact	LSU00119874	38.40976,-122.07617	California, Solano County	Mix Canyon, Vaca Mountains.	https://lichenportal.org/portal/collections/individual/index.php?occid=1512166
1443073	LSU	Thomas H. Nash	California	Butte	9.39	outside_boundary_exact	LSU00143888	39.95,-121.3	California, Plumas County	Plumas campground along California Rte. 70, 13 km NE of Butte Co. border.	https://lichenportal.org/portal/collections/individual/index.php?occid=1443073
1473360	LSU	T. Elliot Weier	California	Modoc	8.19	outside_boundary_exact	LSU00148633	41.7676,-121.5554	California, Siskiyou County	Lava Beds National Monument. Devils Homestead Lava Flow, at highway crossing, 1 1/2 miles north of Fleener Chimneys. Mt. Dome Quadrangle.	https://lichenportal.org/portal/collections/individual/index.php?occid=1473360
1528494	LSU	William J. Platt	California	Del Norte	8.08	outside_boundary_exact	LSU00131567	41.392707,-124.033568	California, Humboldt County	Prairie Creek State Park. Prairie Creek Redwoods State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1528494
1387379	LSU	Shirley C. Tucker	California	Colusa	7.02	outside_boundary_exact	LSU00140901	39.447639,-122.544155	California, Glenn County	5 miles north of Stonyford.	https://lichenportal.org/portal/collections/individual/index.php?occid=1387379
1469873	LSU	Shirley C. Tucker	California	Colusa	7.02	outside_boundary_exact	LSU00146773	39.447639,-122.544155	California, Glenn County	Along road, 5 miles north of Stonyford.	https://lichenportal.org/portal/collections/individual/index.php?occid=1469873
