occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
1380477	LSU	William A. Weber	Colorado	Boulder	162.08	outside_boundary_exact	LSU00140513	38.4759,-105.61076	Colorado, Fremont County	Bull Gulch, foothills of Front Range between Plainview and Eldorado Springs.	https://lichenportal.org/portal/collections/individual/index.php?occid=1380477
1470328	LSU	William A. Weber	Colorado	Boulder	162.08	outside_boundary_exact	LSU00147178	38.4759,-105.61076	Colorado, Fremont County	Bull Gulch, foothills of Front Range between Plainview and Eldorado Springs.	https://lichenportal.org/portal/collections/individual/index.php?occid=1470328
1526928	LSU	W. A. Weber; James Erdman	Colorado	Jefferson	75.52	outside_boundary_exact	LSU00129997	38.4759,-105.61076	Colorado, Fremont County	Bull Gulch, outer foothills of Colorado Front Range between Plainview and Eldorado Springs	https://lichenportal.org/portal/collections/individual/index.php?occid=1526928
1512112	LSU	T. H. Nash	Colorado	San Juan	69.06	outside_boundary_exact	LSU00119644	37.1666667,-108.475	Colorado, Montezuma County	Lower Fewkes Canyon. Mesa Verde National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1512112
1390141	LSU	T. H. Nash	Colorado	San Juan	68.11	outside_boundary_exact	LSU00141030	37.183333,-108.483333	Colorado, Montezuma County	Mesa Verde National Park, Spruce Tree Canyon across from park headquarters.	https://lichenportal.org/portal/collections/individual/index.php?occid=1390141
1470176	LSU	Thomas H. Nash III	Colorado	San Juan	67.21	outside_boundary_exact	LSU00147017	37.2,-108.491667	Colorado, Montezuma County	Mesa Verde National Park, east side of Navajo Canyon to park maintenance area.	https://lichenportal.org/portal/collections/individual/index.php?occid=1470176
1470200	LSU	Thomas H. Nash III	Colorado	San Juan	67.21	outside_boundary_exact	LSU00147041	37.2,-108.491667	Colorado, Montezuma County	Mesa Verde National Park, east side of Navajo Canyon to park maintenance area.	https://lichenportal.org/portal/collections/individual/index.php?occid=1470200
1473340	LSU	Thomas H. Nash, III	Colorado	San Juan	67.21	outside_boundary_exact	LSU00148613	37.2,-108.491667	Colorado, Montezuma County	Mesa Verde National Park, east side of Navajo Canyon to park maintenance area.	https://lichenportal.org/portal/collections/individual/index.php?occid=1473340
1473803	LSU	Thomas H. Nash III	Colorado	San Juan	64.39	outside_boundary_exact	LSU00148967	37.241667,-108.5	Colorado, Montezuma County	Mesa Verde National Park, Soda Canyon and Battleship Rock area.	https://lichenportal.org/portal/collections/individual/index.php?occid=1473803
1443198	LSU	Thomas H. Nash III	Colorado	San Juan	59.37	outside_boundary_exact	LSU00143993	37.279167,-108.466667	Colorado, Montezuma County	Mesa Verde National Park, Park Point lookout area.	https://lichenportal.org/portal/collections/individual/index.php?occid=1443198
1374574	LSU	Dana G. Griffin III	Colorado	San Juan	27.6	outside_boundary_exact	LSU00140228	37.496031,-107.225849	Colorado, Hinsdale County	William's Creek Camp Ground.	https://lichenportal.org/portal/collections/individual/index.php?occid=1374574
1452240	LSU	Dana G. Griffin III	Colorado	San Juan	27.6	outside_boundary_exact	LSU00144174	37.496031,-107.225849	Colorado, Hinsdale County	William's Creek Campsite.	https://lichenportal.org/portal/collections/individual/index.php?occid=1452240
1527569	LSU	Dana Griffin	Colorado	San Juan	27.6	outside_boundary_exact	LSU00130670	37.496031,-107.225849	Colorado, Hinsdale County	Williams Creek Campground	https://lichenportal.org/portal/collections/individual/index.php?occid=1527569
1527740	LSU	Dana Griffin	Colorado	San Juan	27.6	outside_boundary_exact	LSU00130811	37.496031,-107.225849	Colorado, Hinsdale County	William's Creek Camp site. Williams Creek Campground	https://lichenportal.org/portal/collections/individual/index.php?occid=1527740
1527975	LSU	Dana Griffin	Colorado	San Juan	27.6	outside_boundary_exact	LSU00131048	37.496031,-107.225849	Colorado, Hinsdale County	William's Creek Camp Ground. Williams Creek Campground	https://lichenportal.org/portal/collections/individual/index.php?occid=1527975
