institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
LSU	Clifford M. Wetmore	Minnesota	St. Louis	218.56	outside_boundary_standardized_exact	Minnesota, Dakota County	44.725337,-92.848049	LSU00143466	Vermilion Falls, 48 miles SE of International Falls.	https://lichenportal.org/portal/collections/individual/index.php?occid=1442201
LSU	Clifford M. Wetmore	Minnesota	St. Louis	218.56	outside_boundary_standardized_exact	Minnesota, Dakota County	44.725337,-92.848049	LSU00144200	Vermilion Falls, 48 miles SE of International Falls.	https://lichenportal.org/portal/collections/individual/index.php?occid=1452266
LSU	Clifford M. Wetmore	Minnesota	St. Louis	218.56	outside_boundary_standardized_exact	Minnesota, Dakota County	44.725337,-92.848049	LSU00145323	Vermilion Falls, 48 miles SE of International Falls.	https://lichenportal.org/portal/collections/individual/index.php?occid=1462307
LSU	Clifford M. Wetmore	Minnesota	St. Louis	218.56	outside_boundary_standardized_exact	Minnesota, Dakota County	44.725337,-92.848049	LSU00150202	Vermilion Falls, 48 miles SE of International Falls.	https://lichenportal.org/portal/collections/individual/index.php?occid=1478636
LSU	Shirley C. Tucker	Minnesota	Itasca	64.72	outside_boundary_exact	Minnesota, Hubbard County	47.16953,-95.16839	LSU00119853	At south end of Deming Pond, Itasca Park. Itasca State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1523790
LSU	Shirley C. Tucker	Minnesota	Itasca	64.57	outside_boundary_exact	Minnesota, Clearwater County	47.212731,-95.195722	LSU00121106	South of University of Minnesota Biological Station, Itasca Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1512834
LSU	Shirley C. Tucker	Minnesota	Itasca	63.56	outside_boundary_exact	Minnesota, Clearwater County	47.231516,-95.192804	LSU00121134	University of Minnesota Biol. Station, Itasca State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1511611
LSU	Shirley C. Tucker	Minnesota	Itasca	63.56	outside_boundary_exact	Minnesota, Clearwater County	47.231516,-95.192804	LSU00119845	University of Minnesota Biological Station, Itasca Park.	https://lichenportal.org/portal/collections/individual/index.php?occid=1512641
LSU	Alan J. Rebertus	Minnesota	Cook	27.73	outside_boundary_exact	Minnesota, Lake County	47.78428,-91.38911	LSU00149976	Bog Lake, in Boundary Waters canoe area.	https://lichenportal.org/portal/collections/individual/index.php?occid=1478512
LSU	M. K. Advaita	Minnesota	Lac Qui Parle	13.18	outside_boundary_exact	South Dakota, Grant County	45.249667,-96.620833	LSU00179500	3 mi. S, 3 mi. W of Odessa. Big Stone National Wildlife Refuge, central area.	https://lichenportal.org/portal/collections/individual/index.php?occid=3139658
LSU	Thomas D. Trana	Minnesota	Lake	12.74	outside_boundary_exact	Minnesota, Cook County	48.130158,-90.862053	LSU00130219	Superior National Forest, 4 miles S of Trails End Campground, along the Gunflint Trail.	https://lichenportal.org/portal/collections/individual/index.php?occid=1527177
LSU	Shirley C. Tucker	Minnesota	Lake	9.49	outside_boundary_exact	Minnesota, Cook County	47.544469,-90.897323	LSU00144211	Along north Shore of Lake Superior, Cross River park.	https://lichenportal.org/portal/collections/individual/index.php?occid=1452277
LSU	Clifford M. Wetmore	Minnesota	Lake	9.49	outside_boundary_exact	Minnesota, St. Louis County	48.050204,-91.926165	LSU00130251	Four miles N of Fenske Lake along Echo Trail, 10 miles NNW of Ely.	https://lichenportal.org/portal/collections/individual/index.php?occid=1527183
LSU	Clifford M. Wetmore	Minnesota	Lake	9.49	outside_boundary_exact	Minnesota, St. Louis County	48.050204,-91.926165	LSU00130572	Four miles N of Fenske Lake along Echo Trail, 10 miles NNW of Ely. On north facing rocky slope	https://lichenportal.org/portal/collections/individual/index.php?occid=1527470
LSU	John J. Engel	Minnesota	Lake	8.99	outside_boundary_exact	Minnesota, St. Louis County	47.998438,-91.918209	LSU00130712	On County Road 116 (Echo Trail), 8 miles W of junction at County Road 88, near Fenske Lake, Superior National Forest.	https://lichenportal.org/portal/collections/individual/index.php?occid=1527641
LSU	Clifford M. Wetmore	Minnesota	St. Louis	8.96	outside_boundary_standardized_exact	Minnesota, Koochiching County	48.553327,-93.210043	LSU00130991	Voyageurs National park. Southeast corner of Black Bay in small bay NE of Gold Portage. On S side of bay.	https://lichenportal.org/portal/collections/individual/index.php?occid=1527919
