institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
LSU	L. Geiser	Oregon	Tillamook	312.9	outside_boundary_exact	Oregon, Curry County	42.248476,-124.404698	LSU00128389	Oregon Island National Wildlife Refuge, promonitory jutting westward into Pacific Ocean. Oregon Islands National Wildlife Refuge	https://lichenportal.org/portal/collections/individual/index.php?occid=1526199
LSU	Shirley C. Tucker	Oregon	Josephine	181.92	outside_boundary_exact	Oregon, Deschutes County	43.974243,-121.802483	LSU00120567	Deschotes National Forest on Elk Lake, Century Drive, 32 miles west of Bend. Deschutes National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1511681
LSU	Shirley C. Tucker	Oregon	Clackamas	87.52	outside_boundary_exact	Oregon, Deschutes County	44.10397,-121.62432	LSU00114182	Driftwood Creek Camprground, 15 mi. south of Sisters.	https://lichenportal.org/portal/collections/individual/index.php?occid=1525001
LSU	Bruce P. McCune	Oregon	Benton	34.75	outside_boundary_exact	Oregon, Lane County	44,-123	LSU00177100	Residential area, 1840 NE Seavy Avenue, Corvallis.	https://lichenportal.org/portal/collections/individual/index.php?occid=2690781
LSU	Shirley C. Tucker	Oregon	Baker	20.03	outside_boundary_exact	Oregon, Wallowa County	45.260716,-117.179467	LSU00115705	On Mount Howard, reached by gondola-lift from south end of Wallawa Lake, Wallawa-Whitman National Forest, about 6.5 miles south of Joseph. Wallowa-Whitman National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1524824
LSU	Shirley C. Tucker	Oregon	Baker	20.03	outside_boundary_exact	Oregon, Wallowa County	45.260716,-117.179467	LSU00127725	On Mount Howard, reached by gondola-lift from south end of Wallawa Lake, Wallawa-Whitman National Forest, about 6.5 miles south of Joseph. Wallowa-Whitman National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1525423
LSU	Wilfred B. Schofield	Oregon	Lane	15.82	outside_boundary_exact	Oregon, Linn County	44.405415,-122.593678	LSU00144455	Mile 35 E. of Sweet Home on Hwy 20.	https://lichenportal.org/portal/collections/individual/index.php?occid=1452608
LSU	B. McCune	Oregon	Jefferson	12.58	outside_boundary_exact	Oregon, Crook County	44.45,-120.666667	LSU00178369	near Metolius Meadows, east side of Cascade Range	https://lichenportal.org/portal/collections/individual/index.php?occid=2738951
LSU	W. B. Schofield	Oregon	Deschutes	4.6	outside_boundary_exact	Oregon, Jefferson County	44.433756,-121.63642	LSU00143594	Source of Metolius R.	https://lichenportal.org/portal/collections/individual/index.php?occid=1442633
LSU	Wilfred B. Schofield	Oregon	Deschutes	4.6	outside_boundary_exact	Oregon, Jefferson County	44.433756,-121.63642	LSU00143998	Source of Metolius R.	https://lichenportal.org/portal/collections/individual/index.php?occid=1443203
LSU	Wilfred B. Schofield	Oregon	Deschutes	4.6	outside_boundary_exact	Oregon, Jefferson County	44.433756,-121.63642	LSU00150974	Source of Metolius R.	https://lichenportal.org/portal/collections/individual/index.php?occid=1484147
LSU	Wilfred B. Schofield	Oregon	Deschutes	4.6	outside_boundary_exact	Oregon, Jefferson County	44.433756,-121.63642	LSU00151401	Source of Metolius R.	https://lichenportal.org/portal/collections/individual/index.php?occid=1486976
LSU	Shirley C. Tucker	Oregon	Lane	0.34	outside_boundary_exact	Oregon, Linn County	44.256938,-122.038916	LSU00146993	On State Hwy 126 near Olallie campground, Cascade Mts.	https://lichenportal.org/portal/collections/individual/index.php?occid=1470152
LSU	Shirley C. Tucker	Oregon	Lane	0.34	outside_boundary_exact	Oregon, Linn County	44.256938,-122.038916	LSU00179483	on State Hwy 126 near Olallie Cpgd., Cascade Mountains.	https://lichenportal.org/portal/collections/individual/index.php?occid=3133104
LSU	Barbara Wilson	Oregon	Benton	0.24	outside_boundary_exact	Oregon, Linn County	44.637554,-123.110532	LSU00151400	Montieth Park, Albany.	https://lichenportal.org/portal/collections/individual/index.php?occid=1486975
LSU	Philip W. Rundel	Oregon	Douglas	0.07	outside_boundary_exact	Oregon, Douglas County	43.610803,-124.175458	LSU00144010	William M. Tugman State Park, south of Reedsport.	https://lichenportal.org/portal/collections/individual/index.php?occid=1443397
LSU	Shirley C. Tucker	Oregon	Wheeler	0.01	outside_boundary_exact	Oregon, Crook County	44.500646,-120.387132	LSU00140802	Ochoco Divide Campground, Ochoco National Forest near Crook County line.	https://lichenportal.org/portal/collections/individual/index.php?occid=1383402
LSU	Shirley C. Tucker	Oregon	Wheeler	0.01	outside_boundary_exact	Oregon, Crook County	44.500646,-120.387132	LSU00141955	Ochoco Divide Campground, Ochoco National Forest (near Crook County line).	https://lichenportal.org/portal/collections/individual/index.php?occid=1418078
LSU	Shirley C. Tucker	Oregon	Wheeler	0.01	outside_boundary_exact	Oregon, Crook County	44.500646,-120.387132	LSU00142002	Ochoco Divide campground. Ochoco National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1421832
LSU	Shirley C. Tucker	Oregon	Wheeler	0.01	outside_boundary_exact	Oregon, Crook County	44.500646,-120.387132	LSU00142462	Ochoco Divide Campground, Ochoco National Forest (near Crook County line).	https://lichenportal.org/portal/collections/individual/index.php?occid=1425214
LSU	Shirley C. Tucker	Oregon	Wheeler	0.01	outside_boundary_exact	Oregon, Crook County	44.500646,-120.387132	LSU00142698	Ochoco Divide Campground, Ochoco National Forest (near Crook County line).	https://lichenportal.org/portal/collections/individual/index.php?occid=1434691
LSU	Shirley C. Tucker	Oregon	Wheeler	0.01	outside_boundary_exact	Oregon, Crook County	44.500646,-120.387132	LSU00142993	Ochoco Divide Campground, Ochoco National Forest (near Crook County line).	https://lichenportal.org/portal/collections/individual/index.php?occid=1441891
LSU	Shirley C. Tucker	Oregon	Wheeler	0.01	outside_boundary_exact	Oregon, Crook County	44.500646,-120.387132	LSU00142994	Ochoco Divide Campground, Ochoco National Forest (near Crook County line).	https://lichenportal.org/portal/collections/individual/index.php?occid=1441892
LSU	Shirley C. Tucker	Oregon	Wheeler	0.01	outside_boundary_exact	Oregon, Crook County	44.500646,-120.387132	LSU00143630	Ochoco Divide campground, Ochoco National Forest (near Crook Co. line).	https://lichenportal.org/portal/collections/individual/index.php?occid=1442683
