institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
MAINE	J. F. Malcolm	MAINE	HANCOCK	188.17	outside_boundary_exact	Maine, York County	43.234,-70.809	MAINE-L-0005600	South Blue Hill	https://lichenportal.org/portal/collections/individual/index.php?occid=1971990
MAINE	J. F. Malcolm	MAINE	HANCOCK	188.17	outside_boundary_exact	Maine, York County	43.234,-70.809	MAINE-L-0005641	South Blue Hill	https://lichenportal.org/portal/collections/individual/index.php?occid=1972031
MAINE	J. F. Malcolm	MAINE	HANCOCK	188.17	outside_boundary_exact	Maine, York County	43.234,-70.809	MAINE-L-0005951	South Blue Hill	https://lichenportal.org/portal/collections/individual/index.php?occid=1972341
MAINE	J. F. Malcolm	MAINE	HANCOCK	188.17	outside_boundary_exact	Maine, York County	43.234,-70.809	MAINE-L-0007874	South Blue Hill	https://lichenportal.org/portal/collections/individual/index.php?occid=1974217
MAINE	E. C. Ogden	MAINE	OXFORD	173.77	outside_boundary_exact	not_found_in_US	44.332,-68.059	MAINE-L-0005540	Batchelders Grant	https://lichenportal.org/portal/collections/individual/index.php?occid=1971930
MAINE	E. C. Ogden	MAINE	OXFORD	173.77	outside_boundary_exact	not_found_in_US	44.332,-68.059	MAINE-L-0005544	Batchelders Grant	https://lichenportal.org/portal/collections/individual/index.php?occid=1971934
MAINE	E. C. Ogden	MAINE	OXFORD	173.77	outside_boundary_exact	not_found_in_US	44.332,-68.059	MAINE-L-0006074	Batchelders Grant	https://lichenportal.org/portal/collections/individual/index.php?occid=1972417
MAINE	E. C. Ogden	MAINE	OXFORD	173.77	outside_boundary_exact	not_found_in_US	44.332,-68.059	MAINE-L-0006981	Batchelders Grant	https://lichenportal.org/portal/collections/individual/index.php?occid=1973324
MAINE	E. C. & E. B. Ogden	MAINE	OXFORD	173.77	outside_boundary_exact	not_found_in_US	44.332,-68.059	MAINE-L-0006989	Batchelders Grant	https://lichenportal.org/portal/collections/individual/index.php?occid=1973332
MAINE	E. C. Ogden	MAINE	OXFORD	173.77	outside_boundary_exact	not_found_in_US	44.332,-68.059	MAINE-L-0008434	East Royce Mt. Batchelders Grant	https://lichenportal.org/portal/collections/individual/index.php?occid=2693130
MAINE	E. C. Ogden & G. D. Chamberlain	MAINE	PENOBSCOT	0.57	outside_boundary_exact	Maine, Piscataquis County	46.13,-68.83	MAINE-L-0006471	T5 R8 WELS	https://lichenportal.org/portal/collections/individual/index.php?occid=1972814
MAINE	F. L. Harvey	MAINE	PENOBSCOT	0.18	outside_boundary_exact	Maine, Hancock County	44.83,-68.46	MAINE-L-0008438	Clifton Mt. Clifton	https://lichenportal.org/portal/collections/individual/index.php?occid=2693134
MAINE	J. F. Malcolm	MAINE	OXFORD	0.01	outside_boundary_exact	Maine, Franklin County	44.5734,-70.3037	MAINE-L-0005713	East Dixfield	https://lichenportal.org/portal/collections/individual/index.php?occid=1972103
MAINE	J. F. Malcolm	MAINE	OXFORD	0.01	outside_boundary_exact	Maine, Franklin County	44.5734,-70.3037	MAINE-L-0005723	East Dixfield	https://lichenportal.org/portal/collections/individual/index.php?occid=1972113
MAINE	J. F. Malcolm	MAINE	OXFORD	0.01	outside_boundary_exact	Maine, Franklin County	44.5734,-70.3037	MAINE-L-0005739	East Dixfield	https://lichenportal.org/portal/collections/individual/index.php?occid=1972129
MAINE	J. F. Malcolm	MAINE	OXFORD	0.01	outside_boundary_exact	Maine, Franklin County	44.5734,-70.3037	MAINE-L-0005742	East Dixfield	https://lichenportal.org/portal/collections/individual/index.php?occid=1972132
MAINE	G. B. Rossbach	MAINE	WALSO	NA	county_not_matched_no_match	county_not_matched	44.515,-68.813	MAINE-L-0005609	Sandy Point	https://lichenportal.org/portal/collections/individual/index.php?occid=1971999
MAINE	Bruce Fink	MAINE	FAYETTE	NA	county_not_matched_no_match	county_not_matched	42.843,-91.803	MAINE-L-0008018	Fayette	https://lichenportal.org/portal/collections/individual/index.php?occid=2692714
MAINE	Bruce Fink	MAINE	FAYETTE	NA	county_not_matched_no_match	county_not_matched	42.843,-91.803	MAINE-L-0008045	Fayette	https://lichenportal.org/portal/collections/individual/index.php?occid=2692741
