institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
MAINE	P. L. Hinds or J. W. Hinds	North Carolina	MARION	NA	county_not_matched_no_match	county_not_matched	35.017,-83.133	MAINE-L-0001800	NANTAHALA NF, CHATTOOGA GORGE AT BULL PEN BRIDGE, 35 01N/83 08W	https://lichenportal.org/portal/collections/individual/index.php?occid=1782113
MAINE	P. L. Hinds or J. W. Hinds	North Carolina	MARION	NA	county_not_matched_no_match	county_not_matched	35.017,-83.133	MAINE-L-0001840	NANTAHALA NF, CHATTOOGA GORGE AT BULL PEN BRIDGE, 35 01N/83 08W	https://lichenportal.org/portal/collections/individual/index.php?occid=1782153
MAINE	P. L. Hinds or J. W. Hinds	North Carolina	MARION	NA	county_not_matched_no_match	county_not_matched	35.017,-83.133	MAINE-L-0001981	NANTAHALA NF, CHATTOOGA GORGE AT BULL PEN BRIDGE, 35 01N/83 08W	https://lichenportal.org/portal/collections/individual/index.php?occid=1782294
MAINE	P. L. Hinds or J. W. Hinds	North Carolina	MARION	NA	county_not_matched_no_match	county_not_matched	35.017,-83.133	MAINE-L-0001986	NANTAHALA NF, CHATTOOGA GORGE AT BULL PEN BRIDGE, 35 01N/83 08W	https://lichenportal.org/portal/collections/individual/index.php?occid=1782299
MAINE	P. L. Hinds or J. W. Hinds	North Carolina	MARION	NA	county_not_matched_no_match	county_not_matched	35.017,-83.133	MAINE-L-0001991	NANTAHALA NF, CHATTOOGA GORGE AT BULL PEN BRIDGE, 35 01N/83 08W	https://lichenportal.org/portal/collections/individual/index.php?occid=1782304
MAINE	P. L. Hinds or J. W. Hinds	North Carolina	MARION	NA	county_not_matched_no_match	county_not_matched	35.017,-83.133	MAINE-L-0001994	NANTAHALA NF, CHATTOOGA GORGE AT BULL PEN BRIDGE, 35 01N/83 08W	https://lichenportal.org/portal/collections/individual/index.php?occid=1782307
MAINE	P. L. Hinds or J. W. Hinds	North Carolina	MARION	NA	county_not_matched_no_match	county_not_matched	35.017,-83.133	MAINE-L-0001995	NANTAHALA NF, CHATTOOGA GORGE AT BULL PEN BRIDGE, 35 01N/83 08W	https://lichenportal.org/portal/collections/individual/index.php?occid=1782308
MAINE	P. L. Hinds or J. W. Hinds	North Carolina	MARION	NA	county_not_matched_no_match	county_not_matched	35.017,-83.133	MAINE-L-0002071	NANTAHALA NF, CHATTOOGA GORGE AT BULL PEN BRIDGE, 35 01N/83 08W	https://lichenportal.org/portal/collections/individual/index.php?occid=1782384
MAINE	P. L. Hinds or J. W. Hinds	North Carolina	MARION	NA	county_not_matched_no_match	county_not_matched	35.017,-83.133	MAINE-L-0002434	NANTAHALA NF, CHATTOOGA GORGE AT BULL PEN BRIDGE, 35 01N/83 08W	https://lichenportal.org/portal/collections/individual/index.php?occid=1782747
MAINE	P. L. Hinds or J. W. Hinds	North Carolina	MARION	NA	county_not_matched_no_match	county_not_matched	35.017,-83.133	MAINE-L-0002531	NANTAHALA NF, CHATTOOGA GORGE AT BULL PEN BRIDGE, 35 01N/83 08W	https://lichenportal.org/portal/collections/individual/index.php?occid=1782844
MAINE	J. W. or P. L. Hinds	North Carolina	MARION	NA	county_not_matched_no_match	county_not_matched	35.017,-83.133	MAINE-L-0002610	NANTAHALA NF, CHATTOOGA GORGE AT BULL PEN BRIDGE, 35 01N/83 08W	https://lichenportal.org/portal/collections/individual/index.php?occid=1782923
MAINE	J. W. or P. L. Hinds	North Carolina	MARION	NA	county_not_matched_no_match	county_not_matched	35.017,-83.133	MAINE-L-0002649	NANTAHALA NF, CHATTOOGA GORGE AT BULL PEN BRIDGE, 35 01N/83 08W	https://lichenportal.org/portal/collections/individual/index.php?occid=1782962
MAINE	P. L. Hinds or J. W. Hinds	North Carolina	MARION	NA	county_not_matched_no_match	county_not_matched	35.017,-83.133	MAINE-L-0002681	NANTAHALA NF, CHATTOOGA GORGE AT BULL PEN BRIDGE, 35 01N/83 08W	https://lichenportal.org/portal/collections/individual/index.php?occid=1782994
MAINE	P. L. Hinds or J. W. Hinds	North Carolina	MARION	NA	county_not_matched_no_match	county_not_matched	35.017,-83.133	MAINE-L-0003789	NANTAHALA NF, CHATTOOGA GORGE AT BULL PEN BRIDGE, 35 01N/83 08W	https://lichenportal.org/portal/collections/individual/index.php?occid=1784102
MAINE	P. L. Hinds or J. W. Hinds	North Carolina	MARION	NA	county_not_matched_no_match	county_not_matched	35.017,-83.133	MAINE-L-0003861	NANTAHALA NF, CHATTOOGA GORGE AT BULL PEN BRIDGE, 35 01N/83 08W	https://lichenportal.org/portal/collections/individual/index.php?occid=1784174
