occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
1283822	MICH	S. C. Tucker	Louisiana	West Feliciana	44.34	outside_boundary_exact	112979	30.8,-90.75	Louisiana, St. Helena County	Idlewild Experimental farm, about 3 miles southeast of Clinton	https://lichenportal.org/portal/collections/individual/index.php?occid=1283822
1286158	MICH	S. C. Tucker	Louisiana	East Feliciana	8.2	outside_boundary_exact	115374	30.8,-90.75	Louisiana, St. Helena County	Idlewild Experimental Farm, about 3 miles SE of Clinton	https://lichenportal.org/portal/collections/individual/index.php?occid=1286158
1399628	MICH	S. C. Tucker	Louisiana	East Feliciana	8.2	outside_boundary_exact	121035	30.8,-90.75	Louisiana, St. Helena County	Idlewild Experimental Farm, about 3 miles SE of Clinton	https://lichenportal.org/portal/collections/individual/index.php?occid=1399628
1242482	MICH	S. C. Tucker	Louisiana	East Feliciana	8.2	outside_boundary_exact	110946	30.8,-90.75	Louisiana, St. Helena County	Idlewild Experimental Farm about 3 miles SE of Clinton	https://lichenportal.org/portal/collections/individual/index.php?occid=1242482
1227275	MICH	S. C. Tucker	Louisiana	East Feliciana	8.2	outside_boundary_exact	107329	30.8,-90.75	Louisiana, St. Helena County	Idlewild Experimental farm	https://lichenportal.org/portal/collections/individual/index.php?occid=1227275
1048657	MICH	S. C. Tucker	Louisiana	East Feliciana	8.2	outside_boundary_exact	76176	30.8,-90.75	Louisiana, St. Helena County	Idlewild Experimental farm, about 3 miles SE of Clinton	https://lichenportal.org/portal/collections/individual/index.php?occid=1048657
1285978	MICH	S. C. Tucker	Louisiana	East Feliciana	8.2	outside_boundary_exact	115190	30.8,-90.75	Louisiana, St. Helena County	Idlewilde Experimental far about 3 miles SE of Clinton	https://lichenportal.org/portal/collections/individual/index.php?occid=1285978
1286159	MICH	S. C. Tucker	Louisiana	East Feliciana	8.2	outside_boundary_exact	115375	30.8,-90.75	Louisiana, St. Helena County	Idlewild Research Station, 5.6 km SE of Clinton	https://lichenportal.org/portal/collections/individual/index.php?occid=1286159
1286084	MICH	S. C. Tucker	Louisiana	East Feliciana	8.2	outside_boundary_exact	115298	30.8,-90.75	Louisiana, St. Helena County	Idlewild Experimental Farm, about 3 mi. SE of Clinton	https://lichenportal.org/portal/collections/individual/index.php?occid=1286084
1398129	MICH	S. C. Tucker	Louisiana	East Feliciana	8.2	outside_boundary_exact	120612	30.8,-90.75	Louisiana, St. Helena County	Idlewild Experimental Farm, about 3 miles SE of Clinton	https://lichenportal.org/portal/collections/individual/index.php?occid=1398129
1058793	MICH	S. C. Tucker	Louisiana	East Feliciana	8.2	outside_boundary_exact	78107	30.8,-90.75	Louisiana, St. Helena County	On uplands, Idlewild Experimental far about 3 miles SE of Clinton	https://lichenportal.org/portal/collections/individual/index.php?occid=1058793
1392657	MICH	S. C. Tucker	Louisiana	East Feliciana	8.2	outside_boundary_exact	116060	30.8,-90.75	Louisiana, St. Helena County	Idlewild Experimental farm, about 3 miles southeast of Clinton	https://lichenportal.org/portal/collections/individual/index.php?occid=1392657
1396553	MICH	S. C. Tucker	Louisiana	East Feliciana	8.2	outside_boundary_exact	119409	30.8,-90.75	Louisiana, St. Helena County	About 3 miles SE of Clinton, Idlewild Experimental Farm	https://lichenportal.org/portal/collections/individual/index.php?occid=1396553
1096360	MICH	S. C. Tucker	Louisiana	East Feliciana	8.2	outside_boundary_exact	84358	30.8,-90.75	Louisiana, St. Helena County	at Idlewild Research station, 5.6 km southeast of Clinton	https://lichenportal.org/portal/collections/individual/index.php?occid=1096360
1230039	MICH	S. C. Tucker	Louisiana	East Feliciana	8.2	outside_boundary_exact	110170	30.8,-90.75	Louisiana, St. Helena County	Idlewild Experimental Farm, about 3 miles SE of Clinton	https://lichenportal.org/portal/collections/individual/index.php?occid=1230039
1405280	MICH	S. C. Tucker	Louisiana	East Feliciana	8.2	outside_boundary_exact	131508	30.8,-90.75	Louisiana, St. Helena County	Idlewild Experimental farm about 3 miles southeast of Clinton	https://lichenportal.org/portal/collections/individual/index.php?occid=1405280
1094420	MICH	S. C. Tucker	Louisiana	East Feliciana	8.2	outside_boundary_exact	82416	30.8,-90.75	Louisiana, St. Helena County	Idlewild Experimental Farm about 3 miles SE of Clinton.	https://lichenportal.org/portal/collections/individual/index.php?occid=1094420
1134375	MICH	S. C. Tucker	Louisiana	East Feliciana	8.2	outside_boundary_exact	104395	30.8,-90.75	Louisiana, St. Helena County	Idlewild Experimental farm, 3 miles SE of Clinton	https://lichenportal.org/portal/collections/individual/index.php?occid=1134375
1043064	MICH	S. C. Tucker	Louisiana	East Feliciana	8.2	outside_boundary_exact	75312	30.8,-90.75	Louisiana, St. Helena County	Idlewild Experimental Farm, about 3 miles SE of Clinton	https://lichenportal.org/portal/collections/individual/index.php?occid=1043064
1285455	MICH	S. C. Tucker	Louisiana	East Feliciana	8.2	outside_boundary_exact	114637	30.8,-90.75	Louisiana, St. Helena County	Idlewild Experimental farm, about 3 miles southeast of Clinton	https://lichenportal.org/portal/collections/individual/index.php?occid=1285455
1230368	MICH	S. C. Tucker	Louisiana	East Feliciana	8.2	outside_boundary_exact	110456	30.8,-90.75	Louisiana, St. Helena County	Idlewild Experimental Farm about 3 miles SE of Clinton	https://lichenportal.org/portal/collections/individual/index.php?occid=1230368
1286167	MICH	S. C. Tucker	Louisiana	East Feliciana	8.2	outside_boundary_exact	115383	30.8,-90.75	Louisiana, St. Helena County	Idlewild Experimental Farm, about 3 miles SE of Clinton	https://lichenportal.org/portal/collections/individual/index.php?occid=1286167
1404266	MICH	S. C. Tucker	Louisiana	East Feliciana	8.2	outside_boundary_exact	126712	30.8,-90.75	Louisiana, St. Helena County	Idlewild Experimental Farm, about 3 miles SE of Clinton	https://lichenportal.org/portal/collections/individual/index.php?occid=1404266
1396696	MICH	S. C. Tucker	Louisiana	East Feliciana	8.2	outside_boundary_exact	119509	30.8,-90.75	Louisiana, St. Helena County	Idlewild Experimental farm, 3 miles SE of Clinton	https://lichenportal.org/portal/collections/individual/index.php?occid=1396696
1230673	MICH	S. C. Tucker	Louisiana	East Feliciana	8.2	outside_boundary_exact	110738	30.8,-90.75	Louisiana, St. Helena County	Idlewild Experimental Farm about 3 miles SE of Clinton	https://lichenportal.org/portal/collections/individual/index.php?occid=1230673
1286160	MICH	S. C. Tucker	Louisiana	East Feliciana	8.2	outside_boundary_exact	115376	30.8,-90.75	Louisiana, St. Helena County	Idlewild Experimental Farm, about 3 miles SE of Clinton	https://lichenportal.org/portal/collections/individual/index.php?occid=1286160
1227891	MICH	S. C. Tucker	Louisiana	East Feliciana	8.2	outside_boundary_exact	107979	30.8,-90.75	Louisiana, St. Helena County	Idlewild Experimental Farm, about 3 miles SE of Clinton	https://lichenportal.org/portal/collections/individual/index.php?occid=1227891
1412105	MICH	S. C. Tucker	Louisiana	East Feliciana	8.2	outside_boundary_exact	124683	30.8,-90.75	Louisiana, St. Helena County	Idlewild Experiment farm, about 3 miles SE of Clinton	https://lichenportal.org/portal/collections/individual/index.php?occid=1412105
1242688	MICH	S. C. Tucker	Louisiana	East Feliciana	8.2	outside_boundary_exact	111157	30.8,-90.75	Louisiana, St. Helena County	Idlewild Experimental Farm about 3 miles SE of Clinton	https://lichenportal.org/portal/collections/individual/index.php?occid=1242688
1399648	MICH	S. C. Tucker	Louisiana	East Feliciana	8.2	outside_boundary_exact	121134	30.8,-90.75	Louisiana, St. Helena County	Idlewild Experimental farm, about 3 miles southeast of Clinton	https://lichenportal.org/portal/collections/individual/index.php?occid=1399648
1225551	MICH	S. C. Tucker	Louisiana	East Feliciana	8.2	outside_boundary_exact	105608	30.8,-90.75	Louisiana, St. Helena County	Idlewild Experimental farm, 3 miles SE of Clinton	https://lichenportal.org/portal/collections/individual/index.php?occid=1225551
1226538	MICH	S. C. Tucker	Louisiana	East Feliciana	8.2	outside_boundary_exact	106586	30.8,-90.75	Louisiana, St. Helena County	Idlewild Experimental farm, 3 miles SE of Clinton	https://lichenportal.org/portal/collections/individual/index.php?occid=1226538
1064201	MICH	S. C. Tucker	Louisiana	East Feliciana	8.2	outside_boundary_exact	79037	30.8,-90.75	Louisiana, St. Helena County	Idlewild Experimental Farm, about 3 miles SE of Clinton	https://lichenportal.org/portal/collections/individual/index.php?occid=1064201
1132278	MICH	S. C. Tucker	Louisiana	East Feliciana	8.2	outside_boundary_exact	102291	30.8,-90.75	Louisiana, St. Helena County	Idlewild Experimental farm, about 3 miles SE of Clinton	https://lichenportal.org/portal/collections/individual/index.php?occid=1132278
1042809	MICH	S. C. Tucker	Louisiana	East Feliciana	8.2	outside_boundary_exact	74976	30.8,-90.75	Louisiana, St. Helena County	Idlewild Experimental Farm, about 3 miles SE of Clinton	https://lichenportal.org/portal/collections/individual/index.php?occid=1042809
1202785	MICH	S. C. Tucker	Louisiana	East Feliciana	8.2	outside_boundary_exact	104610	30.8,-90.75	Louisiana, St. Helena County	Idlewild Experimental Farm about 3 miles SE of Clinton	https://lichenportal.org/portal/collections/individual/index.php?occid=1202785
1225414	MICH	S. C. Tucker	Louisiana	East Feliciana	8.2	outside_boundary_exact	105433	30.8,-90.75	Louisiana, St. Helena County	Idlewild Experimental farm, 3 miles SE of Clinton	https://lichenportal.org/portal/collections/individual/index.php?occid=1225414
1401214	MICH	S. C. Tucker	Louisiana	East Feliciana	8.2	outside_boundary_exact	124517	30.8,-90.75	Louisiana, St. Helena County	Idlewild Experimental Farm, about 3 miles SE of Clinton	https://lichenportal.org/portal/collections/individual/index.php?occid=1401214
1405382	MICH	S. C. Tucker	Louisiana	East Feliciana	8.2	outside_boundary_exact	131563	30.8,-90.75	Louisiana, St. Helena County	Idlewild Experimental farm about 3 miles southeast of Clinton	https://lichenportal.org/portal/collections/individual/index.php?occid=1405382
1284835	MICH	S. C. Tucker	Louisiana	East Feliciana	8.2	outside_boundary_exact	114003	30.8,-90.75	Louisiana, St. Helena County	Idlewild Experimental Farm, about 3 miles SE of Clinton	https://lichenportal.org/portal/collections/individual/index.php?occid=1284835
1396561	MICH	S. C. Tucker	Louisiana	East Feliciana	8.2	outside_boundary_exact	119403	30.8,-90.75	Louisiana, St. Helena County	3 miles SE of Clinton, Idlewild Experimental farm	https://lichenportal.org/portal/collections/individual/index.php?occid=1396561
1285996	MICH	S. C. Tucker	Louisiana	East Feliciana	8.2	outside_boundary_exact	115197	30.8,-90.75	Louisiana, St. Helena County	Idlewild Experimental far about 3 miles SE of Clinton	https://lichenportal.org/portal/collections/individual/index.php?occid=1285996
1132543	MICH	S. C. Tucker	Louisiana	East Feliciana	8.2	outside_boundary_exact	102558	30.8,-90.75	Louisiana, St. Helena County	About 3 miles SE of Clinton	https://lichenportal.org/portal/collections/individual/index.php?occid=1132543
1396655	MICH	S. C. Tucker	Louisiana	East Feliciana	8.2	outside_boundary_exact	119540	30.8,-90.75	Louisiana, St. Helena County	Idlewild Experimental Farm, about 3 miles SE of Clinton	https://lichenportal.org/portal/collections/individual/index.php?occid=1396655
1283900	MICH	S. C. Tucker	Louisiana	East Feliciana	8.2	outside_boundary_exact	113059	30.8,-90.75	Louisiana, St. Helena County	Idlewild Experimental farm, about 3 miles southeast of Clinton	https://lichenportal.org/portal/collections/individual/index.php?occid=1283900
1042881	MICH	S. C. Tucker	Louisiana	East Feliciana	8.2	outside_boundary_exact	75129	30.8,-90.75	Louisiana, St. Helena County	Idlewild Research Station, 5.6 km southeast of Clinton	https://lichenportal.org/portal/collections/individual/index.php?occid=1042881
1094691	MICH	S. C. Tucker	Louisiana	East Feliciana	8.2	outside_boundary_exact	82690	30.8,-90.75	Louisiana, St. Helena County	Idlewild Research Station, 5.6 km SE of Clinton	https://lichenportal.org/portal/collections/individual/index.php?occid=1094691
1394251	MICH	S. C. Tucker	Louisiana	East Feliciana	8.2	outside_boundary_exact	117101	30.8,-90.75	Louisiana, St. Helena County	Idlewild Experimental Farm, about 3 miles SE of Clinton	https://lichenportal.org/portal/collections/individual/index.php?occid=1394251
1284782	MICH	S. C. Tucker	Louisiana	East Feliciana	8.2	outside_boundary_exact	113950	30.8,-90.75	Louisiana, St. Helena County	Idlewild Experimental farm, about 3 miles southeast of Clinton	https://lichenportal.org/portal/collections/individual/index.php?occid=1284782
1397462	MICH	S. C. Tucker	Louisiana	East Feliciana	8.2	outside_boundary_exact	119755	30.8,-90.75	Louisiana, St. Helena County	Idlewild Experimental farm, 3 miles SE of Clinton	https://lichenportal.org/portal/collections/individual/index.php?occid=1397462
1397828	MICH	S. C. Tucker	Louisiana	East Feliciana	8.2	outside_boundary_exact	120281	30.8,-90.75	Louisiana, St. Helena County	Idlewild Research Station, 5.6 km SE of Clinton	https://lichenportal.org/portal/collections/individual/index.php?occid=1397828
1396383	MICH	S. C. Tucker	Louisiana	East Feliciana	8.2	outside_boundary_exact	119237	30.8,-90.75	Louisiana, St. Helena County	Idlewild Experimental farm, 3 miles SE of Clinton	https://lichenportal.org/portal/collections/individual/index.php?occid=1396383
1094419	MICH	S. C. Tucker	Louisiana	East Feliciana	8.2	outside_boundary_exact	82415	30.8,-90.75	Louisiana, St. Helena County	Idlewild Experimental Farm about 3 miles SE of Clinton.	https://lichenportal.org/portal/collections/individual/index.php?occid=1094419
1400384	MICH	S. C. Tucker	Louisiana	East Feliciana	8.2	outside_boundary_exact	121761	30.8,-90.75	Louisiana, St. Helena County	Idlewild Experiment farm, about 3 miles SE of Clinton	https://lichenportal.org/portal/collections/individual/index.php?occid=1400384
1401241	MICH	S. C. Tucker	Louisiana	East Feliciana	8.2	outside_boundary_exact	124746	30.8,-90.75	Louisiana, St. Helena County	Idlewild Research Station, 5.6 km SE of Clinton	https://lichenportal.org/portal/collections/individual/index.php?occid=1401241
1227833	MICH	S. C. Tucker	Louisiana	East Feliciana	8.2	outside_boundary_exact	107924	30.8,-90.75	Louisiana, St. Helena County	Idlewild Experimental Farm about 3 miles SE of Clinton	https://lichenportal.org/portal/collections/individual/index.php?occid=1227833
