institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
MIN	Llano, G.	Maine	Hancock	3218.94	outside_boundary_exact	Colorado, Rio Grande County	37.58333333,-106.6666667	872923	Mt. Desert Island, Sargent Drive; Acadia National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=410491
MIN	Llano, G.	Maine	Hancock	3218.94	outside_boundary_exact	Colorado, Rio Grande County	37.58333333,-106.6666667	872925	Schoodic Peninsula, Little Moose Island; Acadia National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=410493
MIN	Llano, G.	Maine	Hancock	3218.94	outside_boundary_exact	Colorado, Rio Grande County	37.58333333,-106.6666667	872926	Schoodic Peninsula, Little Moose Island; Acadia National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=410494
MIN	Tibell, L.	Maine	Piscataquis	60.23	outside_boundary_exact	Maine, Aroostook County	47.11666667,-68.93333333	864635	Wadleigh Trail; Baxter State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=403974
MIN	Hammer, S.	Maine	Cumberland	55.14	outside_boundary_exact	not_found_in_US	43,-70	870690	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=408342
MIN	Sullivan, T.	Maine	Knox	32.39	outside_boundary_exact	Maine, Hancock County	44.35,-68.2833	787993	Isle Au Haut, Eastern Head; Acadia National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=368860
MIN	Sullivan, T.	Maine	Hancock	6.05	outside_boundary_exact	Maine, Knox County	44.06,-68.64	754812	Upper Hadlock Pond, S of; Acadia National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=352491
MIN	Hammer, S.	Maine	Washington	3.58	outside_boundary_exact	not_found_in_US	45,-67	870691	Bay of Fundy; Cobscook Bay State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=408343
MIN	Hammer, S.	Maine	Washington	3.58	outside_boundary_exact	not_found_in_US	45,-67	870692	Bay of Fundy; Cobscook Bay State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=408344
MIN	Hawksworth, D.	Maine	Hancock	3.17	outside_boundary_exact	Maine, Washington County	44.46,-67.93277778	906737	Rt 182, N Shore of Tunk Lake	https://lichenportal.org/portal/collections/individual/index.php?occid=932856
