institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
MIN	Wetmore, C.	Minnesota	Clearwater	4585.37	outside_boundary_exact	not_found_in_US	43,-36	707349	Boutwell Creek; Itasca State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=337598
MIN	Thomson, J.	Minnesota	Clearwater	2910.28	outside_boundary_exact	not_found_in_US	80.4,-87.63333333	881134	Bog S of Shops At Biological Station; Itasca State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=416010
MIN	Wetmore, C.	Minnesota	Hubbard	1052.98	outside_boundary_exact	not_found_in_US	57.1892,-95.1675	940957	At N End of Mary Lake, Near Douglas Lodge; Itasca State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=2904822
MIN	Reschke, C.	Minnesota	Saint Louis	894.58	outside_boundary_standardized_exact	not_found_in_US	56.92444444,-91.81722222	889843	Stony Point, 17 Mi Ne of Duluth	https://lichenportal.org/portal/collections/individual/index.php?occid=423586
MIN	Reschke, C.	Minnesota	Saint Louis	894.58	outside_boundary_standardized_exact	not_found_in_US	56.92444444,-91.81722222	889844	Stony Point, 17 Mi Ne of Duluth	https://lichenportal.org/portal/collections/individual/index.php?occid=423587
MIN	Reschke, C.	Minnesota	Saint Louis	894.58	outside_boundary_standardized_exact	not_found_in_US	56.92444444,-91.81722222	889845	Stony Point, 17 Mi Ne of Duluth	https://lichenportal.org/portal/collections/individual/index.php?occid=423588
MIN	Reschke, C.	Minnesota	Saint Louis	894.58	outside_boundary_standardized_exact	not_found_in_US	56.92444444,-91.81722222	889846	Stony Point, 17 Mi Ne of Duluth	https://lichenportal.org/portal/collections/individual/index.php?occid=423589
MIN	Fink, B.	Minnesota	Roseau	448.21	outside_boundary_exact	Michigan, Gogebic County	46.45467,-90.171008	015605	Warroad	https://lichenportal.org/portal/collections/individual/index.php?occid=2894186
MIN	Wetmore, C.	Minnesota	Scott	327.99	outside_boundary_exact	not_found_in_US	47.33944444,-91.18472222	653707	Shakopee, 5 Mi Sw	https://lichenportal.org/portal/collections/individual/index.php?occid=313475
MIN	Wetmore, C.	Minnesota	Scott	327.99	outside_boundary_exact	not_found_in_US	47.33944444,-91.18472222	653708	Shakopee, 5 Mi Sw	https://lichenportal.org/portal/collections/individual/index.php?occid=313476
MIN	Wetmore, C.	Minnesota	Scott	327.99	outside_boundary_exact	not_found_in_US	47.33944444,-91.18472222	732059	Shakopee, 5 Mi Sw	https://lichenportal.org/portal/collections/individual/index.php?occid=344904
MIN	Wetmore, C.	Minnesota	Scott	327.99	outside_boundary_exact	not_found_in_US	47.33944444,-91.18472222	732060	Shakopee, 5 Mi Sw	https://lichenportal.org/portal/collections/individual/index.php?occid=344905
MIN	Wetmore, C.	Minnesota	Scott	327.99	outside_boundary_exact	not_found_in_US	47.33944444,-91.18472222	793649	Shakopee, 5 Mi Sw	https://lichenportal.org/portal/collections/individual/index.php?occid=373010
MIN	Cole, M.	Minnesota	Carlton	288.42	outside_boundary_exact	Minnesota, Clay County	47.12666667,-96.79722222	870290	Duluth To Hinkley Bike Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=408189
MIN	Cole, M.	Minnesota	Carlton	288.42	outside_boundary_exact	Minnesota, Clay County	47.12666667,-96.79722222	870291	Duluth To Hinkley Bike Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=408190
MIN	Cole, M.	Minnesota	Carlton	288.42	outside_boundary_exact	Minnesota, Clay County	47.12666667,-96.79722222	870292	Duluth To Hinkley Bike Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=408191
MIN	Wetmore, C.	Minnesota	Anoka	219.34	outside_boundary_exact	Minnesota, Itasca County	47.39277778,-93.18527778	674004	Bethel, 2 Mi E; Cedar Creek Ecosystem Science Reserve	https://lichenportal.org/portal/collections/individual/index.php?occid=322754
MIN	Wetmore, C.	Minnesota	Anoka	219.34	outside_boundary_exact	Minnesota, Itasca County	47.39277778,-93.18527778	674005	Bethel, 2 Mi E; Cedar Creek Ecosystem Science Reserve	https://lichenportal.org/portal/collections/individual/index.php?occid=322755
MIN	Wetmore, C.	Minnesota	Anoka	219.34	outside_boundary_exact	Minnesota, Itasca County	47.39277778,-93.18527778	674006	Bethel, 2 Mi E; Cedar Creek Ecosystem Science Reserve	https://lichenportal.org/portal/collections/individual/index.php?occid=322756
MIN	Wetmore, C.	Minnesota	Anoka	219.34	outside_boundary_exact	Minnesota, Itasca County	47.39277778,-93.18527778	674007	Bethel, 2 Mi E; Cedar Creek Ecosystem Science Reserve	https://lichenportal.org/portal/collections/individual/index.php?occid=322757
MIN	Wetmore, C.	Minnesota	Anoka	219.34	outside_boundary_exact	Minnesota, Itasca County	47.39277778,-93.18527778	674008	Bethel, 2 Mi E; Cedar Creek Ecosystem Science Reserve	https://lichenportal.org/portal/collections/individual/index.php?occid=322758
MIN	Wetmore, C.	Minnesota	Anoka	219.34	outside_boundary_exact	Minnesota, Itasca County	47.39277778,-93.18527778	674009	Bethel, 2 Mi E; Cedar Creek Ecosystem Science Reserve	https://lichenportal.org/portal/collections/individual/index.php?occid=322759
MIN	Wetmore, C.	Minnesota	Anoka	219.34	outside_boundary_exact	Minnesota, Itasca County	47.39277778,-93.18527778	674010	Bethel, 2 Mi E; Cedar Creek Ecosystem Science Reserve	https://lichenportal.org/portal/collections/individual/index.php?occid=322760
MIN	Wetmore, C.	Minnesota	Anoka	219.34	outside_boundary_exact	Minnesota, Itasca County	47.39277778,-93.18527778	674011	Bethel, 2 Mi E; Cedar Creek Ecosystem Science Reserve	https://lichenportal.org/portal/collections/individual/index.php?occid=322761
MIN	Wetmore, C.	Minnesota	Anoka	219.34	outside_boundary_exact	Minnesota, Itasca County	47.39277778,-93.18527778	674012	Bethel, 2 Mi E; Cedar Creek Ecosystem Science Reserve	https://lichenportal.org/portal/collections/individual/index.php?occid=322762
MIN	Wetmore, C.	Minnesota	Anoka	219.34	outside_boundary_exact	Minnesota, Itasca County	47.39277778,-93.18527778	674013	Bethel, 2 Mi E; Cedar Creek Ecosystem Science Reserve	https://lichenportal.org/portal/collections/individual/index.php?occid=322763
MIN	Wetmore, C.	Minnesota	Anoka	219.34	outside_boundary_exact	Minnesota, Itasca County	47.39277778,-93.18527778	674014	Bethel, 2 Mi E; Cedar Creek Ecosystem Science Reserve	https://lichenportal.org/portal/collections/individual/index.php?occid=322764
MIN	Wetmore, C.	Minnesota	Anoka	219.34	outside_boundary_exact	Minnesota, Itasca County	47.39277778,-93.18527778	674015	Bethel, 2 Mi E; Cedar Creek Ecosystem Science Reserve	https://lichenportal.org/portal/collections/individual/index.php?occid=322765
MIN	Wetmore, C.	Minnesota	Anoka	219.34	outside_boundary_exact	Minnesota, Itasca County	47.39277778,-93.18527778	674016	Bethel, 2 Mi E; Cedar Creek Ecosystem Science Reserve	https://lichenportal.org/portal/collections/individual/index.php?occid=322766
MIN	Wetmore, C.	Minnesota	Anoka	219.34	outside_boundary_exact	Minnesota, Itasca County	47.39277778,-93.18527778	674017	Bethel, 2 Mi E; Cedar Creek Ecosystem Science Reserve	https://lichenportal.org/portal/collections/individual/index.php?occid=322767
MIN	Wetmore, C.	Minnesota	Anoka	219.34	outside_boundary_exact	Minnesota, Itasca County	47.39277778,-93.18527778	674042	Bethel, 2 Mi E; Cedar Creek Ecosystem Science Reserve	https://lichenportal.org/portal/collections/individual/index.php?occid=322792
MIN	Wetmore, C.	Minnesota	Anoka	219.34	outside_boundary_exact	Minnesota, Itasca County	47.39277778,-93.18527778	684338	Bethel, 2 Mi E; Cedar Creek Ecosystem Science Reserve	https://lichenportal.org/portal/collections/individual/index.php?occid=327104
MIN	Wetmore, C.	Minnesota	Anoka	219.34	outside_boundary_exact	Minnesota, Itasca County	47.39277778,-93.18527778	684339	Bethel, 2 Mi E; Cedar Creek Ecosystem Science Reserve	https://lichenportal.org/portal/collections/individual/index.php?occid=327105
MIN	Wetmore, C.	Minnesota	Anoka	219.34	outside_boundary_exact	Minnesota, Itasca County	47.39277778,-93.18527778	684340	Bethel, 2 Mi E; Cedar Creek Ecosystem Science Reserve	https://lichenportal.org/portal/collections/individual/index.php?occid=327106
MIN	Wetmore, C.	Minnesota	Anoka	219.34	outside_boundary_exact	Minnesota, Itasca County	47.39277778,-93.18527778	684341	Bethel, 2 Mi E; Cedar Creek Ecosystem Science Reserve	https://lichenportal.org/portal/collections/individual/index.php?occid=327107
MIN	Wetmore, C.	Minnesota	Anoka	219.34	outside_boundary_exact	Minnesota, Itasca County	47.39277778,-93.18527778	779669	Bethel, 2 Mi E; Cedar Creek Ecosystem Science Reserve	https://lichenportal.org/portal/collections/individual/index.php?occid=363153
MIN	Wetmore, C.	Minnesota	Anoka	219.34	outside_boundary_exact	Minnesota, Itasca County	47.39277778,-93.18527778	815718	Bethel, 2 Mi E; Cedar Creek Ecosystem Science Reserve	https://lichenportal.org/portal/collections/individual/index.php?occid=384579
