occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
308897	MIN	Wetmore, C.	South Dakota	Meade	8762.87	outside_boundary_exact	629349	22.05,-6	not_found_in_US	Black Hills, Stagebarn Canyon	https://lichenportal.org/portal/collections/individual/index.php?occid=308897
306137	MIN	Wetmore, C.	South Dakota	Pennington	5488.64	outside_boundary_exact	625923	43.86555556,-31.53194444	not_found_in_US	Black Hills, Harney Peak	https://lichenportal.org/portal/collections/individual/index.php?occid=306137
306854	MIN	Wetmore, C.	South Dakota	Pennington	5488.64	outside_boundary_exact	626818	43.86555556,-31.53194444	not_found_in_US	Black Hills, Harney Peak	https://lichenportal.org/portal/collections/individual/index.php?occid=306854
306867	MIN	Wetmore, C.	South Dakota	Pennington	5488.64	outside_boundary_exact	626831	43.86555556,-31.53194444	not_found_in_US	Black Hills, Harney Peak	https://lichenportal.org/portal/collections/individual/index.php?occid=306867
307317	MIN	Wetmore, C.	South Dakota	Pennington	5488.64	outside_boundary_exact	627315	43.86555556,-31.53194444	not_found_in_US	Black Hills, Harney Peak	https://lichenportal.org/portal/collections/individual/index.php?occid=307317
308794	MIN	Wetmore, C.	South Dakota	Pennington	5488.64	outside_boundary_exact	629209	43.86555556,-31.53194444	not_found_in_US	Black Hills, Harney Peak	https://lichenportal.org/portal/collections/individual/index.php?occid=308794
387232	MIN	Wetmore, C.	South Dakota	Pennington	5488.64	outside_boundary_exact	823465	43.86555556,-31.53194444	not_found_in_US	Black Hills, Harney Peak	https://lichenportal.org/portal/collections/individual/index.php?occid=387232
304851	MIN	Wetmore, C.	South Dakota	Pennington	85.86	outside_boundary_exact	624333	43.08666667,-103.5727778	South Dakota, Fall River County	Black Hills, Silver City, 0.5 Mi W	https://lichenportal.org/portal/collections/individual/index.php?occid=304851
307055	MIN	Wetmore, C.	South Dakota	Pennington	85.86	outside_boundary_exact	627024	43.08666667,-103.5727778	South Dakota, Fall River County	Black Hills, Silver City, 0.5 Mi W	https://lichenportal.org/portal/collections/individual/index.php?occid=307055
312304	MIN	Wetmore, C.	South Dakota	Pennington	85.86	outside_boundary_exact	652388	43.08666667,-103.5727778	South Dakota, Fall River County	Black Hills, Silver City, 0.5 Mi W	https://lichenportal.org/portal/collections/individual/index.php?occid=312304
306715	MIN	Wetmore, C.	South Dakota	Pennington	69.19	outside_boundary_exact	626579	44.76166667,-103.4886111	South Dakota, Butte County	Black Hills, Pactola Work Center, 0.9 Mi W	https://lichenportal.org/portal/collections/individual/index.php?occid=306715
307062	MIN	Wetmore, C.	South Dakota	Pennington	69.19	outside_boundary_exact	627032	44.76166667,-103.4886111	South Dakota, Butte County	Black Hills, Pactola Work Center, 0.9 Mi W	https://lichenportal.org/portal/collections/individual/index.php?occid=307062
