institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
MIN	Wetmore, C.	Vermont	Bennington	310.81	outside_boundary_exact	not_found_in_US	46.10083333,-73.00916667	823726	0.5 Mi S of Bourn Pond; Lye Brook Wilderness	https://lichenportal.org/portal/collections/individual/index.php?occid=387493
MIN	Wetmore, C.	Vermont	Bennington	310.81	outside_boundary_exact	not_found_in_US	46.10083333,-73.00916667	823727	0.5 Mi S of Bourn Pond; Lye Brook Wilderness	https://lichenportal.org/portal/collections/individual/index.php?occid=387494
MIN	Wetmore, C.	Vermont	Bennington	310.81	outside_boundary_exact	not_found_in_US	46.10083333,-73.00916667	823728	0.5 Mi S of Bourn Pond; Lye Brook Wilderness	https://lichenportal.org/portal/collections/individual/index.php?occid=387495
MIN	Wetmore, C.	Vermont	Bennington	310.81	outside_boundary_exact	not_found_in_US	46.10083333,-73.00916667	823729	0.5 Mi S of Bourn Pond; Lye Brook Wilderness	https://lichenportal.org/portal/collections/individual/index.php?occid=387496
MIN	Wetmore, C.	Vermont	Bennington	310.81	outside_boundary_exact	not_found_in_US	46.10083333,-73.00916667	823730	0.5 Mi S of Bourn Pond; Lye Brook Wilderness	https://lichenportal.org/portal/collections/individual/index.php?occid=387497
MIN	Wetmore, C.	Vermont	Bennington	310.81	outside_boundary_exact	not_found_in_US	46.10083333,-73.00916667	823732	0.5 Mi S of Bourn Pond; Lye Brook Wilderness	https://lichenportal.org/portal/collections/individual/index.php?occid=387499
MIN	Wetmore, C.	Vermont	Bennington	310.81	outside_boundary_exact	not_found_in_US	46.10083333,-73.00916667	823733	0.5 Mi S of Bourn Pond; Lye Brook Wilderness	https://lichenportal.org/portal/collections/individual/index.php?occid=387500
MIN	Wetmore, C.	Vermont	Bennington	310.81	outside_boundary_exact	not_found_in_US	46.10083333,-73.00916667	823734	0.5 Mi S of Bourn Pond; Lye Brook Wilderness	https://lichenportal.org/portal/collections/individual/index.php?occid=387501
MIN	Wetmore, C.	Vermont	Bennington	310.81	outside_boundary_exact	not_found_in_US	46.10083333,-73.00916667	823735	0.5 Mi S of Bourn Pond; Lye Brook Wilderness	https://lichenportal.org/portal/collections/individual/index.php?occid=387502
MIN	Wetmore, C.	Vermont	Bennington	310.81	outside_boundary_exact	not_found_in_US	46.10083333,-73.00916667	823736	0.5 Mi S of Bourn Pond; Lye Brook Wilderness	https://lichenportal.org/portal/collections/individual/index.php?occid=387503
MIN	Wetmore, C.	Vermont	Bennington	310.81	outside_boundary_exact	not_found_in_US	46.10083333,-73.00916667	823737	0.5 Mi S of Bourn Pond; Lye Brook Wilderness	https://lichenportal.org/portal/collections/individual/index.php?occid=387504
MIN	Wetmore, C.	Vermont	Bennington	310.81	outside_boundary_exact	not_found_in_US	46.10083333,-73.00916667	823738	0.5 Mi S of Bourn Pond; Lye Brook Wilderness	https://lichenportal.org/portal/collections/individual/index.php?occid=387505
MIN	Wetmore, C.	Vermont	Bennington	310.81	outside_boundary_exact	not_found_in_US	46.10083333,-73.00916667	823739	0.5 Mi S of Bourn Pond; Lye Brook Wilderness	https://lichenportal.org/portal/collections/individual/index.php?occid=387506
MIN	Wetmore, C.	Vermont	Bennington	310.81	outside_boundary_exact	not_found_in_US	46.10083333,-73.00916667	823740	0.5 Mi S of Bourn Pond; Lye Brook Wilderness	https://lichenportal.org/portal/collections/individual/index.php?occid=387507
MIN	Wetmore, C.	Vermont	Bennington	310.81	outside_boundary_exact	not_found_in_US	46.10083333,-73.00916667	823741	0.5 Mi S of Bourn Pond; Lye Brook Wilderness	https://lichenportal.org/portal/collections/individual/index.php?occid=387508
