occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
302668	MIN	Herre, A.	Washington	Whatcom	268.94	outside_boundary_exact	445733	47.767392,-117.354939	Washington, Spokane County	Ten Mile Twp., Maple Mead	https://lichenportal.org/portal/collections/individual/index.php?occid=302668
933443	MIN	Rosentreter, R.	Washington	Okanogan	34.61	outside_boundary_exact	918414	49.255,-121.1275	not_found_in_US	Summit of Haystack Mt; Pasayten Wilderness Area	https://lichenportal.org/portal/collections/individual/index.php?occid=933443
395222	MIN	Ryan, B.	Washington	Kittitas	24.47	outside_boundary_exact	843458	46.89166667,-121.55	Washington, Pierce County	Spring Creek Rd	https://lichenportal.org/portal/collections/individual/index.php?occid=395222
395223	MIN	Ryan, B.	Washington	Kittitas	24.47	outside_boundary_exact	843459	46.89166667,-121.55	Washington, Pierce County	Spring Creek Rd	https://lichenportal.org/portal/collections/individual/index.php?occid=395223
396913	MIN	Rosentreter, R.	Washington	King	13.95	outside_boundary_exact	847009	47.56666667,-120.9333333	Washington, Chelan County	Seattle, U of Wa Campus	https://lichenportal.org/portal/collections/individual/index.php?occid=396913
402072	MIN	Nash, T.	Washington	Klickitat	8.45	outside_boundary_exact	860779	45.70833333,-121.6333333	Oregon, Hood River County	Columbia River Gorge	https://lichenportal.org/portal/collections/individual/index.php?occid=402072
402073	MIN	Nash, T.	Washington	Klickitat	8.45	outside_boundary_exact	860780	45.70833333,-121.6333333	Oregon, Hood River County	Columbia River Gorge	https://lichenportal.org/portal/collections/individual/index.php?occid=402073
402074	MIN	Nash, T.	Washington	Klickitat	8.45	outside_boundary_exact	860781	45.70833333,-121.6333333	Oregon, Hood River County	Columbia River Gorge	https://lichenportal.org/portal/collections/individual/index.php?occid=402074
407393	MIN	Nash, T.	Washington	Klickitat	8.45	outside_boundary_exact	869307	45.70833333,-121.6333333	Oregon, Hood River County	Rowland Lake, Columbia River Gorge	https://lichenportal.org/portal/collections/individual/index.php?occid=407393
407397	MIN	Nash, T.	Washington	Klickitat	8.45	outside_boundary_exact	869311	45.70833333,-121.6333333	Oregon, Hood River County	Rowland Lake, Columbia River Gorge	https://lichenportal.org/portal/collections/individual/index.php?occid=407397
407404	MIN	Nash, T.	Washington	Klickitat	8.45	outside_boundary_exact	869318	45.70833333,-121.6333333	Oregon, Hood River County	Rowland Lake, Columbia River Gorge	https://lichenportal.org/portal/collections/individual/index.php?occid=407404
