occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
1460672	MONT	Kendra Coloff	Alaska	Matanuska Susitna	404.83	outside_boundary_similarity_0.765	MONT-L-0006124	62.7575,-159.8675	Alaska, Yukon-Koyukuk County	Denali State Park; On top of Ermine Hill Trail, adjacent to Giardia Lake.	https://lichenportal.org/portal/collections/individual/index.php?occid=1460672
1320894	MONT	Sharon Eversman	Alaska	Matanuska Susitna	42.16	outside_boundary_similarity_0.765	MONT-L-0001657	61,-148.333333	Alaska, Chugach County	Harriman Fiord, 12 km NNW of Whittier, Chugach National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1320894
1320895	MONT	Sharon Eversman	Alaska	Matanuska Susitna	42.16	outside_boundary_similarity_0.765	MONT-L-0001658	61,-148.333333	Alaska, Chugach County	Harriman Fiord, 12 km NNW of Whittier. Chugach National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1320895
1366578	MONT	Sharon Eversman	Alaska	Matanuska Susitna	42.16	outside_boundary_similarity_0.765	MONT-L-0001874	61,-148.333333	Alaska, Chugach County	Harriman Fiord, 12 km NNW of Whittier. Chugach National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1366578
1367622	MONT	Sharon Eversman	Alaska	Matanuska Susitna	42.16	outside_boundary_similarity_0.765	MONT-L-0002057	61,-148.333333	Alaska, Chugach County	Harriman Fjord, 12 km NNW of Whittier, Chugach National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1367622
1370456	MONT	Sharon Eversman	Alaska	Matanuska Susitna	42.16	outside_boundary_similarity_0.765	MONT-L-0002551	61,-148.333333	Alaska, Chugach County	Coxe Glacier, Harriman Fiord 12 km NNW of Whittier, Chugach National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1370456
1370547	MONT	Sharon Eversman	Alaska	Matanuska Susitna	42.16	outside_boundary_similarity_0.765	MONT-L-0002642	61,-148.333333	Alaska, Chugach County	Harriman Fiord 12 km NNW of Whittier, Chugach National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1370547
1370638	MONT	Sharon Eversman	Alaska	Matanuska Susitna	42.16	outside_boundary_similarity_0.765	MONT-L-0002733	61,-148.333333	Alaska, Chugach County	Harriman Fiord 12 km NNW of Whittier, Chugach National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1370638
1389625	MONT	Sharon Eversman	Alaska	Matanuska Susitna	42.16	outside_boundary_similarity_0.765	MONT-L-0004134	61,-148.333333	Alaska, Chugach County	Harriman Fiord 12 km NNW of Whittier, Chugach National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1389625
1389626	MONT	Sharon Eversman	Alaska	Matanuska Susitna	42.16	outside_boundary_similarity_0.765	MONT-L-0004135	61,-148.333333	Alaska, Chugach County	Harriman Fiord 12 km NNW of Whittier, Chugach National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1389626
1389629	MONT	Sharon Eversman	Alaska	Matanuska Susitna	42.16	outside_boundary_similarity_0.765	MONT-L-0004138	61,-148.333333	Alaska, Chugach County	Harriman Fiord, 12 km NNW of Whittier. Chugach National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1389629
1437478	MONT	Sharon Eversman	Alaska	Matanuska Susitna	42.16	outside_boundary_similarity_0.765	MONT-L-0004597	61,-148.333333	Alaska, Chugach County	Harriman Fiord, 12 km NNW of Whittier. Chugach National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1437478
1437507	MONT	Sharon Eversman	Alaska	Matanuska Susitna	42.16	outside_boundary_similarity_0.765	MONT-L-0004626	61,-148.333333	Alaska, Chugach County	Harriman Fiord, 12 km NNW of Whittier, Chugach National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1437507
1437589	MONT	Sharon Eversman	Alaska	Matanuska Susitna	42.16	outside_boundary_similarity_0.765	MONT-L-0004708	61,-148.333333	Alaska, Chugach County	Harriman Fiord, 12 km NNW of Whittier. Chugach National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1437589
1437592	MONT	Sharon Eversman	Alaska	Matanuska Susitna	42.16	outside_boundary_similarity_0.765	MONT-L-0004711	61,-148.333333	Alaska, Chugach County	Harriman Fiord, 12 km NNW of Whittier, Chugach National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1437592
1437611	MONT	Sharon Eversman	Alaska	Matanuska Susitna	42.16	outside_boundary_similarity_0.765	MONT-L-0004730	61,-148.333333	Alaska, Chugach County	Harriman Fiord, 12 km NNW of Whittier. Chugach National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1437611
1437632	MONT	Sharon Eversman	Alaska	Matanuska Susitna	42.16	outside_boundary_similarity_0.765	MONT-L-0004751	61,-148.333333	Alaska, Chugach County	12 km NNW of Whittier, Chugach National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1437632
1437635	MONT	Sharon Eversman	Alaska	Matanuska Susitna	42.16	outside_boundary_similarity_0.765	MONT-L-0004754	61,-148.333333	Alaska, Chugach County	Harriman Fiord, 12 km NNW of Whittier. Chugach National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1437635
1438142	MONT	Sharon Eversman	Alaska	Matanuska Susitna	42.16	outside_boundary_similarity_0.765	MONT-L-0005261	61,-148.333333	Alaska, Chugach County	Harriman Fiord, 12 km NNW of Whittier. Chugach National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1438142
1438183	MONT	Sharon Eversman	Alaska	Matanuska Susitna	42.16	outside_boundary_similarity_0.765	MONT-L-0005302	61,-148.333333	Alaska, Chugach County	Harriman Fiord 12 km NNW of Whittier, Chugach National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1438183
1438184	MONT	Sharon Eversman	Alaska	Matanuska Susitna	42.16	outside_boundary_similarity_0.765	MONT-L-0005303	61,-148.333333	Alaska, Chugach County	Harriman Fiord 12 km NNW of Whittier, Chugach National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1438184
1460980	MONT	Sharon Eversman	Alaska	Matanuska Susitna	42.16	outside_boundary_similarity_0.765	MONT-L-0005990	61,-148.333333	Alaska, Chugach County	Serpentine Glacier, Harriman Fiord 12 km NNW of Whittier, Chugach National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1460980
1461038	MONT	Sharon Eversman	Alaska	Matanuska Susitna	42.16	outside_boundary_similarity_0.765	MONT-L-0006048	61,-148.333333	Alaska, Chugach County	Harriman Fiord 12 km NNW of Whittier, Chugach National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1461038
1461039	MONT	Sharon Eversman	Alaska	Matanuska Susitna	42.16	outside_boundary_similarity_0.765	MONT-L-0006049	61,-148.333333	Alaska, Chugach County	Harriman Fiord, 12 km NNW of Whittier. Chugach National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1461039
1461040	MONT	Sharon Eversman	Alaska	Matanuska Susitna	42.16	outside_boundary_similarity_0.765	MONT-L-0006050	61,-148.333333	Alaska, Chugach County	Harriman Fiord, 12 km NNW of Whittier. Chugach National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1461040
1461478	MONT	Sharon Eversman	Alaska	Matanuska Susitna	42.16	outside_boundary_similarity_0.765	MONT-L-0006918	61,-148.333333	Alaska, Chugach County	Harriman Fiord 12 km NNW of Whittier, Chugach National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1461478
1461479	MONT	Sharon Eversman	Alaska	Matanuska Susitna	42.16	outside_boundary_similarity_0.765	MONT-L-0006919	61,-148.333333	Alaska, Chugach County	Harriman Fiord, 12 km NNW of Whittier. Chugach National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1461479
1461578	MONT	Sharon Eversman	Alaska	Matanuska Susitna	42.16	outside_boundary_similarity_0.765	MONT-L-0006375	61,-148.333333	Alaska, Chugach County	Harriman Fiord 12 km NNW of Whittier, Chugach National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1461578
1461579	MONT	Sharon Eversman	Alaska	Matanuska Susitna	42.16	outside_boundary_similarity_0.765	MONT-L-0006376	61,-148.333333	Alaska, Chugach County	Harriman Fiord, 12 km NNW of Whittier. Chugach National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1461579
1461868	MONT	Sharon Eversman	Alaska	Matanuska Susitna	42.16	outside_boundary_similarity_0.765	MONT-L-0007098	61,-148.333333	Alaska, Chugach County	Harriman Fiord, 12 km NNW of Whittier. Chugach National Forest. Near Coxe Glacier	https://lichenportal.org/portal/collections/individual/index.php?occid=1461868
1389695	MONT	Roger Rosentreter	Alaska	Fairbanks North Star	31.15	outside_boundary_exact	MONT-L-0004204	65.4827,-145.4153	Alaska, Yukon-Koyukuk County	Eagle Summit, north and west of parking area, Steese Highway	https://lichenportal.org/portal/collections/individual/index.php?occid=1389695
