occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
1388292	MONT	Lisa A. Schubloom	Montana	Jefferson	189.9	outside_boundary_exact	MONT-L-0003548	48.288056,-111.886389	Montana, Pondera County	Muskrat Creek, trail 72, 14 km NE of Boulder, MT. Elkhom Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1388292
1467459	MONT	Lisa A. Schubloom	Montana	Jefferson	189.9	outside_boundary_exact	MONT-L-0008344	48.288056,-111.886389	Montana, Pondera County	Middle Fork Warm Springs 8 km SE of Alhambra, MT. Elkhorn Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1467459
1388523	MONT	Jessie Salix	Montana	Jefferson	139.9	outside_boundary_exact	MONT-L-0003779	47.834667,-111.85095	Montana, Teton County	Lewis & Clark Caverns State Park, on rocky slope below north facing ridge in Dynamite Gulch.	https://lichenportal.org/portal/collections/individual/index.php?occid=1388523
1319240	MONT	Lisa A Schubloom	Montana	Lewis And Clark	137.89	outside_boundary_exact	MONT-L-0000003	48.879167,-111.741667	Montana, Toole County	Gates of the Mountains Wilderness	https://lichenportal.org/portal/collections/individual/index.php?occid=1319240
1437375	MONT	Lisa A. Schubloom	Montana	Lewis And Clark	134.82	outside_boundary_exact	MONT-L-0004494	48.915556,-111.867778	Montana, Toole County	Willow Creek trail 258, 37 km SE of Wolf Creek, MT, Gates of the Mountains Wilderness, Helena National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1437375
1466700	MONT	Sharon Eversman	Montana	Sweet Grass	117.67	outside_boundary_exact	MONT-L-0007392	47.283333,-110.25	Montana, Judith Basin County	Boulder River Canyon, 90 km S of Big Timber Gallatin National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1466700
1437692	MONT	Sharon Eversman	Montana	Lewis & Clark	115.09	outside_boundary_multi_county_2_of_2	MONT-L-0004811	45.4,-111.966667	Montana, Madison County	Middle Fork of Warm Springs Creek, 8 km SE of Alhambra, Helena National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1437692
1437800	MONT	Sharon Eversman	Montana	Lewis & Clark	115.09	outside_boundary_multi_county_2_of_2	MONT-L-0004919	45.4,-111.96667	Montana, Madison County	Warm Springs Creek, Helena National Forest Middle Fork, 8 km SE Alhambra.	https://lichenportal.org/portal/collections/individual/index.php?occid=1437800
1438596	MONT	Sharon Eversman	Montana	Lewis & Clark	115.09	outside_boundary_multi_county_2_of_2	MONT-L-0005715	45.4,-111.966667	Montana, Madison County	Warm Springs Creek, Middle Fork, 8 km SE Alhambra, Helena National Forest, Elkhorn Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1438596
1466557	MONT	Sharon Eversman	Montana	Lewis and Clark	115.09	outside_boundary_exact	MONT-L-0007249	45.4,-111.966667	Montana, Madison County	Warm Springs Creek, Helena National Forest Middle Fork, 8 km SE Alhambra.	https://lichenportal.org/portal/collections/individual/index.php?occid=1466557
