occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
1416100	MOR	Gerould Wilhelm	Florida	Escambia	1.02	outside_boundary_exact	L-0000756-MOR	30.373507,-86.908248	Florida, Santa Rosa County	West of Navarre, off the north side of Via Deluna (Rt. 399), north of the easternmost beach access facility of the Gulf Islands National Seashore.	https://lichenportal.org/portal/collections/individual/index.php?occid=1416100
1418873	MOR	Gerould Wilhelm	Florida	Leon	0.37	outside_boundary_exact	L-0002702-MOR	30.3,-84.35	Florida, Wakulla County	Apalachicola National Forest, Leon Sinks Geological Area, along US 319 just north of Wakulla County Line.	https://lichenportal.org/portal/collections/individual/index.php?occid=1418873
1432784	MOR	Gerould Wilhelm	Florida	Leon	0.37	outside_boundary_exact	L-0004209-MOR	30.3,-84.35	Florida, Wakulla County	Apalachicola National Forest, Leon Sinks Geological Area, along US 319 just north of Wakulla County Line.	https://lichenportal.org/portal/collections/individual/index.php?occid=1432784
1433470	MOR	Gerould Wilhelm	Florida	Leon	0.37	outside_boundary_exact	L-0004897-MOR	30.3,-84.35	Florida, Wakulla County	Apalachicola National Forest, Leon Sinks Geological Area, along US 319 just north of Wakulla County Line.	https://lichenportal.org/portal/collections/individual/index.php?occid=1433470
1434204	MOR	Gerould Wilhelm	Florida	Leon	0.37	outside_boundary_exact	L-0005625-MOR	30.3,-84.35	Florida, Wakulla County	Apalachicola National Forest, Leon Sinks Geological Area, along US 319 just north of Wakulla County Line.	https://lichenportal.org/portal/collections/individual/index.php?occid=1434204
1434205	MOR	Gerould Wilhelm	Florida	Leon	0.37	outside_boundary_exact	L-0005626-MOR	30.3,-84.35	Florida, Wakulla County	Apalachicola National Forest, Leon Sinks Geological Area, along US 319 just north of Wakulla County Line.	https://lichenportal.org/portal/collections/individual/index.php?occid=1434205
1434206	MOR	Gerould Wilhelm	Florida	Leon	0.37	outside_boundary_exact	L-0005627-MOR	30.3,-84.35	Florida, Wakulla County	Apalachicola National Forest, Leon Sinks Geological Area, along US 319 just north of Wakulla County Line.	https://lichenportal.org/portal/collections/individual/index.php?occid=1434206
1434233	MOR	Gerould Wilhelm	Florida	Leon	0.37	outside_boundary_exact	L-0005654-MOR	30.3,-84.35	Florida, Wakulla County	Apalachicola National Forest, Leon Sinks Geological Area, along US 319 just north of Wakulla County Line.	https://lichenportal.org/portal/collections/individual/index.php?occid=1434233
1434234	MOR	Gerould Wilhelm	Florida	Leon	0.37	outside_boundary_exact	L-0005655-MOR	30.3,-84.35	Florida, Wakulla County	Apalachicola National Forest, Leon Sinks Geological Area, along US 319 just north of Wakulla County Line.	https://lichenportal.org/portal/collections/individual/index.php?occid=1434234
1434286	MOR	Gerould Wilhelm	Florida	Leon	0.37	outside_boundary_exact	L-0005707-MOR	30.3,-84.35	Florida, Wakulla County	Apalachicola National Forest, Leon Sinks Geological Area, along US 319 just north of Wakulla County Line.	https://lichenportal.org/portal/collections/individual/index.php?occid=1434286
1434294	MOR	Gerould Wilhelm	Florida	Leon	0.37	outside_boundary_exact	L-0005715-MOR	30.3,-84.35	Florida, Wakulla County	Apalachicola National Forest, Leon Sinks Geological Area, along US 319 just north of Wakulla County Line.	https://lichenportal.org/portal/collections/individual/index.php?occid=1434294
1434345	MOR	Gerould Wilhelm	Florida	Leon	0.37	outside_boundary_exact	L-0005766-MOR	30.3,-84.35	Florida, Wakulla County	Apalachicola National Forest, Leon Sinks Geological Area, along US 319 just north of Wakulla County Line.	https://lichenportal.org/portal/collections/individual/index.php?occid=1434345
1434419	MOR	Gerould Wilhelm	Florida	Leon	0.37	outside_boundary_exact	L-0005840-MOR	30.3,-84.35	Florida, Wakulla County	Apalachicola National Forest, Leon Sinks Geological Area, along US 319 just north of Wakulla County Line.	https://lichenportal.org/portal/collections/individual/index.php?occid=1434419
1441030	MOR	Gerould Wilhelm	Florida	Leon	0.37	outside_boundary_exact	L-0007124-MOR	30.3,-84.35	Florida, Wakulla County	Apalachicola National Forest, Leon Sinks Geological Area, along US 319 just north of Wakulla County Line.	https://lichenportal.org/portal/collections/individual/index.php?occid=1441030
1441668	MOR	Gerould Wilhelm	Florida	Leon	0.37	outside_boundary_exact	L-0007767-MOR	30.3,-84.35	Florida, Wakulla County	Apalachicola National Forest, Leon Sinks Geological Area, along US 319 just north of Wakulla County Line.	https://lichenportal.org/portal/collections/individual/index.php?occid=1441668
1441669	MOR	Gerould Wilhelm	Florida	Leon	0.37	outside_boundary_exact	L-0007768-MOR	30.3,-84.35	Florida, Wakulla County	Apalachicola National Forest, Leon Sinks Geological Area, along US 319 just north of Wakulla County Line.	https://lichenportal.org/portal/collections/individual/index.php?occid=1441669
1441683	MOR	Gerould Wilhelm	Florida	Leon	0.37	outside_boundary_exact	L-0007782-MOR	30.3,-84.35	Florida, Wakulla County	Apalachicola National Forest, Leon Sinks Geological Area, along US 319 just north of Wakulla County Line; calcareous sinkholes surrounded by oak-pine scrub and Nyssa swamp	https://lichenportal.org/portal/collections/individual/index.php?occid=1441683
2235134	MOR	Gerould Wilhelm	Florida	Leon	0.37	outside_boundary_exact	L-0009397-MOR	30.3,-84.35	Florida, Wakulla County	Apalachicola National Forest, Leon Sinks Geological Area, along US 319 just north of Wakulla County Line.	https://lichenportal.org/portal/collections/individual/index.php?occid=2235134
2236159	MOR	Gerould Wilhelm	Florida	Leon	0.37	outside_boundary_exact	L-0015529-MOR	30.3,-84.35	Florida, Wakulla County	Apalachicola National Forest, Leon Sinks Geological Area, along US 319 just north of Wakulla County Line.	https://lichenportal.org/portal/collections/individual/index.php?occid=2236159
2238038	MOR	Gerould Wilhelm	Florida	Leon	0.37	outside_boundary_exact	L-0008758-MOR	30.3,-84.35	Florida, Wakulla County	Apalachicola National Forest, Leon Sinks Geological Area, along US 319 just north of Wakulla County Line.	https://lichenportal.org/portal/collections/individual/index.php?occid=2238038
2238678	MOR	Gerould Wilhelm	Florida	Leon	0.37	outside_boundary_exact	L-0011153-MOR	30.3,-84.35	Florida, Wakulla County	Apalachicola National Forest, Leon Sinks Geological Area, along US 319 just north of Wakulla County Line.	https://lichenportal.org/portal/collections/individual/index.php?occid=2238678
2239121	MOR	Gerould Wilhelm	Florida	Leon	0.37	outside_boundary_exact	L-0014148-MOR	30.3,-84.35	Florida, Wakulla County	Apalachicola National Forest, Leon Sinks Geological Area, along US 319 just north of Wakulla County Line.	https://lichenportal.org/portal/collections/individual/index.php?occid=2239121
2239894	MOR	Gerould Wilhelm	Florida	Leon	0.37	outside_boundary_exact	L-0015373-MOR	30.3,-84.35	Florida, Wakulla County	Apalachicola National Forest, Leon Sinks Geological Area, along US 319 just north of Wakulla County Line.	https://lichenportal.org/portal/collections/individual/index.php?occid=2239894
2240737	MOR	Gerould Wilhelm	Florida	Leon	0.37	outside_boundary_exact	L-0013606-MOR	30.3,-84.35	Florida, Wakulla County	Apalachicola National Forest, Leon Sinks Geological Area, along US 319 just north of Wakulla County Line.	https://lichenportal.org/portal/collections/individual/index.php?occid=2240737
2240768	MOR	Gerould Wilhelm	Florida	Leon	0.37	outside_boundary_exact	L-0014083-MOR	30.3,-84.35	Florida, Wakulla County	Apalachicola National Forest, Leon Sinks Geological Area, along US 319 just north of Wakulla County Line.	https://lichenportal.org/portal/collections/individual/index.php?occid=2240768
2241859	MOR	Gerould Wilhelm	Florida	Leon	0.37	outside_boundary_exact	L-0009504-MOR	30.3,-84.35	Florida, Wakulla County	Apalachicola National Forest, Leon Sinks Geological Area, along US 319 just north of Wakulla County Line.	https://lichenportal.org/portal/collections/individual/index.php?occid=2241859
2242151	MOR	Gerould Wilhelm	Florida	Leon	0.37	outside_boundary_exact	L-0009979-MOR	30.3,-84.35	Florida, Wakulla County	Apalachicola National Forest, Leon Sinks Geological Area, along US 319 just north of Wakulla County Line.	https://lichenportal.org/portal/collections/individual/index.php?occid=2242151
2242197	MOR	Gerould Wilhelm	Florida	Leon	0.37	outside_boundary_exact	L-0014084-MOR	30.3,-84.35	Florida, Wakulla County	Apalachicola National Forest, Leon Sinks Geological Area, along US 319 just north of Wakulla County Line.	https://lichenportal.org/portal/collections/individual/index.php?occid=2242197
2242598	MOR	Gerould Wilhelm	Florida	Leon	0.37	outside_boundary_exact	L-0008065-MOR	30.3,-84.35	Florida, Wakulla County	Apalachicola National Forest, Leon Sinks Geological Area, along US 319 just north of Wakulla County Line.	https://lichenportal.org/portal/collections/individual/index.php?occid=2242598
2242768	MOR	Gerould Wilhelm	Florida	Leon	0.37	outside_boundary_exact	L-0008143-MOR	30.3,-84.35	Florida, Wakulla County	Apalachicola National Forest, Leon Sinks Geological Area, along US 319 just north of Wakulla County Line.	https://lichenportal.org/portal/collections/individual/index.php?occid=2242768
2242933	MOR	Gerould Wilhelm	Florida	Leon	0.37	outside_boundary_exact	L-0009503-MOR	30.3,-84.35	Florida, Wakulla County	Apalachicola National Forest, Leon Sinks Geological Area, along US 319 just north of Wakulla County Line.	https://lichenportal.org/portal/collections/individual/index.php?occid=2242933
2243375	MOR	Gerould Wilhelm	Florida	Leon	0.37	outside_boundary_exact	L-0008066-MOR	30.3,-84.35	Florida, Wakulla County	Apalachicola National Forest, Leon Sinks Geological Area, along US 319 just north of Wakulla County Line.	https://lichenportal.org/portal/collections/individual/index.php?occid=2243375
2243579	MOR	Gerould Wilhelm	Florida	Leon	0.37	outside_boundary_exact	L-0009782-MOR	30.3,-84.35	Florida, Wakulla County	Apalachicola National Forest, Leon Sinks Geological Area, along US 319 just north of Wakulla County Line.	https://lichenportal.org/portal/collections/individual/index.php?occid=2243579
5367547	MOR	Gerould Wilhelm	Florida	Leon	0.37	outside_boundary_exact	L-0018549-MOR	30.3,-84.35	Florida, Wakulla County	Apalachicola National Forest, Leon Sinks Geological Area, along US 319 just north of Wakulla County Line.	https://lichenportal.org/portal/collections/individual/index.php?occid=5367547
