institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
MOR	Richard D. Hyerczyk	Illinois	McHenry	12769.97	outside_boundary_exact	not_found_in_US	42.19464,88.3148	L-0019420-MOR	Near Lake in the Hills, at LITH Fen-IDNR Parcel	https://lichenportal.org/portal/collections/individual/index.php?occid=5648279
MOR	Michael D. Jones	Illinois	Cook	336.17	outside_boundary_exact	Illinois, Greene County	39.300163,-90.550098	L-0018803-MOR	Shaeffer Hollow Hill Prairie	https://lichenportal.org/portal/collections/individual/index.php?occid=5381773
MOR	Gerould Wilhelm	Illinois	Jasper	237.33	outside_boundary_exact	Indiana, Jasper County	41.161801,-86.975265	L-0018431-MOR	South of Teft, on the Jasper/Pulaski Wildlife Refuge, in the vicinity of parking #6.	https://lichenportal.org/portal/collections/individual/index.php?occid=5362581
MOR	Laura Rericha	Illinois	Cook	44.16	outside_boundary_exact	Illinois, Grundy County	41.343963,-88.377705	L-0017312-MOR	Southeast of Morris, south of Pine Bluff Road, along the Mazon River.	https://lichenportal.org/portal/collections/individual/index.php?occid=4811251
MOR	Gerould Wilhelm	Illinois	Marshall	31.19	outside_boundary_exact	Illinois, LaSalle County	41.382997,-89.094978	L-0003161-MOR	About 2 miles north of LaSalle, at Tomahawk Bluff.	https://lichenportal.org/portal/collections/individual/index.php?occid=1419330
MOR	Gerould Wilhelm	Illinois	Marshall	31.19	outside_boundary_exact	Illinois, LaSalle County	41.382997,-89.094978	L-0016887-MOR	About 2 miles north of LaSalle, at Tomahawk Bluff.	https://lichenportal.org/portal/collections/individual/index.php?occid=3445915
MOR	Gerould Wilhelm	Illinois	Marshall	31	outside_boundary_exact	Illinois, LaSalle County	41.381361,-89.092238	L-0004537-MOR	About 2 miles north of La Salle at Tomahawk Bluff.	https://lichenportal.org/portal/collections/individual/index.php?occid=1433114
MOR	Gerould Wilhelm	Illinois	Will	20.85	outside_boundary_exact	Illinois, Kane County	41.864913,-88.427625	L-0016951-MOR	West of Geneva, north of Hughes Road at Johnson's Mound Forest Preserve.	https://lichenportal.org/portal/collections/individual/index.php?occid=3530907
MOR	Richard D. Hyerczyk	Illinois	Will	15.45	outside_boundary_exact	Illinois, Kankakee County	41.06552,-88.14464	L-0010170-MOR	Near Wilmington, 200 ft. SW of Baseline Rd and Gate 10 intersection.	https://lichenportal.org/portal/collections/individual/index.php?occid=2237842
MOR	Michael D. Jones	Illinois	Winnebago	7.51	outside_boundary_exact	Illinois, Ogle County	42.084198,-89.023046	L-0002418-MOR	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=1418583
MOR	Richard D. Hyerczyk	Illinois	Logan	6.99	outside_boundary_exact	Illinois, Mason County	40.16385,-89.6854	L-0006856-MOR	Near Lincoln, along Rt. 700N just east of Rt. 350E.	https://lichenportal.org/portal/collections/individual/index.php?occid=1440850
MOR	A.C. Skorepa	Illinois	Jersey	6.06	outside_boundary_exact	Illinois, Calhoun County	39.117802,-90.674332	L-0000228-MOR	Stump Lake	https://lichenportal.org/portal/collections/individual/index.php?occid=1415570
MOR	A.C. Skorepa	Illinois	Jersey	6.06	outside_boundary_exact	Illinois, Calhoun County	39.117802,-90.674332	L-0000243-MOR	At Stump Lake	https://lichenportal.org/portal/collections/individual/index.php?occid=1415585
MOR	Richard D. Hyerczyk	Illinois	Putnam	3.04	outside_boundary_exact	Illinois, Bureau County	41.283709,-89.377019	L-0000363-MOR	Near Hennepin, along Route 26 at the entrance of the Donnelly State Wildlife Area.	https://lichenportal.org/portal/collections/individual/index.php?occid=1415701
MOR	Hall	Illinois	Menard	2.62	outside_boundary_exact	Illinois, Mason County	40.154129,-89.841922	L-0000498-MOR	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=1415843
MOR	Hall	Illinois	Menard	2.5	outside_boundary_exact	Illinois, Mason County	40.152942,-89.843585	L-0000457-MOR	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=1415795
MOR	Elihu Hall	Illinois	Menard	2.5	outside_boundary_exact	Illinois, Mason County	40.152942,-89.843585	L-0000618-MOR	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=1415963
