occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
179600	MSC	Imshaug, Henry A	Wyoming	Sublette	8382.36	outside_boundary_exact	MSC0101995	43.05,0	not_found_in_US	Ridge of Mt. Lester above Seneca Lake, Wind River range	https://lichenportal.org/portal/collections/individual/index.php?occid=179600
268773	MSC	Imshaug, Henry A	Wyoming	Sublette	8382.36	outside_boundary_exact	MSC0073913	43.05,0	not_found_in_US	Ridge of Mt. Lester above Seneca Lake, Wind River Range	https://lichenportal.org/portal/collections/individual/index.php?occid=268773
260160	MSC	Imshaug, Henry A	Wyoming	Albany	8237.64	outside_boundary_exact	MSC0066134	41.3666649,0	not_found_in_US	Summit of Medicine Bow Peak, Medicine Bow Mts	https://lichenportal.org/portal/collections/individual/index.php?occid=260160
260162	MSC	Imshaug, Henry A	Wyoming	Albany	8237.64	outside_boundary_exact	MSC0066136	41.3666649,0	not_found_in_US	Summit fo Medicine Bow Peak, Medicine Bow Mts	https://lichenportal.org/portal/collections/individual/index.php?occid=260162
276956	MSC	Shushan, Sam	Wyoming	Carbon	6888.85	outside_boundary_exact	MSC0081337	44.1333351135,-17.6402778625	not_found_in_US	Six miles north of Baggs (6300 ft alt.)	https://lichenportal.org/portal/collections/individual/index.php?occid=276956
264537	MSC	Wetmore, Clifford M	Wyoming	Crook	338.95	outside_boundary_exact	MSC0070086	44.162427,-109.337423	Wyoming, Park County	13 miles east of Sioux Falls in Beaver Valley roadside park on US 16	https://lichenportal.org/portal/collections/individual/index.php?occid=264537
268147	MSC	Imshaug, Henry A	Wyoming	Albany	125.42	outside_boundary_exact	MSC0073347	43.01797,-107.38829	Wyoming, Natrona County	Wyoming Alpine Region; Loaf Mt. near Powder River Pass, Big Horn Mts.	https://lichenportal.org/portal/collections/individual/index.php?occid=268147
276738	MSC	Wetmore, Clifford M	Wyoming	Weston	56.06	outside_boundary_exact	MSC0081140	44.68222,-104.762827	Wyoming, Crook County	North of Moore Hill (27 miles northwest of Sundance), north of Moore Hill Cemetary	https://lichenportal.org/portal/collections/individual/index.php?occid=276738
257239	MSC	Wetmore, Clifford M	Wyoming	Crook	40.22	outside_boundary_exact	MSC0063498	44.3,-103.55	South Dakota, Meade County	Wyoming Black Hills; Elk Creek Canyon near junction with Meadow Creek (12 miles E SE of Lead)	https://lichenportal.org/portal/collections/individual/index.php?occid=257239
280402	MSC	Nash III, T. H	Wyoming	Fremont	38.64	outside_boundary_exact	MSC0084763	42.7333336,-109.8333359	Wyoming, Sublette County	Wind River Range, along Papo Agie River just below Sinks Canyon State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=280402
271132	MSC	Wetmore, Clifford M	Wyoming	Big Horn	30.95	outside_boundary_exact	MSC0076055	44.683304,-106.992288	Wyoming, Sheridan County	Near Dayton on US 14 in foothills of Big Horn Mts.	https://lichenportal.org/portal/collections/individual/index.php?occid=271132
272098	MSC	Wetmore, Clifford M	Wyoming	Crook	15.83	outside_boundary_exact	MSC0076927	44.038768,-104.460597	Wyoming, Weston County	Along Skull Creek 3.2 miles south of road to Upton (18 miles northwest of Newcastle)	https://lichenportal.org/portal/collections/individual/index.php?occid=272098
242932	MSC	Imshaug, Henry A	Wyoming	Albany	10.85	outside_boundary_exact	MSC0048464	41.895521,-106.204738	Wyoming, Carbon County	Alpine Region; Summit of Medicine Bow Pk., Medicine Bow Mts.	https://lichenportal.org/portal/collections/individual/index.php?occid=242932
242933	MSC	Imshaug, Henry A	Wyoming	Albany	10.85	outside_boundary_exact	MSC0048465	41.895521,-106.204738	Wyoming, Carbon County	Alpine Region; Summit of Medicine Bow Pk., Medicine Bow Mts.	https://lichenportal.org/portal/collections/individual/index.php?occid=242933
242934	MSC	Imshaug, Henry A	Wyoming	Albany	10.85	outside_boundary_exact	MSC0048466	41.895521,-106.204738	Wyoming, Carbon County	Alpine Region; Summit of Medicine Bow Pk., Medicine Bow Mts.	https://lichenportal.org/portal/collections/individual/index.php?occid=242934
