institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
NCU	Uebel, Edward C.	Maine	Washington	6.59	outside_boundary_exact	Maine, Hancock County	44.583333,-68.1	NCU-L-0005639	Trail to Black Mt. just south of Tunk Lake, NE of Ellsworth; 44.583333 -68.1	https://lichenportal.org/portal/collections/individual/index.php?occid=3127130
NCU	Uebel, Edward C.	Maine	Washington	6.59	outside_boundary_exact	Maine, Hancock County	44.583333,-68.1	NCU-L-0005640	Trail to Black Mt. just south of Tunk Lake, NE of Ellsworth; 44.583333 -68.1	https://lichenportal.org/portal/collections/individual/index.php?occid=3127131
NCU	Uebel, Edward C.	Maine	Washington	6.59	outside_boundary_exact	Maine, Hancock County	44.583333,-68.1	NCU-L-0005645	Millbridge Cemetery along Route 1A; 44.555883 -67.89645	https://lichenportal.org/portal/collections/individual/index.php?occid=3127136
NCU	Uebel, Edward C.	Maine	Washington	1.08	outside_boundary_exact	Maine, Hancock County	44.857833,-68.098567	NCU-L-0005369	Lead Mine Montain off Route 9 near the Washington & Hancock County Line	https://lichenportal.org/portal/collections/individual/index.php?occid=3031947
NCU	Uebel, Edward C.	Maine	Washington	1.08	outside_boundary_exact	Maine, Hancock County	44.857833,-68.098567	NCU-L-0005375	Lead Mine Mountain off Route 9 near the Washington & Hancock County Line	https://lichenportal.org/portal/collections/individual/index.php?occid=3032790
NCU	Uebel, Edward C.	Maine	Washington	1.08	outside_boundary_exact	Maine, Hancock County	44.857833,-68.098567	NCU-L-0005387	Lead Mine Mountain off Route 9 near the Washington & Hancock County Line; 44.857833 -68.098567	https://lichenportal.org/portal/collections/individual/index.php?occid=3032802
NCU	Uebel, Edward C.	Maine	Washington	1.08	outside_boundary_exact	Maine, Hancock County	44.857833,-68.098567	NCU-L-0005402	Lead Mine Mountain off Route 9 near the Washington & Hancock County Line	https://lichenportal.org/portal/collections/individual/index.php?occid=3032817
NCU	Uebel, Edward C.	Maine	Washington	1.08	outside_boundary_exact	Maine, Hancock County	44.857833,-68.098567	NCU-L-0005403	Lead Mine Montain off Route 9 near the Washington & Hancock County Line	https://lichenportal.org/portal/collections/individual/index.php?occid=3032818
NCU	Uebel, Edward C.	Maine	Washington	1.08	outside_boundary_exact	Maine, Hancock County	44.857833,-68.098567	NCU-L-0005487	Lead Mine Mountain off Route 9 near the Washington & Hancock County Line	https://lichenportal.org/portal/collections/individual/index.php?occid=3046386
NCU	Uebel, Edward C.	Maine	Washington	1.08	outside_boundary_exact	Maine, Hancock County	44.857833,-68.098567	NCU-L-0005515	Lead Mine Mountain off Route 9 near the Washington & Hancock County Line	https://lichenportal.org/portal/collections/individual/index.php?occid=3058301
NCU	Uebel, Edward C.	Maine	Washington	1.08	outside_boundary_exact	Maine, Hancock County	44.857833,-68.098567	NCU-L-0005526	Lead Mine Mountain off Route 9 near the Washington & Hancock County Line	https://lichenportal.org/portal/collections/individual/index.php?occid=3058344
NCU	Uebel, Edward C.	Maine	Washington	1.08	outside_boundary_exact	Maine, Hancock County	44.857833,-68.098567	NCU-L-0005531	Lead Mine Mountain off Route 9 near the Washington & Hancock County Line; 44.857833 -68.098567	https://lichenportal.org/portal/collections/individual/index.php?occid=3058349
NCU	Uebel, Edward C.	Maine	Washington	1.08	outside_boundary_exact	Maine, Hancock County	44.857833,-68.098567	NCU-L-0005532	Lead Mine Mountain off Route 9 near the Washington & Hancock County Line	https://lichenportal.org/portal/collections/individual/index.php?occid=3058350
NCU	Uebel, Edward C.	Maine	Washington	1.08	outside_boundary_exact	Maine, Hancock County	44.857833,-68.098567	NCU-L-0005534	Great Wass Island, Little Cape Point Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=3058352
NCU	Uebel, Edward C.	Maine	Washington	1.08	outside_boundary_exact	Maine, Hancock County	44.857833,-68.098567	NCU-L-0005535	Great Wass Island, Little Cape Point Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=3058353
