institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
NCU	Nelson, John B.	South Carolina	Jasper	310.14	outside_boundary_exact	North Carolina, Lincoln County	35.52222,-81.23171	NA	both sides of Sandhill Road 2.4 road miles SE of jct with SC 119, 3.3 air miles NNE of downtown Clyo (GA).	https://lichenportal.org/portal/collections/individual/index.php?occid=3753324
NCU	Nelson, John B.	South Carolina	Jasper	310.14	outside_boundary_exact	North Carolina, Lincoln County	35.52222,-81.23171	NCU-L-0006168	both sides of Sandhill Road 2.4 road miles SE of jct with SC 119, 3.3 air miles NNE of downtown Clyo (GA).	https://lichenportal.org/portal/collections/individual/index.php?occid=3753346
NCU	Nelson, John B.	South Carolina	Jasper	310.14	outside_boundary_exact	North Carolina, Lincoln County	35.52222,-81.23171	NCU-L-0006264	both sides of Sandhill Road 2.4 road miles SE of jct with SC 119, 3.3 air miles NNE of downtown Clyo (GA).	https://lichenportal.org/portal/collections/individual/index.php?occid=3753347
NCU	Nelson, John B.	South Carolina	Jasper	310.14	outside_boundary_exact	North Carolina, Lincoln County	35.52222,-81.23171	NCU-L-0006269	both sides of Sandhill Road 2.4 road miles SE of jct with SC 119, 3.3 air miles NNE of downtown Clyo (GA).; 35.52222 -81.23171	https://lichenportal.org/portal/collections/individual/index.php?occid=3776608
NCU	Nelson, John B.	South Carolina	Jasper	310.14	outside_boundary_exact	North Carolina, Lincoln County	35.52222,-81.23171	NCU-L-0006269	both sides of Sandhill Road 2.4 road miles SE of jct with SC 119, 3.3 air miles NNE of downtown Clyo (GA).; 35.52222 -81.23171	https://lichenportal.org/portal/collections/individual/index.php?occid=3776609
NCU	Nelson, John B.	South Carolina	Richland	269.52	outside_boundary_exact	Virginia, Grayson County	36.63621091,-81.60665587	NCU-L-0005870	west side of US 601, just north of Congaree River; 33.766693 -80.641809	https://lichenportal.org/portal/collections/individual/index.php?occid=3358608
NCU	Nelson, John B.	South Carolina	Colleton	214.18	outside_boundary_exact	North Carolina, Mecklenburg County	35.096358,-80.713018	NCU-L-0005865	old WestVaco property 1.37 air miles SW of jct SC 61 and SC 217, east side of Smoaks	https://lichenportal.org/portal/collections/individual/index.php?occid=3358615
NCU	Nelson, John B.	South Carolina	Colleton	214.18	outside_boundary_exact	North Carolina, Mecklenburg County	35.096358,-80.713018	NCU-L-0005864	old WestVaco property 1.37 air miles SW of jct SC 61 and SC 217, east side of Smoaks	https://lichenportal.org/portal/collections/individual/index.php?occid=3358616
NCU	Nelson, John B.	South Carolina	Colleton	214.18	outside_boundary_exact	North Carolina, Mecklenburg County	35.096358,-80.713018	NCU-L-0005863	old WestVaco property 1.37 air miles SW of jct SC 61 and SC 217, east side of Smoaks; 35.096358 -80.713018	https://lichenportal.org/portal/collections/individual/index.php?occid=3395209
NCU	Nelson, John B.	South Carolina	Colleton	214.18	outside_boundary_exact	North Carolina, Mecklenburg County	35.096358,-80.71318	NCU-L-0005861	old WestVaco property 1.37 air miles SW of jct SC 61 and SC 217, east side of Smoaks	https://lichenportal.org/portal/collections/individual/index.php?occid=3395211
NCU	Nelson, John B.	South Carolina	Colleton	214.18	outside_boundary_exact	North Carolina, Mecklenburg County	35.096358,-80.713018	NCU-L-0005856	old WestVaco property 1.37 air miles SW of jct SC 61 and SC 217, east side of Smoaks	https://lichenportal.org/portal/collections/individual/index.php?occid=3395217
NCU	Nelson, John B.	South Carolina	Colleton	214.09	outside_boundary_exact	North Carolina, Mecklenburg County	35.095599,-80.71456	NCU-L-0005857	old WestVaco property 1.5 air miles SW of jct SC 61 and SC 217, east side of Smoaks	https://lichenportal.org/portal/collections/individual/index.php?occid=3395214
NCU	Nelson, John B.	South Carolina	Colleton	214.09	outside_boundary_exact	North Carolina, Mecklenburg County	35.095599,-80.71456	NCU-L-0005877	old WestVaco property 1.5 air miles SW of jct SC 61 and SC 217, east side of Smoaks	https://lichenportal.org/portal/collections/individual/index.php?occid=3395215
NCU	Nelson, John B.	South Carolina	Colleton	214.09	outside_boundary_exact	North Carolina, Mecklenburg County	35.095599,-80.71456	NCU-L-0005858	old WestVaco property 1.5 air miles SW of jct SC 61 and SC 217, east side of Smoaks	https://lichenportal.org/portal/collections/individual/index.php?occid=3395216
NCU	Perlmutter, Gary B.	South Carolina	York	191.94	outside_boundary_exact	North Carolina, Orange County	35.913611,-79.043889	NCU-L-0001601	River Park, Rock Hill	https://lichenportal.org/portal/collections/individual/index.php?occid=762710
NCU	Perlmutter, Gary B.	South Carolina	York	191.94	outside_boundary_exact	North Carolina, Orange County	35.913611,-79.043889	NCU-L-0001073	River Park, Rock Hill	https://lichenportal.org/portal/collections/individual/index.php?occid=762711
NCU	Perlmutter, Gary B.	South Carolina	York	191.94	outside_boundary_exact	North Carolina, Orange County	35.913611,-79.043889	NCU-L-0000994	River Park, Rock Hill	https://lichenportal.org/portal/collections/individual/index.php?occid=762712
NCU	Perlmutter, Gary B.	South Carolina	York	191.94	outside_boundary_exact	North Carolina, Orange County	35.913611,-79.043889	NCU-L-0000998	River Park, Rock Hill	https://lichenportal.org/portal/collections/individual/index.php?occid=762713
NCU	Nelson, John B.	South Carolina	Kershaw	150.77	outside_boundary_exact	South Carolina, Allendale County	32.8235,-81.3496	NCU-L-0006645	Quaker Cemetery on west side of UD 521, SW corner of Camden	https://lichenportal.org/portal/collections/individual/index.php?occid=4811319
NCU	Nelson, John B.	South Carolina	Kershaw	150.77	outside_boundary_exact	South Carolina, Allendale County	32.8235,-81.3496	NCU-L-0006647	Quaker Cemetery on west side of UD 521, SW corner of Camden	https://lichenportal.org/portal/collections/individual/index.php?occid=4811321
NCU	Nelson, John B.	South Carolina	Richland	75.82	outside_boundary_exact	South Carolina, Colleton County	33.064311,-80.613528	NCU-L-0006166	South side of Edisto River, Colleton State Park off US 15, north side of Canadys	https://lichenportal.org/portal/collections/individual/index.php?occid=3753344
NCU	Nelson, John B.	South Carolina	Fairfield	69.83	outside_boundary_exact	South Carolina, Darlington County	34.249867,-80.021341	NCU-L-0005853	edge of Cedar Creek and 0.8 air miles NNW of crossing of Syrup Mill Road over Richland County line, 2.8 air mi NW of downtown Blythewood	https://lichenportal.org/portal/collections/individual/index.php?occid=3395220
NCU	Perlmutter, Gary B.	South Carolina	Florence	58.99	outside_boundary_exact	South Carolina, Berkeley County	33.277778,-79.726944	NCU-L-0006309	Jake & Suzanne Ervin property, West Pocket Rd, ca. 8 km N of Florence	https://lichenportal.org/portal/collections/individual/index.php?occid=3776704
NCU	Perlmutter, Gary B.	South Carolina	Florence	58.99	outside_boundary_exact	South Carolina, Berkeley County	33.277778,-79.726944	NCU-L-0001541	Jake & Suzanne Ervin property, West Pocket Rd, ca. 8 km N of Florence	https://lichenportal.org/portal/collections/individual/index.php?occid=761034
NCU	Perlmutter, Gary B.	South Carolina	Florence	58.99	outside_boundary_exact	South Carolina, Berkeley County	33.277778,-79.726944	NCU-L-0000907	West Pocket Rd, ca. 8 km N of Florence	https://lichenportal.org/portal/collections/individual/index.php?occid=762709
NCU	Perlmutter, Gary B.	South Carolina	Florence	58.99	outside_boundary_exact	South Carolina, Berkeley County	33.277778,-79.726944	NCU-L-0000467	Jake & Suzanne Ervin property, West Pocket Rd, ca. 8 km N of Florence	https://lichenportal.org/portal/collections/individual/index.php?occid=762880
NCU	Perlmutter, Gary B.	South Carolina	Florence	58.99	outside_boundary_exact	South Carolina, Berkeley County	33.277778,-79.726944	NCU-L-0000468	Jake & Suzanne Ervin property, West Pocket Rd, ca. 8 km N of Florence	https://lichenportal.org/portal/collections/individual/index.php?occid=762891
