occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
3254438	NY	P. G. Woods	Pennsylvania	Bradford Co.	238.16	outside_boundary_exact	2700981	39.82614,-78.44922	Pennsylvania, Bedford County	Millers Corners	https://lichenportal.org/portal/collections/individual/index.php?occid=3254438
3254525	NY	P. G. Woods	Pennsylvania	Bradford Co.	238.16	outside_boundary_exact	2701195	39.82614,-78.44922	Pennsylvania, Bedford County	Millers Corners	https://lichenportal.org/portal/collections/individual/index.php?occid=3254525
856089	NY	D. Dixon	Pennsylvania	Cambria Co.	198.29	outside_boundary_exact	973398	40.768145,-75.981594	Pennsylvania, Schuylkill County	Wildcat Mt., 10 mi SW of Johnstown	https://lichenportal.org/portal/collections/individual/index.php?occid=856089
856092	NY	D. Dixon	Pennsylvania	Cambria Co.	198.29	outside_boundary_exact	973396	40.768145,-75.981594	Pennsylvania, Schuylkill County	Wildcat Mt., 10 mi SW of Johnstown	https://lichenportal.org/portal/collections/individual/index.php?occid=856092
856419	NY	D. Dixon	Pennsylvania	Cambria Co.	198.29	outside_boundary_exact	973397	40.768145,-75.981594	Pennsylvania, Schuylkill County	Wildcat Mt., 10 mi SW of Johnstown	https://lichenportal.org/portal/collections/individual/index.php?occid=856419
3246518	NY	I. Macdonald	Pennsylvania	Lackawanna Co.	104.91	outside_boundary_exact	1519936	42.58,-75.63	New York, Chenango County	1.6 miles west of Tompkinsville	https://lichenportal.org/portal/collections/individual/index.php?occid=3246518
877947	NY	J. C. Lendemer	Pennsylvania	Dauphin Co.	69.77	outside_boundary_exact	1117840	39.4989,-76.6647	Maryland, Baltimore County	State Game Lands #210, lower E slopes of Peters Mountain, ca. 5 mi NE of Carsonville, N of PS Route 325, above DeHart Reservoir, Grantville Quad.	https://lichenportal.org/portal/collections/individual/index.php?occid=877947
877948	NY	J. C. Lendemer	Pennsylvania	Dauphin Co.	69.77	outside_boundary_exact	1117841	39.4989,-76.6647	Maryland, Baltimore County	State Game Lands #210, lower E slopes of Peters Mountain, ca. 5 mi NE of Carsonville, N of PS Route 325, above DeHart Reservoir, Grantville Quad.	https://lichenportal.org/portal/collections/individual/index.php?occid=877948
900176	NY	R. J. Hill	Pennsylvania	Tioga Co.	61.55	outside_boundary_exact	1133922	41,-77	Pennsylvania, Union County	Tioga State Forest, Sand Run	https://lichenportal.org/portal/collections/individual/index.php?occid=900176
3186691	NY	R. J. Hill	Pennsylvania	Tioga Co.	61.55	outside_boundary_exact	1133920	41,-77	Pennsylvania, Union County	Tioga State Forest, Sand Run	https://lichenportal.org/portal/collections/individual/index.php?occid=3186691
