occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
4977567	NY	G. P. Anderson	South Carolina	Berkeley Co.	131.21	outside_boundary_exact	1573710	34.209037,-81.309541	South Carolina, Richland County	Summerville	https://lichenportal.org/portal/collections/individual/index.php?occid=4977567
881810	NY	H. W. Ravenel	South Carolina	Aiken Co.	123.75	outside_boundary_exact	1104369	33.19,-79.97	South Carolina, Berkeley County	Santee Canal	https://lichenportal.org/portal/collections/individual/index.php?occid=881810
858095	NY	G. B. Perlmutter	South Carolina	Darlington Co.	82.74	outside_boundary_exact	1059398	34.2781,-78.7517	North Carolina, Columbus County	Oaklyn Plantation, near pond	https://lichenportal.org/portal/collections/individual/index.php?occid=858095
871082	NY	G. B. Perlmutter	South Carolina	Darlington Co.	82.74	outside_boundary_exact	1105563	34.2781,-78.7517	North Carolina, Columbus County	Oaklyn Plantation, near pond	https://lichenportal.org/portal/collections/individual/index.php?occid=871082
877853	NY	G. B. Perlmutter	South Carolina	Darlington Co.	82.74	outside_boundary_exact	1105562	34.2781,-78.7517	North Carolina, Columbus County	Oaklyn Plantation, near pond	https://lichenportal.org/portal/collections/individual/index.php?occid=877853
3217400	NY	G. B. Perlmutter	South Carolina	Darlington Co.	82.74	outside_boundary_exact	1105561	34.2781,-78.7517	North Carolina, Columbus County	Oaklyn Plantation, near pond	https://lichenportal.org/portal/collections/individual/index.php?occid=3217400
3586171	NY	B. McCune	South Carolina	Berkeley Co.	51.27	outside_boundary_exact	4116203	33.15,-80.9	South Carolina, Bamberg County	Plain along creek 1.5 mi N of Hwy. 402 on FS Route 130 in Francis Marion NF, N of Huger. FHM Supplemental Plot #21.	https://lichenportal.org/portal/collections/individual/index.php?occid=3586171
3586172	NY	B. McCune	South Carolina	Berkeley Co.	51.27	outside_boundary_exact	4116201	33.15,-80.9	South Carolina, Bamberg County	Plain along creek 1.5 mi N of Hwy. 402 on FS Route 130 in Francis Marion NF, N of Huger. FHM Supplemental Plot #21.	https://lichenportal.org/portal/collections/individual/index.php?occid=3586172
3586174	NY	B. McCune	South Carolina	Berkeley Co.	51.27	outside_boundary_exact	4116199	33.15,-80.9	South Carolina, Bamberg County	Plain along creek 1.5 mi N of Hwy. 402 on FS Route 130 in Francis Marion NF, N of Huger. FHM Supplemental Plot #21.	https://lichenportal.org/portal/collections/individual/index.php?occid=3586174
3586177	NY	B. McCune	South Carolina	Berkeley Co.	51.27	outside_boundary_exact	4116209	33.15,-80.9	South Carolina, Bamberg County	Plain along creek 1.5 mi N of Hwy. 402 on FS Route 130 in Francis Marion NF, N of Huger. FHM Supplemental Plot #21.	https://lichenportal.org/portal/collections/individual/index.php?occid=3586177
936228	NY	C. M. Wetmore	South Carolina	Charleston Co.	21.87	outside_boundary_exact	1358056	33.184,-79.977	South Carolina, Berkeley County	Cape Roman Nat. Wildlife Refuge. Bull Isl. northeast of house along road.	https://lichenportal.org/portal/collections/individual/index.php?occid=936228
877710	NY	C. M. Wetmore	South Carolina	Charleston Co.	21.83	outside_boundary_exact	1152202	33.183825,-79.97755	South Carolina, Berkeley County	Cape Romain National Wildlife Refuga, Bull Isl. Half mile NE of fire tower along Old Fort Road	https://lichenportal.org/portal/collections/individual/index.php?occid=877710
1011181	NY	C. M. Wetmore	South Carolina	Charleston Co.	21.83	outside_boundary_exact	1520128	33.183825,-79.97755	South Carolina, Berkeley County	Cape Romain National Wildlife Refuga, Bull Isl. Half mile NE of fire tower along Old Fort Road	https://lichenportal.org/portal/collections/individual/index.php?occid=1011181
