institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
NY	E. Lay	Vermont	Washington Co.	7.35	outside_boundary_exact	Vermont, Lamoille County	44.5333,-72.65	02793297	Mt. Mansfield State Forest. Narrow trail from Gondola Lift Top Station up towards cliff faces.	https://lichenportal.org/portal/collections/individual/index.php?occid=3257549
NY	E. Lay	Vermont	Washington Co.	7.35	outside_boundary_exact	Vermont, Lamoille County	44.5333,-72.65	02170179	Mt. Mansfield State Forest.	https://lichenportal.org/portal/collections/individual/index.php?occid=3207911
NY	E. Lay	Vermont	Washington Co.	7.35	outside_boundary_exact	Vermont, Lamoille County	44.5333,-72.65	02170178	Mt. Mansfield State Forest.	https://lichenportal.org/portal/collections/individual/index.php?occid=3200522
NY	E. Lay	Vermont	Washington Co.	7.35	outside_boundary_exact	Vermont, Lamoille County	44.5333,-72.65	02171387	Mt. Mansfield State Forest.	https://lichenportal.org/portal/collections/individual/index.php?occid=3221237
NY	E. Lay	Vermont	Washington Co.	7.35	outside_boundary_exact	Vermont, Lamoille County	44.5333,-72.65	02170298	Mt. Mansfield State Forest.	https://lichenportal.org/portal/collections/individual/index.php?occid=3200718
NY	E. Lay	Vermont	Washington Co.	7.35	outside_boundary_exact	Vermont, Lamoille County	44.5333,-72.65	02796585	Mt. Mansfield State Forest. Narrow trail from Gondola Lift Top Station up towards cliff faces.	https://lichenportal.org/portal/collections/individual/index.php?occid=3252607
NY	E. Lay	Vermont	Washington Co.	7.35	outside_boundary_exact	Vermont, Lamoille County	44.5333,-72.65	04470188	Mt. Mansfield State Forest. Narrow trail from Gondola Lift Top Station up towards cliff faces.	https://lichenportal.org/portal/collections/individual/index.php?occid=4988378
NY	E. Lay	Vermont	Lamoille Co.	4.92	outside_boundary_exact	Vermont, Washington County	44.3903,-72.7603	2202942	Mt. Mansfield State Forest, Little River State Park, loop road	https://lichenportal.org/portal/collections/individual/index.php?occid=3209272
NY	E. Lay	Vermont	Washington Co.	0.5	outside_boundary_exact	Vermont, Addison County	44.095,-72.9281	02169945	Lincoln Gap.	https://lichenportal.org/portal/collections/individual/index.php?occid=3200326
NY	E. Lay	Vermont	Washington Co.	0.5	outside_boundary_exact	Vermont, Addison County	44.095,-72.9281	02169742	Lincoln Gap.	https://lichenportal.org/portal/collections/individual/index.php?occid=3197178
NY	S. Hammer	Vermont	Bennington Co.	0.33	outside_boundary_exact	Vermont, Windham County	43,-73	2280408	Winhall Township. Green Mountain National Forest near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=3246698
NY	D. L. Dutton	Vermont	Addison Co.	0.05	outside_boundary_exact	Vermont, Windsor County	43.8503,-72.9669	1865427	region of Mt. Horrid, Rochester	https://lichenportal.org/portal/collections/individual/index.php?occid=3224747
NY	D. L. Dutton	Vermont	Addison Co.	0.05	outside_boundary_exact	Vermont, Windsor County	43.8503,-72.9669	1046791	Region Mt. Horrid, Rochester	https://lichenportal.org/portal/collections/individual/index.php?occid=857635
