occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
801315	OMA	NA	Wisconsin	Vilas	29.16	outside_boundary_exact	11841	46.149167,-90.334167	Wisconsin, Ashland County	Northern Highland State Forest; Town of Land O'Lakes, just E of Jute Lake	https://lichenportal.org/portal/collections/individual/index.php?occid=801315
801312	OMA	NA	Wisconsin	Vilas	29.16	outside_boundary_exact	11843	46.149167,-90.334167	Wisconsin, Ashland County	Northern Highland State Forest; Town of Land O'Lakes, just E of Jute Lake	https://lichenportal.org/portal/collections/individual/index.php?occid=801312
801326	OMA	NA	Wisconsin	Vilas	29.16	outside_boundary_exact	11846	46.149167,-90.334167	Wisconsin, Ashland County	Northern Highland State Forest; Town of Land O'Lakes, just E of Jute Lake	https://lichenportal.org/portal/collections/individual/index.php?occid=801326
801311	OMA	NA	Wisconsin	Vilas	29.16	outside_boundary_exact	11851	46.149167,-90.334167	Wisconsin, Ashland County	Northern Highland State Forest; Town of Land O'Lakes, just E of Jute Lake	https://lichenportal.org/portal/collections/individual/index.php?occid=801311
801305	OMA	NA	Wisconsin	Vilas	29.16	outside_boundary_exact	11852	46.149167,-90.334167	Wisconsin, Ashland County	Northern Highland State Forest; Town of Land O'Lakes, just E of Jute Lake	https://lichenportal.org/portal/collections/individual/index.php?occid=801305
801313	OMA	NA	Wisconsin	Vilas	29.16	outside_boundary_exact	11853	46.149167,-90.334167	Wisconsin, Ashland County	Northern Highland State Forest; Town of Land O'Lakes, just E of Jute Lake	https://lichenportal.org/portal/collections/individual/index.php?occid=801313
801306	OMA	NA	Wisconsin	Vilas	29.16	outside_boundary_exact	11854	46.149167,-90.334167	Wisconsin, Ashland County	Northern Highland State Forest; Town of Land O'Lakes, just E of Jute Lake	https://lichenportal.org/portal/collections/individual/index.php?occid=801306
801314	OMA	NA	Wisconsin	Vilas	29.16	outside_boundary_exact	11857	46.149167,-90.334167	Wisconsin, Ashland County	Northern Highland State Forest; Town of Land O'Lakes, just E of Jute Lake	https://lichenportal.org/portal/collections/individual/index.php?occid=801314
801302	OMA	NA	Wisconsin	Vilas	29.16	outside_boundary_exact	11858	46.149167,-90.334167	Wisconsin, Ashland County	Northern Highland State Forest; Town of Land O'Lakes, just E of Jute Lake	https://lichenportal.org/portal/collections/individual/index.php?occid=801302
801307	OMA	NA	Wisconsin	Vilas	29.16	outside_boundary_exact	11861	46.149167,-90.334167	Wisconsin, Ashland County	Northern Highland State Forest; Town of Land O'Lakes, just E of Jute Lake	https://lichenportal.org/portal/collections/individual/index.php?occid=801307
