occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
2224188	OSC	T. Nash III	Arizona	Gila	8616.68	outside_boundary_exact	138264	34.44055556,-11.39972222	not_found_in_US	Gila National Forest, Baker Lake, South of AZ route #87, ca. 1.6 km S of Baker Lake, upper East rim of Pine canyon. Along Coconino county border.	https://lichenportal.org/portal/collections/individual/index.php?occid=2224188
2224184	OSC	James Lendemer	Arizona	Gila	8616.68	outside_boundary_exact	138267	34.44055556,-11.39972222	not_found_in_US	Gila National Forest, Baker Lake, South of AZ route #87, ca. 1.6 km S of Baker Lake, upper East rim of Pine canyon	https://lichenportal.org/portal/collections/individual/index.php?occid=2224184
2224177	OSC	T. Nash III	Arizona	Gila	8616.68	outside_boundary_exact	138283	34.44055556,-11.39972222	not_found_in_US	Gila National Forest, Baker Lake, South of AZ route #87, ca. 1.6 km S of Baker Lake, upper East rim of Pine canyon	https://lichenportal.org/portal/collections/individual/index.php?occid=2224177
2224188	OSC	T. Nash III	Arizona	Gila	8616.68	outside_boundary_exact	138264	34.44055556,-11.39972222	not_found_in_US	Gila National Forest, Baker Lake, South of AZ route #87, ca. 1.6 km S of Baker Lake, upper East rim of Pine canyon. Along Coconino county border.	https://lichenportal.org/portal/collections/individual/index.php?occid=2224188
2224184	OSC	James Lendemer	Arizona	Gila	8616.68	outside_boundary_exact	138267	34.44055556,-11.39972222	not_found_in_US	Gila National Forest, Baker Lake, South of AZ route #87, ca. 1.6 km S of Baker Lake, upper East rim of Pine canyon	https://lichenportal.org/portal/collections/individual/index.php?occid=2224184
2224177	OSC	T. Nash III	Arizona	Gila	8616.68	outside_boundary_exact	138283	34.44055556,-11.39972222	not_found_in_US	Gila National Forest, Baker Lake, South of AZ route #87, ca. 1.6 km S of Baker Lake, upper East rim of Pine canyon	https://lichenportal.org/portal/collections/individual/index.php?occid=2224177
4421720	OSC	Roger Rosentreter	Arizona	Pima	2981.32	outside_boundary_exact	124339	3.180273,-110.739904	not_found_in_US	North of Tucson, Arizona. Santa Catalina Mountains, Mount Lemon, General Hitchcock Picnic Area.	https://lichenportal.org/portal/collections/individual/index.php?occid=4421720
4421720	OSC	Roger Rosentreter	Arizona	Pima	2981.32	outside_boundary_exact	124339	3.180273,-110.739904	not_found_in_US	North of Tucson, Arizona. Santa Catalina Mountains, Mount Lemon, General Hitchcock Picnic Area.	https://lichenportal.org/portal/collections/individual/index.php?occid=4421720
4806196	OSC	Vernon Robinson	Arizona	Greenlee	572.16	outside_boundary_exact	OSC-M-238371	38.8856,-109.5393	Utah, Grand County	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=4806196
4806197	OSC	Vernon Robinson	Arizona	Greenlee	572.16	outside_boundary_exact	OSC-M-238372	38.8856,-109.5393	Utah, Grand County	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=4806197
