institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
OSC	T. Nash III	Arizona	Gila	8616.68	outside_boundary_exact	not_found_in_US	34.44055556,-11.39972222	138264	Gila National Forest, Baker Lake, South of AZ route #87, ca. 1.6 km S of Baker Lake, upper East rim of Pine canyon. Along Coconino county border.	https://lichenportal.org/portal/collections/individual/index.php?occid=2224188
OSC	James Lendemer	Arizona	Gila	8616.68	outside_boundary_exact	not_found_in_US	34.44055556,-11.39972222	138267	Gila National Forest, Baker Lake, South of AZ route #87, ca. 1.6 km S of Baker Lake, upper East rim of Pine canyon	https://lichenportal.org/portal/collections/individual/index.php?occid=2224184
OSC	T. Nash III	Arizona	Gila	8616.68	outside_boundary_exact	not_found_in_US	34.44055556,-11.39972222	138283	Gila National Forest, Baker Lake, South of AZ route #87, ca. 1.6 km S of Baker Lake, upper East rim of Pine canyon	https://lichenportal.org/portal/collections/individual/index.php?occid=2224177
OSC	T. Nash III	Arizona	Gila	8616.68	outside_boundary_exact	not_found_in_US	34.44055556,-11.39972222	138264	Gila National Forest, Baker Lake, South of AZ route #87, ca. 1.6 km S of Baker Lake, upper East rim of Pine canyon. Along Coconino county border.	https://lichenportal.org/portal/collections/individual/index.php?occid=2224188
OSC	James Lendemer	Arizona	Gila	8616.68	outside_boundary_exact	not_found_in_US	34.44055556,-11.39972222	138267	Gila National Forest, Baker Lake, South of AZ route #87, ca. 1.6 km S of Baker Lake, upper East rim of Pine canyon	https://lichenportal.org/portal/collections/individual/index.php?occid=2224184
OSC	T. Nash III	Arizona	Gila	8616.68	outside_boundary_exact	not_found_in_US	34.44055556,-11.39972222	138283	Gila National Forest, Baker Lake, South of AZ route #87, ca. 1.6 km S of Baker Lake, upper East rim of Pine canyon	https://lichenportal.org/portal/collections/individual/index.php?occid=2224177
OSC	Roger Rosentreter	Arizona	Pima	2981.32	outside_boundary_exact	not_found_in_US	3.180273,-110.739904	124339	North of Tucson, Arizona. Santa Catalina Mountains, Mount Lemon, General Hitchcock Picnic Area.	https://lichenportal.org/portal/collections/individual/index.php?occid=4421720
OSC	Roger Rosentreter	Arizona	Pima	2981.32	outside_boundary_exact	not_found_in_US	3.180273,-110.739904	124339	North of Tucson, Arizona. Santa Catalina Mountains, Mount Lemon, General Hitchcock Picnic Area.	https://lichenportal.org/portal/collections/individual/index.php?occid=4421720
OSC	Vernon Robinson	Arizona	Greenlee	572.16	outside_boundary_exact	Utah, Grand County	38.8856,-109.5393	OSC-M-238371	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=4806196
OSC	Vernon Robinson	Arizona	Greenlee	572.16	outside_boundary_exact	Utah, Grand County	38.8856,-109.5393	OSC-M-238372	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=4806197
