institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
OSC	Lily Serrao	North Carolina	Buncombe	521.88	outside_boundary_exact	North Carolina, Carteret County	34.7991,-76.4613	OSC-M-052752	In residential yard, about 425 m from Core Sound. 621 US-70, Davis, NC.	https://lichenportal.org/portal/collections/individual/index.php?occid=5378477
OSC	Lily Serrao	North Carolina	Buncombe	521.88	outside_boundary_exact	North Carolina, Carteret County	34.7991,-76.4613	OSC-M-052752	In residential yard, about 425 m from Core Sound. 621 US-70, Davis, NC.	https://lichenportal.org/portal/collections/individual/index.php?occid=5378477
OSC	Jeff Marler	North Carolina	Greene	448.26	outside_boundary_exact	North Carolina, Haywood County	35.5625,-82.8125	173316	Hex Plot Number: 3507757. Cole Number: 8085.	https://lichenportal.org/portal/collections/individual/index.php?occid=4428568
OSC	Jeff Marler	North Carolina	Greene	448.26	outside_boundary_exact	North Carolina, Haywood County	35.5625,-82.8125	173316	Hex Plot Number: 3507757. Cole Number: 8085.	https://lichenportal.org/portal/collections/individual/index.php?occid=4428568
OSC	Jessica Metzger	North Carolina	Caldwell	79.28	outside_boundary_exact	South Carolina, Cherokee County	35.0625,-81.5625	173302	Hex Plot Number: 3508115. Cole Number: 8118.	https://lichenportal.org/portal/collections/individual/index.php?occid=4428554
OSC	Jessica Metzger	North Carolina	Caldwell	79.28	outside_boundary_exact	South Carolina, Cherokee County	35.0625,-81.5625	173302	Hex Plot Number: 3508115. Cole Number: 8118.	https://lichenportal.org/portal/collections/individual/index.php?occid=4428554
OSC	Lawrence H. Pike	North Carolina	Yancey	76.61	outside_boundary_exact	Virginia, Russell County	36.765,-82.265	144074	Near Summit of Mount Mitchell	https://lichenportal.org/portal/collections/individual/index.php?occid=2227126
OSC	Lawrence H. Pike	North Carolina	Yancey	76.61	outside_boundary_exact	Virginia, Russell County	36.765,-82.265	144075	Near Summit of Mount Mitchell	https://lichenportal.org/portal/collections/individual/index.php?occid=2227127
OSC	Lawrence H. Pike	North Carolina	Yancey	76.61	outside_boundary_exact	Virginia, Russell County	36.765,-82.265	144076	Near Summit of Mount Mitchell	https://lichenportal.org/portal/collections/individual/index.php?occid=2227128
OSC	Lawrence H. Pike	North Carolina	Yancey	76.61	outside_boundary_exact	Virginia, Russell County	36.765,-82.265	144077	Near Summit of Mount Mitchell	https://lichenportal.org/portal/collections/individual/index.php?occid=2227129
