institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
OSC	Claire Tortorelli	Oregon	Crook	8843.52	outside_boundary_exact	not_found_in_US	44.25202,120.12815	OSC-M-048098	South of Fox Canyon Road, south-central Ochoco Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=5831269
OSC	Claire Tortorelli	Oregon	Crook	8843.52	outside_boundary_exact	not_found_in_US	44.25202,120.12815	OSC-M-048098	South of Fox Canyon Road, south-central Ochoco Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=5831269
OSC	Bruce McCune	Oregon	Jackson	8791.59	outside_boundary_exact	not_found_in_US	42.01157,122.6101	OSC-M-048015	Cathedral Cliffs, Soda Mountain Wilderness, near California border	https://lichenportal.org/portal/collections/individual/index.php?occid=5829106
OSC	Bruce McCune	Oregon	Jackson	8791.59	outside_boundary_exact	not_found_in_US	42.01157,122.6101	OSC-M-048015	Cathedral Cliffs, Soda Mountain Wilderness, near California border	https://lichenportal.org/portal/collections/individual/index.php?occid=5829106
OSC	Bruce McCune	Oregon	Linn	8485.17	outside_boundary_exact	not_found_in_US	44.78,122.74157	OSC-M-048031	Kingston Prairie	https://lichenportal.org/portal/collections/individual/index.php?occid=5829127
OSC	Bruce McCune	Oregon	Linn	8485.17	outside_boundary_exact	not_found_in_US	44.78,122.74157	OSC-M-048031	Kingston Prairie	https://lichenportal.org/portal/collections/individual/index.php?occid=5829127
OSC	Bruce McCune	Oregon	Douglas	8367.28	outside_boundary_exact	not_found_in_US	43.083333,-12.55	OSC-M-049632	The Dell. 3 km S of town of Tenmile	https://lichenportal.org/portal/collections/individual/index.php?occid=5825317
OSC	Bruce McCune	Oregon	Douglas	8367.28	outside_boundary_exact	not_found_in_US	43.083333,-12.55	OSC-M-049632	The Dell. 3 km S of town of Tenmile	https://lichenportal.org/portal/collections/individual/index.php?occid=5825317
OSC	M. Arnot	Oregon	Josephine	7794.36	outside_boundary_exact	not_found_in_US	42.10955,-23.407	92978	East from Cave Junction on SR 4600 to Spur Rd 176.	https://lichenportal.org/portal/collections/individual/index.php?occid=5414693
OSC	M. Arnot	Oregon	Josephine	7794.36	outside_boundary_exact	not_found_in_US	42.10955,-23.407	92978	East from Cave Junction on SR 4600 to Spur Rd 176.	https://lichenportal.org/portal/collections/individual/index.php?occid=5414693
OSC	Larry Pike	Oregon	Lane	7475.13	outside_boundary_exact	not_found_in_US	44.016667,-23.783333	95398	3 miles E of Mapleton	https://lichenportal.org/portal/collections/individual/index.php?occid=5786547
OSC	Larry Pike	Oregon	Lane	7475.13	outside_boundary_exact	not_found_in_US	44.016667,-23.783333	95398	3 miles E of Mapleton	https://lichenportal.org/portal/collections/individual/index.php?occid=5786547
OSC	Sarah Luce	Oregon	Douglas	5342.77	outside_boundary_exact	not_found_in_US	47.98502,-52.2095	125038	T. 26.0S R. 01.0E SEC 05	https://lichenportal.org/portal/collections/individual/index.php?occid=4415196
OSC	Sarah Luce	Oregon	Douglas	5342.77	outside_boundary_exact	not_found_in_US	47.98502,-52.2095	125038	T. 26.0S R. 01.0E SEC 05	https://lichenportal.org/portal/collections/individual/index.php?occid=4415196
OSC	Chantel Delay	Oregon	Klamath	4960.59	outside_boundary_exact	not_found_in_US	47.3284,-56.8605	124465	Winema National Forest, Klamath District	https://lichenportal.org/portal/collections/individual/index.php?occid=2228450
OSC	Chantel Delay	Oregon	Klamath	4960.59	outside_boundary_exact	not_found_in_US	47.3284,-56.8605	124465	Winema National Forest, Klamath District	https://lichenportal.org/portal/collections/individual/index.php?occid=2228450
OSC	Terry Fennell	Oregon	Marion	4335.93	outside_boundary_exact	not_found_in_US	4.484405,-122.667073	146963	Main North Santiam River. Salem Bureau of Land Management, Cascades Resource Area ~1 mile west of Fisherman's Bend Park.	https://lichenportal.org/portal/collections/individual/index.php?occid=2234093
OSC	Terry Fennell	Oregon	Marion	4335.93	outside_boundary_exact	not_found_in_US	4.484405,-122.667073	146963	Main North Santiam River. Salem Bureau of Land Management, Cascades Resource Area ~1 mile west of Fisherman's Bend Park.	https://lichenportal.org/portal/collections/individual/index.php?occid=2234093
