occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
4938622	OSC	Lawrence H. Pike	Virginia	Madison	12038.41	outside_boundary_exact	34345	38.59,78.38	not_found_in_US	Near turnoff from Skyline Drive to Skyland (M. P. 41.2)	https://lichenportal.org/portal/collections/individual/index.php?occid=4938622
4938622	OSC	Lawrence H. Pike	Virginia	Madison	12038.41	outside_boundary_exact	34345	38.59,78.38	not_found_in_US	Near turnoff from Skyline Drive to Skyland (M. P. 41.2)	https://lichenportal.org/portal/collections/individual/index.php?occid=4938622
4428498	OSC	Heather Manson	Virginia	Craig	223.42	outside_boundary_exact	173246	37.3125,-77.4375	Virginia, Chesterfield County	Hex Plot Number: 3707734. Cole Number: 8106.	https://lichenportal.org/portal/collections/individual/index.php?occid=4428498
4428498	OSC	Heather Manson	Virginia	Craig	223.42	outside_boundary_exact	173246	37.3125,-77.4375	Virginia, Chesterfield County	Hex Plot Number: 3707734. Cole Number: 8106.	https://lichenportal.org/portal/collections/individual/index.php?occid=4428498
4422108	OSC	Jim Riley	Virginia	Southhampton	66.1	outside_boundary_reverse_partial	167676	36.7379333333333,-77.1007	Virginia, Southampton County	Courtland. North of Indian Town Rd. (SSR 651) along dirt road to the Nottoway Rv.	https://lichenportal.org/portal/collections/individual/index.php?occid=4422108
4422472	OSC	Jim Riley	Virginia	Southhampton	66.1	outside_boundary_reverse_partial	168017	36.7379333333333,-77.1007	Virginia, Southampton County	Courtland. North of Indian Town Rd. (SSR 651) along dirt road to the Nottoway Rv.	https://lichenportal.org/portal/collections/individual/index.php?occid=4422472
4422532	OSC	Jim Riley	Virginia	Southhampton	66.1	outside_boundary_reverse_partial	168079	36.7379333333333,-77.1007	Virginia, Southampton County	Courtland. North of Indian Town Rd. (SSR 651) along dirt road to the Nottoway Rv.	https://lichenportal.org/portal/collections/individual/index.php?occid=4422532
4422807	OSC	Jim Riley	Virginia	Southhampton	66.1	outside_boundary_reverse_partial	168355	36.7379333333333,-77.1007	Virginia, Southampton County	Courtland. North of Indian Town Rd. (SSR 651) along dirt road to the Nottoway Rv.	https://lichenportal.org/portal/collections/individual/index.php?occid=4422807
4422808	OSC	Jim Riley	Virginia	Southhampton	66.1	outside_boundary_reverse_partial	168356	36.7379333333333,-77.1007	Virginia, Southampton County	Courtland. North of Indian Town Rd. (SSR 651) along dirt road to the Nottoway Rv.	https://lichenportal.org/portal/collections/individual/index.php?occid=4422808
4423034	OSC	Jim Riley	Virginia	Southhampton	66.1	outside_boundary_reverse_partial	168583	36.7379333333333,-77.1007	Virginia, Southampton County	Courtland. North of Indian Town Rd. (SSR 651) along dirt road to the Nottoway Rv.	https://lichenportal.org/portal/collections/individual/index.php?occid=4423034
4423052	OSC	Jim Riley	Virginia	Southhampton	66.1	outside_boundary_reverse_partial	168601	36.7379333333333,-77.1007	Virginia, Southampton County	Courtland. North of Indian Town Rd. (SSR 651) along dirt road to the Nottoway Rv.	https://lichenportal.org/portal/collections/individual/index.php?occid=4423052
4423223	OSC	Jim Riley	Virginia	Southhampton	66.1	outside_boundary_reverse_partial	168791	36.7379333333333,-77.1007	Virginia, Southampton County	Courtland. North of Indian Town Rd. (SSR 651) along dirt road to the Nottoway Rv.	https://lichenportal.org/portal/collections/individual/index.php?occid=4423223
4423231	OSC	Jim Riley	Virginia	Southhampton	66.1	outside_boundary_reverse_partial	168799	36.7379333333333,-77.1007	Virginia, Southampton County	Area: Courtland. North of Indian Town Rd. (SSR 651) along dirt road to the Nottoway Rv.	https://lichenportal.org/portal/collections/individual/index.php?occid=4423231
4423236	OSC	Jim Riley	Virginia	Southhampton	66.1	outside_boundary_reverse_partial	168804	36.7379333333333,-77.1007	Virginia, Southampton County	Courtland. North of Indian Town Rd. (SSR 651) along dirt road to the Nottoway Rv.	https://lichenportal.org/portal/collections/individual/index.php?occid=4423236
4423244	OSC	Jim Riley	Virginia	Southhampton	66.1	outside_boundary_reverse_partial	168867	36.7379333333333,-77.1007	Virginia, Southampton County	North of Indian Town Rd. (SSR 651) along dirt road to the Nottoway Rv.	https://lichenportal.org/portal/collections/individual/index.php?occid=4423244
